profile,policy,slot_count,cost_scenario,symbol,signal_date,entry_date,exit_date,signal_date_idx,entry_date_idx,exit_date_idx,entry_price_raw,exit_price_raw,shares,buy_cash_cny,sell_proceeds_cny,net_pnl_cny,net_return_on_buy_cash,occupied_sessions,requested_exit_date,exit_reason
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603976.SH,2020-01-02,2020-01-03,2020-01-22,2431,2432,2445,17.770000457763672,17.709999084472656,56100,998602.152247765,990840.3019038644,-7761.850343900616,-0.007772715416674569,14,2020-01-22,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603318.SH,2020-01-22,2020-01-23,2020-02-19,2445,2446,2459,10.699999809265137,9.350000381469727,92500,991442.8843783481,862532.8101211396,-128910.0742572085,-0.13002269347874473,14,2020-02-19,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603226.SH,2020-02-19,2020-02-20,2020-03-10,2459,2460,2473,15.65999984741211,18.25,55000,862773.1883975115,1001031.6783775,138258.48997998855,0.16024894125046418,14,2020-03-10,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603232.SH,2020-03-10,2020-03-11,2020-03-30,2473,2474,2487,45.04999923706055,36.02000045776367,22100,997307.8997527686,793886.1962102078,-203421.7035425608,-0.20397081341979628,14,2020-03-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603178.SH,2020-03-30,2020-03-31,2020-04-20,2487,2488,2501,7.829999923706055,7.96999979019165,101700,797673.0296366083,808353.8774771424,10680.847840534057,0.013390007488907951,14,2020-04-20,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002716.SZ,2020-04-20,2020-04-21,2020-05-13,2501,2502,2515,1.5099999904632568,1.2999999523162842,534700,808777.9941722794,693227.501304306,-115550.4928679734,-0.1428704708839541,14,2020-05-13,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000509.SZ,2020-05-13,2020-05-14,2020-06-02,2515,2516,2529,1.100000023841858,1.1100000143051147,629100,693193.6524569076,696409.89394901,3216.2414921023883,0.004639744580324567,14,2020-06-02,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000890.SZ,2020-06-02,2020-06-03,2020-06-22,2529,2530,2543,2.109999895095825,2.180000066757202,329500,696434.1360612818,716364.7192174679,19930.583156186156,0.028618044584810987,14,2020-06-22,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000017.SZ,2020-06-23,2020-06-24,2020-07-15,2544,2545,2558,2.3399999141693115,2.680000066757202,305600,716327.1119204132,816790.0107264237,100462.89880601049,0.1402472377970978,14,2020-07-15,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002052.SZ,2020-07-15,2020-07-16,2020-08-04,2558,2559,2572,1.309999942779541,1.409999966621399,622500,816869.7804854892,875347.9542757416,58478.17379025242,0.07158812235102774,14,2020-08-04,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002052.SZ,2020-08-04,2020-08-05,2020-08-24,2572,2573,2586,1.4199999570846558,1.4700000286102295,615400,875362.6670834365,902188.1076851453,26825.440601708833,0.030644944787383777,14,2020-08-24,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002210.SZ,2020-08-24,2020-08-25,2020-09-11,2586,2587,2600,1.9800000190734863,2.430000066757202,454800,902044.261348195,1102171.0627097285,200126.80136153346,0.2218591813470705,14,2020-09-11,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002187.SZ,2020-09-11,2020-09-14,2020-10-09,2600,2601,2614,10.710000038146973,10.850000381469727,102700,1101798.3393583728,1111277.3432378734,9479.003879500553,0.008603211260075572,14,2020-10-09,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002824.SZ,2020-10-09,2020-10-12,2020-10-29,2614,2615,2628,17.3700008392334,15.699999809265137,63800,1110101.566856077,998947.3263085112,-111154.24054756574,-0.10012979340472972,14,2020-10-29,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603815.SH,2020-10-29,2020-10-30,2020-11-18,2628,2629,2642,12.5,12.510000228881836,79900,1000458.2959575,996842.0736209988,-3616.2223365012323,-0.003614565795609037,14,2020-11-18,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002076.SZ,2020-11-18,2020-11-19,2020-12-08,2642,2643,2656,1.7899999618530273,1.809999942779541,556000,996942.2710881655,1003634.5783358241,6692.307247658609,0.006712833272034757,14,2020-12-08,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002575.SZ,2020-12-08,2020-12-09,2020-12-28,2656,2657,2670,3.430000066757202,3.6700000762939453,292100,1003616.7084890339,1069103.8493159465,65487.1408269126,0.06525114645162189,14,2020-12-28,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002052.SZ,2020-12-28,2020-12-29,2021-01-18,2670,2671,2684,1.0399999618530273,1.0299999713897705,1026300,1069177.595933566,1054226.1982280663,-14951.397705499781,-0.013984017026137496,14,2021-01-18,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002824.SZ,2021-01-18,2021-01-19,2021-02-05,2684,2685,2698,13.800000190734863,13.800000190734863,76200,1053358.638535896,1048712.2154556762,-4646.423080219887,-0.004411055181242074,14,2021-02-05,time_exit
