volatility_decile,count,volatility_median,standardized_8pct_distance_median,fixed_8pct_hit_rate,volatility_scaled_k1_hit_rate,zero_drift_brownian_hit_probability_mean,endpoint_mean,endpoint_mean_log_return,endpoint_median,endpoint_es05,mfe_median,mae_median
1,438507,0.01068448182195425,1.610654802612265,0.26353057077766145,0.46458779449358845,0.10075218666972742,0.005841408330934976,0.0027894097945326203,0.0,-0.14716242955071446,0.041610825806856155,-0.037601299583911896
2,438505,0.014475438743829727,1.1888421666866256,0.33882851962919464,0.40759626458079157,0.2327480276224925,0.0064954385894191126,0.002037545608071181,-0.0025381138548254967,-0.17056746699318967,0.051646191626787186,-0.04948088154196739
3,438507,0.017187487334012985,1.0012523427958242,0.38008287210922514,0.380985936370457,0.31603658092197956,0.006401860892370143,0.0011370671065897425,-0.004424790386110544,-0.1826644198219565,0.057734228670597076,-0.05660375580191612
4,438504,0.019659681245684624,0.875345421164021,0.4085755204057432,0.3556273146881214,0.38105658123428715,0.005819949027836974,3.7758049838887825e-05,-0.005405403440818191,-0.1922033436798238,0.06218492239713669,-0.06196581572294235
5,438508,0.022179771214723587,0.7758877128782252,0.43900453355469,0.3366597644740803,0.4377431103702272,0.007325794958309233,0.0008149844123194194,-0.005165277281776071,-0.19943360596267257,0.06778471171855927,-0.06619708240032196
6,438506,0.025003131479024887,0.6882742657411046,0.4655420906441417,0.31408464194332575,0.49117867245157104,0.008687960543424427,0.0016948678856093472,-0.004076090408489108,-0.20634840427741816,0.07287938892841339,-0.06892653927206993
7,438506,0.028253143653273582,0.6091007843638814,0.4927663475528271,0.2869812499714941,0.5423400937610123,0.010296383896701865,0.002553242172887196,-0.003861017292365432,-0.21483939469899072,0.07849162817001343,-0.0714285671710968
8,438506,0.03213293291628361,0.5355568383623575,0.523347457047338,0.26739656926016975,0.5924467261822342,0.011637109718553924,0.002637920934536188,-0.00431032944470644,-0.22960796690597202,0.0853293426334858,-0.07640153542160988
9,438506,0.037590885534882545,0.45779746114219594,0.5652556635485033,0.2403889570496185,0.6476664852005858,0.01189526049387306,0.0009826645793671103,-0.005246064625680447,-0.2573364989446874,0.09584472328424454,-0.08297235146164894
10,438507,0.048415251076221466,0.3554460955466581,0.6276752708622667,0.19323522771586316,0.7304553435942647,0.003137295348374596,-0.013574846758586381,-0.015686362981796265,-0.34317283795163284,0.11699423938989639,-0.10512597113847733
