date_idx,trade_date,candidate_count,endpoint_mean,endpoint_mean_log_return
242,2011-01-04,771,-0.06139512053626226,-0.06808929719363437
243,2011-01-05,772,-0.07175424698920597,-0.07997559260754478
244,2011-01-06,776,-0.04095528798380965,-0.04649486293320868
245,2011-01-07,773,-0.02727371791609892,-0.03160287106098412
246,2011-01-10,771,0.022257056782123585,0.018701455837290566
247,2011-01-11,769,0.021928543857872844,0.018122273032650855
248,2011-01-12,769,0.03078287889097329,0.0268549397997249
249,2011-01-13,777,0.04355808319612703,0.03897155283839333
250,2011-01-14,773,0.06083057576543163,0.055611659228287764
251,2011-01-17,772,0.12879515378545955,0.1173955588520906
252,2011-01-18,771,0.08862529139501923,0.08112740446196418
253,2011-01-19,783,0.07500962829512442,0.06888730002703904
254,2011-01-20,770,0.12547912987541746,0.11464889924616077
255,2011-01-21,775,0.10916779885436559,0.10036911949579007
256,2011-01-24,773,0.15473977192820088,0.14024277993783635
257,2011-01-25,770,0.1754146509007067,0.15771689528758595
258,2011-01-26,769,0.156983076990794,0.14211269579631444
259,2011-01-27,764,0.11140999421030856,0.10246795707115237
260,2011-01-28,760,0.11308804796457192,0.10414418133615395
261,2011-01-31,763,0.11050092356693278,0.1015463212817701
262,2011-02-01,774,0.12428682509065066,0.1136898488139232
263,2011-02-09,772,0.12685143319561767,0.11582419552493917
264,2011-02-10,774,0.08318329066085811,0.0767514801608486
265,2011-02-11,767,0.06685673644040854,0.06134366542915407
266,2011-02-14,769,0.053998894875875815,0.04909997107210592
267,2011-02-15,771,0.04257134508311956,0.03780323594900202
268,2011-02-16,768,0.03319262287618585,0.02891728739032132
269,2011-02-17,775,0.014594605636347326,0.010633294370110858
270,2011-02-18,767,0.033364029924811446,0.02912777808501718
271,2011-02-21,760,-0.0009594392074703999,-0.004505236804609819
272,2011-02-22,767,0.03436699557139215,0.030315970269302796
273,2011-02-23,770,0.03381308943022635,0.029900894359399154
274,2011-02-24,776,0.02559557545239456,0.02171421762651846
275,2011-02-25,763,0.031070706373212437,0.026725178276385406
276,2011-02-28,764,0.01393377219558939,0.009499130962922563
277,2011-03-01,769,-0.0007129958041299314,-0.004897846100924428
278,2011-03-02,778,-0.010540339131217095,-0.014817751636370896
279,2011-03-03,777,-0.00545286818544867,-0.009074538334920076
280,2011-03-04,777,-0.010729425851054289,-0.014345296241374858
281,2011-03-07,772,-0.0201306234454221,-0.02412670684504054
