model_group,task_id,target,year,feature,gain,gain_share,gain_rank,feature_count
direct_return_15,return_zscore__g_01__compact_core__2023,g_01,2023,market_all__st_rate,12209.136995315552,0.006598959933067941,39,557
direct_return_15,return_zscore__g_01__compact_core__2024,g_01,2024,market_all__st_rate,13253.284824371338,0.006702572791068644,35,557
direct_return_15,return_zscore__g_01__compact_core__2025,g_01,2025,market_all__st_rate,18542.106472969055,0.00850145385701055,20,557
direct_return_15,return_zscore__g_03__compact_core__2023,g_03,2023,market_all__st_rate,40032.395091056824,0.017164590841722505,3,557
direct_return_15,return_zscore__g_03__compact_core__2024,g_03,2024,market_all__st_rate,49045.46830368042,0.01958299159846961,3,557
direct_return_15,return_zscore__g_03__compact_core__2025,g_03,2025,market_all__st_rate,67284.01273918152,0.0248770203389835,2,557
direct_return_15,return_zscore__g_05__compact_core__2023,g_05,2023,market_all__st_rate,75012.91081809998,0.025656870344503507,1,557
direct_return_15,return_zscore__g_05__compact_core__2024,g_05,2024,market_all__st_rate,96601.77221298218,0.03093952296217174,1,557
direct_return_15,return_zscore__g_05__compact_core__2025,g_05,2025,market_all__st_rate,127423.9269580841,0.03784689300229831,1,557
direct_return_15,return_zscore__g_10__compact_core__2023,g_10,2023,market_all__st_rate,165979.41535568237,0.041927370450008515,1,557
direct_return_15,return_zscore__g_10__compact_core__2024,g_10,2024,market_all__st_rate,183180.64441680908,0.04337366002905588,1,557
direct_return_15,return_zscore__g_10__compact_core__2025,g_10,2025,market_all__st_rate,245680.18652915955,0.05266106299918202,1,557
direct_return_15,return_zscore__g_20__compact_core__2023,g_20,2023,market_all__st_rate,332056.0713996887,0.05677775947802765,1,557
direct_return_15,return_zscore__g_20__compact_core__2024,g_20,2024,market_all__st_rate,381554.26714134216,0.05999918299520258,1,557
direct_return_15,return_zscore__g_20__compact_core__2025,g_20,2025,market_all__st_rate,459247.45021629333,0.06704349280586892,1,557
policy_target_18,d10_endpoint_return__compact_core__2023,compact_core,2023,market_all__st_rate,13592.867887109518,0.07928873651177475,1,557
policy_target_18,d10_endpoint_return__compact_core__2024,compact_core,2024,market_all__st_rate,13493.323751181364,0.07470255138928539,2,557
policy_target_18,d10_endpoint_return__compact_core__2025,compact_core,2025,market_all__st_rate,17371.786902666092,0.08524157925823302,1,557
policy_target_18,d10_timeout_return__compact_core__2023,compact_core,2023,market_all__st_rate,5068.406215786934,0.06804955775089479,3,557
policy_target_18,d10_timeout_return__compact_core__2024,compact_core,2024,market_all__st_rate,5270.921623796225,0.06547730389072905,2,557
policy_target_18,d10_timeout_return__compact_core__2025,compact_core,2025,market_all__st_rate,5853.753922298551,0.06601530518772376,2,557
policy_target_18,d20_endpoint_return__compact_core__2023,compact_core,2023,market_all__st_rate,50761.56809784472,0.13497325071330027,1,557
policy_target_18,d20_endpoint_return__compact_core__2024,compact_core,2024,market_all__st_rate,53746.57599464059,0.13508193646973696,1,557
policy_target_18,d20_endpoint_return__compact_core__2025,compact_core,2025,market_all__st_rate,65559.16934686899,0.14650138143555322,1,557
policy_target_18,d20_timeout_return__compact_core__2023,compact_core,2023,market_all__st_rate,10128.911142081022,0.10039010924568247,1,557
policy_target_18,d20_timeout_return__compact_core__2024,compact_core,2024,market_all__st_rate,11946.978224337101,0.10786861106664866,1,557
policy_target_18,d20_timeout_return__compact_core__2025,compact_core,2025,market_all__st_rate,14112.34109711647,0.11594238128741277,1,557
policy_target_18,tp08_hit_d10__compact_core__2023,compact_core,2023,market_all__st_rate,638465.0776100159,0.048621466579276566,4,557
policy_target_18,tp08_hit_d10__compact_core__2024,compact_core,2024,market_all__st_rate,670838.4608001709,0.046709518472223654,4,557
policy_target_18,tp08_hit_d10__compact_core__2025,compact_core,2025,market_all__st_rate,903589.0336875916,0.055675677727446714,3,557
policy_target_18,tp08_hit_d20__compact_core__2023,compact_core,2023,market_all__st_rate,1350118.4973506927,0.08738998711320045,1,557
policy_target_18,tp08_hit_d20__compact_core__2024,compact_core,2024,market_all__st_rate,1472245.8003692627,0.08671096209064995,1,557
policy_target_18,tp08_hit_d20__compact_core__2025,compact_core,2025,market_all__st_rate,1737965.6172065735,0.09164674725299314,1,557
t1_direct_6,t1_return_zscore__open_to_close_2__compact_core__2023,open_to_close_2,2023,market_all__st_rate,23376.682188987732,0.011344055359437718,10,557
