year,trading_days,mean_st_rate,minimum_st_rate,maximum_st_rate,maximum_feature_error,marked_st_count,unmarked_st_candidate_count
2011,244,0.07285590813990607,0.017716535433070866,0.08665966386554622,3.713636620439331e-09,245,38
2012,243,0.020853035107790446,0.017949929145016533,0.02416626389560174,9.084322356855967e-10,196,361
2013,238,0.009967823050545598,0.00709891150023663,0.017949929145016533,4.5817193788932897e-10,40,175
2014,245,0.006092390323812496,0.004679457182966776,0.00709891150023663,2.325097926691999e-10,23,94
2015,244,0.007433917469590297,0.004961659900766802,0.009349955476402494,4.304432071194908e-10,207,323
2016,244,0.008208317648700171,0.0059957173447537475,0.008974358974358974,4.5802749613910176e-10,61,160
2017,244,0.010175432700594803,0.00631163708086785,0.012805587892898719,4.6397043325374643e-10,116,163
2018,243,0.013366568358877536,0.011594202898550725,0.015770609318996417,7.597455858876501e-10,406,278
2019,244,0.022085763903734602,0.014482515012363122,0.026005547850208043,9.226065571243947e-10,582,361
2020,243,0.03107663062379818,0.023980815347721823,0.03571428571428571,1.857730518028955e-09,615,558
2021,243,0.030950202886828655,0.029017857142857144,0.03643461288223813,1.8111095123618526e-09,674,463
2022,242,0.023473529191131853,0.019230769230769232,0.030764351411354265,9.251157270795396e-10,683,344
2023,242,0.019647547269926173,0.017192872772741483,0.02750859643638637,9.234620845788299e-10,822,236
2024,242,0.018893859278376866,0.01561524047470331,0.0262582056892779,9.187568796031886e-10,1480,570
2025,243,0.02306499472420702,0.016052880075542966,0.02768166089965398,8.809491539030212e-10,832,274
