preferred_task,reference_task,date_count,lag_or_block_days,annualized_mean_log_return_difference,annualized_hac_standard_error,hac_t,annualized_block_bootstrap_ci_low,annualized_block_bootstrap_ci_high,slot_count,cost,preferred_threshold,reference_threshold
dual_mfe_risk_veto__tp08_d20__k06__base,dual_mfe_risk_veto__tp05_d20__k06__base,727,20,0.08150696529770016,0.09522464056155547,0.8559440583554854,-0.10546770357570044,0.26438183274818366,6,base,8pct,tp05
dual_mfe_risk_veto__tp08_d20__k06__base,dual_mfe_risk_veto__tp05_d20__k06__base,727,60,0.08150696529770016,0.10251337526324464,0.7950861542544863,-0.10767347918197205,0.3047303129918942,6,base,8pct,tp05
dual_mfe_risk_veto__tp08_d20__k06__base,dual_mfe_risk_veto__tp10_d20__k06__base,727,20,0.08581751421248528,0.10554017068654832,0.8131265437059142,-0.13118518991253525,0.2915043783689671,6,base,8pct,tp10
dual_mfe_risk_veto__tp08_d20__k06__base,dual_mfe_risk_veto__tp10_d20__k06__base,727,60,0.08581751421248528,0.09072447886431396,0.9459135537260295,-0.09888679098640807,0.26236251434371677,6,base,8pct,tp10
dual_mfe_risk_veto__tp08_d20__k06__base,dual_mfe_risk_veto__timeout_only_d20__k06__base,727,20,0.060083908080999573,0.15932270210827312,0.3771208201086592,-0.2584037385361993,0.36208312396075604,6,base,8pct,timeout_only
dual_mfe_risk_veto__tp08_d20__k06__base,dual_mfe_risk_veto__timeout_only_d20__k06__base,727,60,0.060083908080999573,0.17810988565640654,0.33734179245338464,-0.2692915262666344,0.44307320935484773,6,base,8pct,timeout_only
dual_mfe_risk_veto__tp08_d20__k06__stress,dual_mfe_risk_veto__tp05_d20__k06__stress,727,20,0.08765873743397255,0.09428740493895887,0.9296972113160005,-0.1072241002673863,0.2755005875657312,6,stress,8pct,tp05
dual_mfe_risk_veto__tp08_d20__k06__stress,dual_mfe_risk_veto__tp05_d20__k06__stress,727,60,0.08765873743397255,0.10120524632666716,0.8661481555119228,-0.09555034254820448,0.3139233607253734,6,stress,8pct,tp05
dual_mfe_risk_veto__tp08_d20__k06__stress,dual_mfe_risk_veto__tp10_d20__k06__stress,727,20,0.08047742999907226,0.10482346262573124,0.7677425261786506,-0.1342435949530418,0.277129087469301,6,stress,8pct,tp10
dual_mfe_risk_veto__tp08_d20__k06__stress,dual_mfe_risk_veto__tp10_d20__k06__stress,727,60,0.08047742999907226,0.0902906312446844,0.8913153988366888,-0.1115696116638083,0.2576356905873082,6,stress,8pct,tp10
dual_mfe_risk_veto__tp08_d20__k06__stress,dual_mfe_risk_veto__timeout_only_d20__k06__stress,727,20,0.042858612403774476,0.15890286716514837,0.2697157903339236,-0.2717742113307317,0.3486922832863382,6,stress,8pct,timeout_only
dual_mfe_risk_veto__tp08_d20__k06__stress,dual_mfe_risk_veto__timeout_only_d20__k06__stress,727,60,0.042858612403774476,0.17756023554215078,0.24137505941526152,-0.2710173314627884,0.42842333567610347,6,stress,8pct,timeout_only
dual_mfe_risk_veto__tp08_d20__k12__base,dual_mfe_risk_veto__tp05_d20__k12__base,727,20,0.1852350252408429,0.05811716914109193,3.187268546944278,0.07590171738889745,0.30637800056793135,12,base,8pct,tp05
dual_mfe_risk_veto__tp08_d20__k12__base,dual_mfe_risk_veto__tp05_d20__k12__base,727,60,0.1852350252408429,0.05247683089909086,3.5298439724196844,0.0837484754376952,0.29420727939998326,12,base,8pct,tp05
dual_mfe_risk_veto__tp08_d20__k12__base,dual_mfe_risk_veto__tp10_d20__k12__base,727,20,0.07475416420539067,0.06903671921950316,1.0828174491853941,-0.07182663883025577,0.21244050937758704,12,base,8pct,tp10
