event,period,horizon,mean_excess_vs_date_universe,hac_se_excess_date_mean,hac_lcb_excess_date_mean
participation_shock,development_2012_2020,1,,,
participation_shock,development_2012_2020,3,-0.0009311138812552862,0.00037758613377200043,-0.0015236368239410917
participation_shock,development_2012_2020,5,-0.0027567806106808075,0.0005708572556188585,-0.004181778711979537
participation_shock,development_2012_2020,10,-0.004415923007229217,0.0009285823017139379,-0.00692487336535919
participation_shock,development_2012_2020,20,-0.0077163947444140206,0.001320084420699238,-0.011577715995343851
participation_shock,validation_2021_2022,1,,,
participation_shock,validation_2021_2022,3,0.00021061469657155697,0.0004787847358607912,-0.0008576686128417282
participation_shock,validation_2021_2022,5,-0.0006488669778803678,0.0008486476782457391,-0.002641902100997382
participation_shock,validation_2021_2022,10,-0.0009352272077361947,0.0015602847413097387,-0.004997517591908893
participation_shock,validation_2021_2022,20,-0.003171936304502328,0.0023038992417197504,-0.009455809742609237
participation_shock,oos_2023_2025,1,,,
participation_shock,oos_2023_2025,3,-0.0012736815093590736,0.0004813349655728714,-0.002401562393629082
participation_shock,oos_2023_2025,5,-0.0031003267321292206,0.0007384488812029069,-0.004869419503675308
participation_shock,oos_2023_2025,10,-0.006481728419515968,0.0011929871839598484,-0.009138532185704495
participation_shock,oos_2023_2025,20,-0.009456582786791283,0.0018301500418941232,-0.013434464843320565
positive_participation_shock,development_2012_2020,1,,,
positive_participation_shock,development_2012_2020,3,-0.0033575302312686497,0.0004632283624825281,-0.0042409609474841885
positive_participation_shock,development_2012_2020,5,-0.0069121858503431175,0.000641081072437935,-0.009625919326109303
positive_participation_shock,development_2012_2020,10,-0.009431100275486869,0.0010031646155951159,-0.013726045723940318
positive_participation_shock,development_2012_2020,20,-0.013265059253308082,0.0013246337177036773,-0.020322709915083188
positive_participation_shock,validation_2021_2022,1,,,
positive_participation_shock,validation_2021_2022,3,-0.002441834296156048,0.0007291346404251846,-0.004610870625649554
positive_participation_shock,validation_2021_2022,5,-0.004888369054857931,0.0011429942585594003,-0.00822086780781427
positive_participation_shock,validation_2021_2022,10,-0.00637041357450608,0.001921948958820742,-0.012110224963515645
positive_participation_shock,validation_2021_2022,20,-0.009919122460472454,0.0030301004632648314,-0.01996860606167574
positive_participation_shock,oos_2023_2025,1,,,
positive_participation_shock,oos_2023_2025,3,-0.004172918396355273,0.0006645507118833051,-0.0064677967588789055
positive_participation_shock,oos_2023_2025,5,-0.0071386944631645,0.0010671767618323255,-0.01121634607397047
positive_participation_shock,oos_2023_2025,10,-0.011715366346784552,0.0018047141252663863,-0.018394147041268714
positive_participation_shock,oos_2023_2025,20,-0.01584792843998053,0.0024473323036540997,-0.024550678081594945
range_expansion,development_2012_2020,1,,,
range_expansion,development_2012_2020,3,-0.001531765270543342,0.00041859142311885306,-0.002842669129922798
range_expansion,development_2012_2020,5,-0.0039914044832731295,0.0005484871256246156,-0.006883086481420844
range_expansion,development_2012_2020,10,-0.005585051249456247,0.0007558354116045493,-0.00997449372022045
range_expansion,development_2012_2020,20,-0.00786818216397875,0.0010382035513665953,-0.014488418871799521
range_expansion,validation_2021_2022,1,,,
range_expansion,validation_2021_2022,3,-0.0013230187249109332,0.0004992981595554452,-0.0034113559503259677
range_expansion,validation_2021_2022,5,-0.0027378746688826354,0.0007545462728810841,-0.006044576182722219
range_expansion,validation_2021_2022,10,-0.003550158335532408,0.0012025292154595147,-0.00850087698903041
range_expansion,validation_2021_2022,20,-0.00535219912570469,0.0019759268618039826,-0.013924034616140786
range_expansion,oos_2023_2025,1,,,
range_expansion,oos_2023_2025,3,-0.0024015694457222747,0.0005048008977558606,-0.004663622470860103
range_expansion,oos_2023_2025,5,-0.0040613289560689925,0.0007146766157208073,-0.007797772725174188
range_expansion,oos_2023_2025,10,-0.006667142664438941,0.001214142098916165,-0.01290720125641073
range_expansion,oos_2023_2025,20,-0.0098080186817873,0.0015581867757430287,-0.017103028899740184
breakout20,development_2012_2020,1,,,
breakout20,development_2012_2020,3,0.0018460720690028133,0.0010493764031856063,0.0022735536935605087
breakout20,development_2012_2020,5,0.00274275094819954,0.0017056563479191497,0.003012301058195001
breakout20,development_2012_2020,10,0.006691081667695613,0.0027387564153978122,0.006456241909389353
breakout20,development_2012_2020,20,0.005629620089326358,0.004141839454053114,0.002718036976862735
breakout20,validation_2021_2022,1,,,
breakout20,validation_2021_2022,3,-0.0016042615509860433,0.0010719106626354232,-0.004623492432265978
breakout20,validation_2021_2022,5,-0.0034751376123580233,0.0016622395883305941,-0.00810011422638321
breakout20,validation_2021_2022,10,-0.004451314840153622,0.002653364562229119,-0.01264020211734146
breakout20,validation_2021_2022,20,-0.007046272357823054,0.004249674389020164,-0.022257153559281935
breakout20,oos_2023_2025,1,,,
breakout20,oos_2023_2025,3,-0.002809900587660803,0.0009809904796234618,-0.006454114539321073
breakout20,oos_2023_2025,5,-0.004867801442050422,0.0015463538103558838,-0.011145373795433462
breakout20,oos_2023_2025,10,-0.007711554205394714,0.002384821176892068,-0.017422769915804444
breakout20,oos_2023_2025,20,-0.01152130477126917,0.0033446781330464426,-0.024983020027081394
breakout60,development_2012_2020,1,,,
breakout60,development_2012_2020,3,0.006011093967483366,0.0014343726378510241,0.009118991734743204
breakout60,development_2012_2020,5,0.009799710561870153,0.0024570576005076457,0.014175047266972794
breakout60,development_2012_2020,10,0.01741071519386256,0.004118909409414457,0.02217401531995975
breakout60,development_2012_2020,20,0.016271705910731748,0.005893453166788346,0.019219185518824282
breakout60,validation_2021_2022,1,,,
breakout60,validation_2021_2022,3,-0.0008055466466727576,0.0015183868628108677,-0.004893329643697484
breakout60,validation_2021_2022,5,-0.003174950375559926,0.0023869167335219335,-0.009825416728630007
breakout60,validation_2021_2022,10,-0.006308643909025012,0.0040120467830179595,-0.01880934865419824
breakout60,validation_2021_2022,20,-0.012551351527996722,0.006065874490422147,-0.033503812625201045
breakout60,oos_2023_2025,1,,,
breakout60,oos_2023_2025,3,-0.003914983490708818,0.0013680655801669508,-0.007572161485316254
breakout60,oos_2023_2025,5,-0.007315347827256231,0.002285030924025876,-0.014001417645781566
breakout60,oos_2023_2025,10,-0.011809581768352895,0.003405358968427359,-0.022153953390051655
