event,year,period,path_target,rows,dates,hit_rate,date_equal_hit_rate,hac_se_date_equal,hac_lcb_date_equal,median_up5_day,median_up10_day
participation_shock,2012,development_2012_2020,up5_before_down3,73533,243,0.42425849618538614,0.3916329497391006,0.03320101633459818,0.3265589577232882,5.0,9.0
participation_shock,2012,development_2012_2020,up10_before_down5,73533,243,0.34827900398460554,0.3081254188697454,0.03971988744948561,0.23027443946875364,5.0,9.0
positive_participation_shock,2012,development_2012_2020,up5_before_down3,24338,243,0.41761853891034595,0.37428709183123676,0.02698202708963791,0.3214023187355465,5.0,9.0
positive_participation_shock,2012,development_2012_2020,up10_before_down5,24338,243,0.35878050784781,0.3050653302049519,0.03611222845289954,0.23428536243726883,5.0,9.0
range_expansion,2012,development_2012_2020,up5_before_down3,35203,243,0.4374911229156606,0.3883708816035276,0.028799283256639815,0.3319242864205136,4.0,9.0
range_expansion,2012,development_2012_2020,up10_before_down5,35203,243,0.35153253984035454,0.30451975709023194,0.035849384651643425,0.2342549631730108,4.0,9.0
breakout20,2012,development_2012_2020,up5_before_down3,20430,243,0.41062163485070974,0.36745142146539006,0.027696380469160807,0.3131665157458349,5.0,9.0
breakout20,2012,development_2012_2020,up10_before_down5,20430,243,0.3429760156632403,0.2905598415288295,0.031032491767002384,0.22973615766550484,5.0,9.0
breakout60,2012,development_2012_2020,up5_before_down3,6303,239,0.32429002062509915,0.3597972421902564,0.024444823457836422,0.311885388212897,4.0,7.0
breakout60,2012,development_2012_2020,up10_before_down5,6303,239,0.2530541012216405,0.2775488238534233,0.028750911345038883,0.22119703761714707,4.0,7.0
breakout_confirmed,2012,development_2012_2020,up5_before_down3,10578,241,0.39544337303838156,0.3640279447427899,0.02787444805485161,0.3093940265552807,5.0,9.0
breakout_confirmed,2012,development_2012_2020,up10_before_down5,10578,241,0.3351295140858385,0.29223115169435965,0.031243810674416745,0.23099328277250283,5.0,9.0
retest20,2012,development_2012_2020,up5_before_down3,985,157,0.38578680203045684,0.3299961042957944,0.052146141576541655,0.22778966680577276,7.0,10.0
retest20,2012,development_2012_2020,up10_before_down5,985,157,0.3187817258883249,0.23113506796945593,0.04949150081391731,0.134131726374178,7.0,10.0
rebreakout20,2012,development_2012_2020,up5_before_down3,390,104,0.45384615384615384,0.3890145785731226,0.05876891165791942,0.27382751172360054,6.0,10.0
rebreakout20,2012,development_2012_2020,up10_before_down5,390,104,0.37435897435897436,0.2815434940842268,0.06034204564418409,0.16327308462162599,6.0,10.0
climax_fade,2012,development_2012_2020,up5_before_down3,162,108,0.43209876543209874,0.4577160493827161,0.045566310469729754,0.3684060808620458,4.0,8.0
climax_fade,2012,development_2012_2020,up10_before_down5,162,108,0.32098765432098764,0.321141975308642,0.0612160582394848,0.20115850115925182,4.0,8.0
participation_shock,2013,development_2012_2020,up5_before_down3,64829,238,0.3925403754492588,0.38529283360616035,0.021087773366214344,0.34396079780838024,4.0,7.0
participation_shock,2013,development_2012_2020,up10_before_down5,64829,238,0.3115272486078761,0.30811163663677993,0.023050672002565126,0.2629323195117523,4.0,7.0
positive_participation_shock,2013,development_2012_2020,up5_before_down3,23053,238,0.3779985251377261,0.38198603687221877,0.018334611318204238,0.3460501986885385,4.0,7.0
positive_participation_shock,2013,development_2012_2020,up10_before_down5,23053,238,0.30690148787576454,0.3064521266870389,0.021455055147696696,0.2644002185975534,4.0,7.0
range_expansion,2013,development_2012_2020,up5_before_down3,34870,238,0.3904789217092056,0.39097193105475386,0.018961826875156323,0.3538067503794475,4.0,8.0
range_expansion,2013,development_2012_2020,up10_before_down5,34870,238,0.3088328075709779,0.3095722104179112,0.021902845316976862,0.2666426335966366,4.0,8.0
breakout20,2013,development_2012_2020,up5_before_down3,25984,238,0.3731527093596059,0.38747142469579143,0.01627020189640324,0.35558182897884105,4.0,7.0
breakout20,2013,development_2012_2020,up10_before_down5,25984,238,0.30511083743842365,0.3246493935963904,0.019675498049551217,0.28608541741927,4.0,7.0
breakout60,2013,development_2012_2020,up5_before_down3,13368,238,0.36632256134051466,0.39639706319803475,0.015082435373044444,0.36683548986686765,3.0,6.0
breakout60,2013,development_2012_2020,up10_before_down5,13368,238,0.30453321364452424,0.33827817093642265,0.018584355750537466,0.3018528336653692,3.0,6.0
breakout_confirmed,2013,development_2012_2020,up5_before_down3,13521,238,0.37171806819022263,0.38478015037180463,0.01660705399555448,0.35223032454051784,4.0,7.0
breakout_confirmed,2013,development_2012_2020,up10_before_down5,13521,238,0.3023445011463649,0.3155367132493737,0.020502753742977338,0.2753513159131381,4.0,7.0
retest20,2013,development_2012_2020,up5_before_down3,1241,177,0.32232070910556004,0.32973650355358264,0.027410582734101383,0.2760117613947439,5.0,9.0
retest20,2013,development_2012_2020,up10_before_down5,1241,177,0.28283642224012895,0.27850165148938305,0.025022505919863804,0.22945753988645,5.0,9.0
rebreakout20,2013,development_2012_2020,up5_before_down3,542,142,0.3726937269372694,0.3507213932204578,0.03878839406681366,0.274696140849503,5.0,7.0
rebreakout20,2013,development_2012_2020,up10_before_down5,542,142,0.3062730627306273,0.25635869415986073,0.034371728279899136,0.18899010673125843,5.0,7.0
climax_fade,2013,development_2012_2020,up5_before_down3,204,126,0.44607843137254904,0.4575774754346183,0.04367719020280549,0.37197018263711956,3.0,6.0
climax_fade,2013,development_2012_2020,up10_before_down5,204,126,0.3431372549019608,0.3479780801209372,0.03506362860297785,0.2792533680591006,3.0,6.0
participation_shock,2014,development_2012_2020,up5_before_down3,72502,245,0.4432015668533282,0.43612735922197254,0.0256431535294655,0.38586677830422017,5.0,8.0
participation_shock,2014,development_2012_2020,up10_before_down5,72502,245,0.3643209842487104,0.36417090288794435,0.02643502801889934,0.3123582479709016,5.0,8.0
positive_participation_shock,2014,development_2012_2020,up5_before_down3,24262,245,0.41224960844118375,0.4194962087112075,0.02165312916229717,0.37705607555310505,4.0,8.0
positive_participation_shock,2014,development_2012_2020,up10_before_down5,24262,245,0.35891517599538375,0.3648019766035934,0.023787473845192617,0.3181785278670159,4.0,8.0
range_expansion,2014,development_2012_2020,up5_before_down3,40464,245,0.43952649268485566,0.4346942095722089,0.023264675376812382,0.38909544583365663,4.0,8.0
range_expansion,2014,development_2012_2020,up10_before_down5,40464,245,0.36988434163701067,0.36949189080433564,0.0250751676934284,0.320344562125216,4.0,8.0
breakout20,2014,development_2012_2020,up5_before_down3,31597,245,0.4346298699243599,0.43616647466865177,0.022310486750396624,0.3924379206378744,4.0,7.0
breakout20,2014,development_2012_2020,up10_before_down5,31597,245,0.37766243630724433,0.37904008907032477,0.025139433625056756,0.3297667991652135,4.0,7.0
breakout60,2014,development_2012_2020,up5_before_down3,20534,245,0.43206389402941464,0.4260447632200914,0.020861192780924978,0.38515682536947843,4.0,7.0
breakout60,2014,development_2012_2020,up10_before_down5,20534,245,0.3923249245154378,0.3802629777411025,0.024199844920602474,0.33283128169672166,4.0,7.0
breakout_confirmed,2014,development_2012_2020,up5_before_down3,15739,245,0.4074591778384904,0.41172173172624854,0.022176882485246192,0.368255042055166,4.0,7.0
breakout_confirmed,2014,development_2012_2020,up10_before_down5,15739,245,0.35370735116589364,0.3631220100546214,0.02399021506410061,0.3161011885289842,4.0,7.0
retest20,2014,development_2012_2020,up5_before_down3,1736,199,0.44585253456221197,0.42709349683767217,0.03606217038749474,0.3564116428781825,6.0,10.0
retest20,2014,development_2012_2020,up10_before_down5,1736,199,0.4049539170506912,0.3567598774799519,0.0420982413445005,0.27424732444473093,6.0,10.0
rebreakout20,2014,development_2012_2020,up5_before_down3,808,172,0.4158415841584158,0.44445061096483285,0.04220987285940375,0.3617192601604015,5.0,9.0
