year,row_count,changed_rows,changed_symbols,newly_st,no_longer_st,unknown_rows
2010,427642,59191.0,253,193.0,0.0,58998.0
2011,478486,59646.0,348,3169.0,29.0,56448.0
2012,507126,23394.0,125,23319.0,75.0,0.0
2013,503084,12708.0,90,12668.0,40.0,0.0
2014,525827,9362.0,73,9117.0,245.0,0.0
2015,552825,9017.0,64,8773.0,244.0,0.0
2016,577198,11484.0,80,11240.0,244.0,0.0
2017,640123,10891.0,83,10823.0,68.0,0.0
2018,680143,10853.0,74,10853.0,0.0,0.0
2019,699566,14524.0,87,14524.0,0.0,0.0
2020,717104,23254.0,123,23254.0,0.0,0.0
2021,750932,20079.0,136,20079.0,0.0,0.0
2022,762466,14601.0,88,14601.0,0.0,0.0
2023,771488,11365.0,70,11225.0,140.0,0.0
2024,771470,10845.0,70,10845.0,0.0,0.0
2025,772799,11344.0,76,11344.0,0.0,0.0
2026,418505,7337.0,149,3592.0,0.0,3745.0
