pattern,is_st_label,event_year,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
A,ST,2020,71,58,63,69,2,0.0025631780387864395,-0.0024691358024691024,0.4782608695652174,0.37681159420289856,0.2608695652173913,0.03479506677055438,0.8840579710144928,0.010676510686185681,0.6376811594202898,69,2,0.003099813066799572,0.0,0.4927536231884058,0.43478260869565216,0.3188405797101449,0.029269786691394222,0.6811594202898551,0.002829966045255976,0.4492753623188406,68,3,0.010477048670587786,0.003012048192771122,0.5,0.45588235294117646,0.36764705882352944,0.030763398651191525,0.6176470588235294,0.0037170159236797097,0.5,68,3,0.0067868390394620415,-0.00480599647266311,0.47058823529411764,0.4264705882352941,0.35294117647058826,0.032729183884716705,0.6617647058823529,0.005341407523229428,0.4852941176470588,69,16,0.2318840579710145,71,1.0
A,ST,2021,88,67,66,88,0,0.010351738186512317,0.009156639959800206,0.5795454545454546,0.4772727272727273,0.38636363636363635,0.03714134836802758,0.9204545454545454,0.011938165921528727,0.7045454545454546,87,1,0.014799309425368673,0.008810572687224738,0.5402298850574713,0.4942528735632184,0.367816091954023,0.04136851863993157,0.7701149425287356,0.016194489856816926,0.4827586206896552,87,1,0.018867789233464306,0.011627906976744207,0.5747126436781609,0.5287356321839081,0.40229885057471265,0.04615651989229831,0.735632183908046,0.019154653840760687,0.5057471264367817,88,0,0.03830831486026334,0.018787933780977095,0.5568181818181818,0.5340909090909091,0.4318181818181818,0.06394632123225662,0.6477272727272727,0.03949329289146936,0.5795454545454546,88,31,0.3522727272727273,88,1.0
A,ST,2022,37,34,35,37,0,0.002257182631034432,0.0,0.4864864864864865,0.40540540540540543,0.24324324324324326,0.031842879344781735,0.918918918918919,0.010309541610921485,0.6756756756756757,37,0,0.009818657422728382,0.014851485148514865,0.6216216216216216,0.5945945945945946,0.32432432432432434,0.03491876345001977,0.7837837837837838,0.003184200664197727,0.43243243243243246,37,0,0.002631819849287959,-0.01025641025641022,0.43243243243243246,0.3783783783783784,0.32432432432432434,0.03129070196160718,0.6756756756756757,0.007891237261265411,0.5405405405405406,36,1,-0.011005986205817145,-0.02435185715103305,0.3888888888888889,0.3333333333333333,0.25,0.014854975333712793,0.5277777777777778,-0.006465091741581321,0.3888888888888889,37,9,0.24324324324324326,37,1.0
A,ST,2023,30,28,25,30,0,0.008207915736757564,0.005952380952380931,0.5666666666666667,0.43333333333333335,0.3,0.03404348116093365,0.9,0.005846173216094912,0.4666666666666667,28,2,0.01782333232856054,0.018469454136850083,0.6071428571428571,0.6071428571428571,0.39285714285714285,0.039734491712881626,0.7142857142857143,0.011376207155329656,0.5714285714285714,29,1,0.014545607886529676,0.01091703056768556,0.5517241379310345,0.5172413793103449,0.3793103448275862,0.04500221908709588,0.7586206896551724,0.020623451877723437,0.5862068965517241,29,1,-0.006895697053722735,-0.019315188762072055,0.4482758620689655,0.3793103448275862,0.27586206896551724,0.019382558878578506,0.5517241379310345,-0.006685923473237192,0.4482758620689655,30,9,0.3,30,1.0
A,ST,2024,42,33,29,42,0,0.006097458717981735,0.0,0.47619047619047616,0.47619047619047616,0.35714285714285715,0.03437381422060183,0.8333333333333334,0.009748837224831755,0.5476190476190477,42,0,0.013270639442303481,0.019041233657391854,0.5476190476190477,0.5476190476190477,0.4523809523809524,0.03454596397610338,0.6904761904761905,0.009374047855030937,0.5238095238095238,42,0,0.021942997943941556,0.02729182582123746,0.5952380952380952,0.5476190476190477,0.47619047619047616,0.0461565821058614,0.6428571428571429,0.022730373213016096,0.5714285714285714,42,0,0.03173699908632948,0.03645526850287584,0.5952380952380952,0.5952380952380952,0.5476190476190477,0.05463669974390442,0.6428571428571429,0.023022205351602276,0.5714285714285714,42,14,0.3333333333333333,42,1.0
A,ST,2025,25,20,24,24,1,0.0019349841985986705,0.0024207812735209666,0.5416666666666666,0.4166666666666667,0.2916666666666667,0.033254702588801276,0.875,0.0053921566039439,0.625,24,1,0.002049733461982862,-0.0022039637772918175,0.4166666666666667,0.3333333333333333,0.25,0.029038951179466792,0.75,0.010965503806288029,0.5,24,1,0.003683244431574075,0.0065026026699180894,0.5833333333333334,0.375,0.25,0.030615765106267318,0.6666666666666666,0.00598000881689185,0.375,23,2,0.008679373938048353,0.0060882800608828,0.6086956521739131,0.391304347826087,0.34782608695652173,0.03615291017466538,0.7391304347826086,0.006832445884151975,0.5652173913043478,24,5,0.20833333333333334,25,1.0
A,ordinary,2020,498,448,190,498,0,0.014574455954304915,0.010678260244399773,0.5261044176706827,0.5020080321285141,0.42971887550200805,0.06507777325540066,0.8654618473895582,0.020533397132904526,0.6365461847389559,497,1,0.010547361926648123,-0.004120879120879106,0.47484909456740443,0.4346076458752515,0.3722334004024145,0.05509462392087755,0.6458752515090543,0.010694236597462829,0.44466800804828976,497,1,0.006069129824885221,-0.022183175927959597,0.42857142857142855,0.3983903420523139,0.34808853118712274,0.04565035623770478,0.5533199195171026,0.0009351351349103768,0.39436619718309857,496,2,0.0006391033577865087,-0.034587683476997866,0.3850806451612903,0.3629032258064516,0.3125,0.03522823350282591,0.46169354838709675,-0.0033348270969413047,0.3689516129032258,498,150,0.30120481927710846,497,0.9979919678714859
A,ordinary,2021,580,512,213,579,1,0.0168340591224871,0.009615384615384581,0.5509499136442142,0.49740932642487046,0.40414507772020725,0.06523075239368377,0.8860103626943006,0.018700488234249704,0.6252158894645942,579,1,0.014857881956105426,-0.0022883295194507935,0.48877374784110533,0.44041450777202074,0.37132987910189985,0.06037178827656319,0.7029360967184801,0.011502645539416625,0.46459412780656306,579,1,0.011719723208032178,-0.012318029115341522,0.4525043177892919,0.4283246977547496,0.3592400690846287,0.052588361929480645,0.5941278065630398,0.007332970593684299,0.4110535405872193,578,2,0.012844242237318532,-0.02605793546691626,0.39792387543252594,0.3719723183391003,0.32698961937716264,0.0479949031301522,0.5224913494809689,0.007256948340044475,0.40657439446366783,579,162,0.27979274611398963,576,0.993103448275862
A,ordinary,2022,680,581,228,680,0,0.008414413661701578,-0.0002699784017278217,0.49411764705882355,0.43970588235294117,0.3764705882352941,0.06831146869739624,0.875,0.017077543312342906,0.6176470588235294,680,0,0.0014016907632129858,-0.012150041642641995,0.40147058823529413,0.36617647058823527,0.2897058823529412,0.050125400859249165,0.6088235294117647,-0.00034423873817719647,0.38235294117647056,679,1,-0.005800597547351073,-0.03155127081507447,0.390279823269514,0.36524300441826213,0.29013254786450665,0.03710152954806537,0.5213549337260678,-0.010281252514708806,0.32989690721649484,680,0,-0.01576731988882769,-0.04596623712000908,0.34411764705882353,0.31470588235294117,0.27205882352941174,0.020005550304910004,0.4470588235294118,-0.01981214256962689,0.3161764705882353,680,199,0.2926470588235294,672,0.9882352941176471
A,ordinary,2023,333,296,170,332,1,0.018502400025530302,0.01393069729912677,0.572289156626506,0.5180722891566265,0.4427710843373494,0.06906987929605028,0.891566265060241,0.02127931154587903,0.6385542168674698,332,1,0.016481143035569454,-0.00845419396997693,0.46686746987951805,0.4367469879518072,0.35240963855421686,0.06346116268691186,0.7078313253012049,0.01316397480331621,0.45481927710843373,332,1,0.012910019180206473,-0.013053018410161321,0.45481927710843373,0.4186746987951807,0.35542168674698793,0.05642414660681584,0.5903614457831325,0.005809261464574344,0.3825301204819277,332,1,0.003943129808529703,-0.02085176848042647,0.4036144578313253,0.35843373493975905,0.29518072289156627,0.037459849263582805,0.5572289156626506,-0.0044850887335015546,0.3644578313253012,332,104,0.3132530120481928,329,0.987987987987988
A,ordinary,2024,746,651,212,743,3,0.0003690982613043163,-0.016449234259784395,0.4522207267833109,0.40915208613728127,0.35262449528936746,0.06125164566813305,0.8209959623149394,0.01615404226661308,0.5410497981157469,743,3,-0.008693513525160046,-0.03170731707317065,0.3553162853297443,0.3203230148048452,0.2718707940780619,0.04029219736170082,0.550471063257066,-0.0008236553168133931,0.3674293405114401,744,2,-0.01831753890682967,-0.053777453610666215,0.33736559139784944,0.3185483870967742,0.2661290322580645,0.02370618768630071,0.44489247311827956,-0.01595863598555768,0.3010752688172043,744,2,-0.02575752585005162,-0.061439459303997745,0.31989247311827956,0.2970430107526882,0.24327956989247312,0.010923551643829339,0.39919354838709675,-0.02618711284197756,0.2849462365591398,743,189,0.2543741588156124,744,0.9973190348525469
A,ordinary,2025,595,532,214,592,3,0.008025077803362524,-0.0051859290791977375,0.4780405405405405,0.4358108108108108,0.38344594594594594,0.06235309616575781,0.8581081081081081,0.017705736384292365,0.5692567567567568,592,3,0.009166904882747136,-0.010220024284344376,0.4172297297297297,0.38513513513513514,0.32432432432432434,0.05214349862675673,0.643581081081081,0.0026294718658172443,0.38344594594594594,593,2,0.004185748837597449,-0.023569023569023684,0.4148397976391231,0.3962900505902192,0.31197301854974707,0.047135449421369546,0.5480607082630692,0.001139422140950552,0.3608768971332209,593,2,-0.0010767683329152957,-0.045304777594728174,0.3440134907251265,0.32040472175379425,0.2799325463743676,0.03438230801550594,0.45531197301854975,-0.0022271367643047417,0.3524451939291737,592,162,0.27364864864864863,595,1.0
B,ST,2020,5,5,5,5,0,-0.01234098942722639,-0.007861635220125951,0.4,0.2,0.0,0.01362047363523391,0.6,-0.019626896224901325,0.4,5,0,-0.034718436451374735,-0.037800687285223455,0.2,0.2,0.2,-0.015117308599366197,0.4,-0.03083314200609415,0.2,4,1,-0.044256810573642974,-0.030957844637090004,0.0,0.0,0.0,-0.017412524676710228,0.5,-0.060000054973282035,0.0,4,1,-0.030478047749668308,-0.013020567737548894,0.5,0.25,0.25,-0.009916738761279659,0.75,-0.04102613063784921,0.5,0,0,,5,1.0
