sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_1d,2022,-0.5234957614,-0.5471863391
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_1d,2023,0.1271369684,-0.5140820826
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_2d,2022,-0.181067983,-0.3707499303
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_2d,2023,0.135973725,-0.2155320595
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_3d,2022,0.1017587849,-0.2793711436
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_3d,2023,-0.1529915595,-0.1958397951
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_5d,2022,-0.1718153541,-0.3090327612
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,next_open_5d,2023,0.0175577894,-0.1842002221
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,2022,-0.4319915617,-0.4784801792
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,2023,0.0248037748,-0.4629659749
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,2022,-0.3973955224,-0.4047219362
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,2023,-0.012143825,-0.41848937
primary_development_2022_2023_partial,current_contract,random_hash,0,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,2022,-0.5712416466,-0.6010776821
