selection_ranker,selection_seed,strategy_id,policy_id,net_return_primary,maximum_drawdown_primary,fully_resolved_primary,net_return_supplemental,maximum_drawdown_supplemental,fully_resolved_supplemental,same_return_sign,return_difference_primary_minus_supplemental
flow_quality,0,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,-0.4643572461,-0.5699835699,False,-0.0310395925,-0.0504062108,True,True,-0.4333176536
flow_quality,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,-0.4704136357,-0.4822298315,True,-0.0568307205,-0.0774263679,True,True,-0.4135829152
flow_quality,0,cs_r3_leader_confirmation,next_open_1d,-0.4666862253,-0.548394155,False,-0.0763176408,-0.0869555426,True,True,-0.3903685845
flow_quality,0,cs_r3_leader_confirmation,next_open_2d,-0.0698256362,-0.3724685519,False,-0.06918296,-0.1109571802,True,True,-0.0006426761999999975
flow_quality,0,cs_r3_leader_confirmation,next_open_3d,-0.1233224167,-0.2678337757,False,-0.0806010133,-0.102287621,True,True,-0.04272140340000001
flow_quality,0,cs_r3_leader_confirmation,next_open_5d,-0.1595153419,-0.2998847681,True,0.0216483181,-0.0346200414,True,False,-0.18116366
flow_quality,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,-0.3204895505,-0.4391572256,False,-0.0472286105,-0.069299537,True,True,-0.27326094
flow_quality,0,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,-0.364355661,-0.4581472949,True,0.017505122,-0.0399974939,True,False,-0.381860783
flow_quality,0,fu_r3_core_pullback,momentum_trail_4pct_5d,-0.2424318461,-0.3119909448,True,-0.0496420452,-0.0739889249,True,True,-0.19278980089999997
flow_quality,0,fu_r3_core_pullback,next_open_1d,-0.3216780267,-0.4328726963,True,-0.0028955705,-0.0289442361,True,True,-0.3187824562
flow_quality,0,fu_r3_core_pullback,next_open_2d,-0.0710439516,-0.2538683116,True,0.0315079309,-0.024756424,True,False,-0.1025518825
flow_quality,0,fu_r3_core_pullback,next_open_3d,0.1416772633,-0.1883269472,True,-0.0197280592,-0.0451275783,True,False,0.1614053225
flow_quality,0,fu_r3_core_pullback,next_open_5d,-0.0121990902,-0.291744571,True,-0.0077272722,-0.0563910463,True,True,-0.004471818
flow_quality,0,fu_r3_core_pullback,protect_3pct_target6pct_3d,-0.1755435442,-0.2945742732,True,-0.0201175056,-0.0473779303,True,True,-0.1554260386
