strategy_id,selection_ranker,policy_id,shared_account_count,same_return_sign_fraction,primary_mean_return,supplemental_mean_return,primary_median_return,supplemental_median_return
cs_r3_leader_confirmation,flow_quality,fast_failure_2pct_target4pct_2d,5,0.8,-0.54246879372,-0.01895459296,-0.5636971241,-0.0310395925
cs_r3_leader_confirmation,flow_quality,momentum_trail_4pct_5d,5,1.0,-0.30309674861999997,-0.02376132288,-0.3943720048,-0.0142426665
cs_r3_leader_confirmation,flow_quality,next_open_1d,5,1.0,-0.47953754794,-0.056030783220000005,-0.4831308221,-0.0748864147
cs_r3_leader_confirmation,flow_quality,next_open_2d,5,0.2,-0.07375637877999999,0.00616481604,-0.0698256362,0.0050800344
cs_r3_leader_confirmation,flow_quality,next_open_3d,5,0.6,-0.18832815817999998,-0.024874630939999996,-0.185557495,-0.0173318857
cs_r3_leader_confirmation,flow_quality,next_open_5d,5,0.4,0.04880213275999999,-0.01809241022,-0.0975966574,-0.0258893121
cs_r3_leader_confirmation,flow_quality,protect_3pct_target6pct_3d,5,1.0,-0.36749125764,-0.0337707851,-0.3517288772,-0.0343981074
cs_r3_leader_confirmation,random_hash,fast_failure_2pct_target4pct_2d,5,0.8,-0.5498805408,-0.02316266774,-0.5503917557,-0.0264518483
cs_r3_leader_confirmation,random_hash,momentum_trail_4pct_5d,5,1.0,-0.31991921434,-0.02018147842,-0.3389331628,-0.0139422123
cs_r3_leader_confirmation,random_hash,next_open_1d,5,1.0,-0.47868370163999996,-0.05498785112,-0.483617803,-0.0690020463
cs_r3_leader_confirmation,random_hash,next_open_2d,5,0.4,-0.06787935106,0.006163361099999999,-0.0697147461,0.0050727597
cs_r3_leader_confirmation,random_hash,next_open_3d,5,0.6,-0.16795610994000001,-0.024874630939999996,-0.1691956833,-0.0173318857
cs_r3_leader_confirmation,random_hash,next_open_5d,5,0.4,0.04637511394,-0.01809241022,-0.1105924047,-0.0258893121
cs_r3_leader_confirmation,random_hash,protect_3pct_target6pct_3d,5,0.8,-0.42546286695999996,-0.02953591212,-0.4179028083,-0.0302172913
cs_r3_leader_confirmation,sector_leader,fast_failure_2pct_target4pct_2d,5,1.0,-0.5470285904,-0.0503963594,-0.5470285904,-0.0503963594
cs_r3_leader_confirmation,sector_leader,momentum_trail_4pct_5d,5,1.0,-0.46044745339999993,-0.0999103875,-0.4604474534,-0.0999103875
cs_r3_leader_confirmation,sector_leader,next_open_1d,5,0.0,-0.5726597874,0.032239476,-0.5726597874,0.032239476
cs_r3_leader_confirmation,sector_leader,next_open_2d,5,0.0,-0.0955158393,0.0086853041,-0.0955158393,0.0086853041
cs_r3_leader_confirmation,sector_leader,next_open_3d,5,1.0,-0.1684054879,-0.005286982,-0.1684054879,-0.005286982
cs_r3_leader_confirmation,sector_leader,next_open_5d,5,1.0,-0.0119428848,-0.0451772311,-0.0119428848,-0.0451772311
cs_r3_leader_confirmation,sector_leader,protect_3pct_target6pct_3d,5,1.0,-0.3811761008,-0.0802441653,-0.3811761008,-0.0802441653
cs_r3_leader_confirmation,trend_structure,fast_failure_2pct_target4pct_2d,5,0.6,-0.59203382506,-0.01980237768,-0.6020884353,-0.0270201845
cs_r3_leader_confirmation,trend_structure,momentum_trail_4pct_5d,5,1.0,-0.35027200346,-0.07384583471999999,-0.3041372655,-0.0725483815
cs_r3_leader_confirmation,trend_structure,next_open_1d,5,1.0,-0.49608812570000005,-0.05651790423999999,-0.5112931976,-0.0551914177
cs_r3_leader_confirmation,trend_structure,next_open_2d,5,0.8,-0.22457939286,-0.00955390318,-0.2520776482,-0.0148113268
cs_r3_leader_confirmation,trend_structure,next_open_3d,5,1.0,-0.153564126,-0.0667396116,-0.1284058184,-0.0756360475
cs_r3_leader_confirmation,trend_structure,next_open_5d,5,0.8,-0.0423359458,-0.06275848422,-0.0888018177,-0.0662196548
cs_r3_leader_confirmation,trend_structure,protect_3pct_target6pct_3d,5,1.0,-0.4401019636,-0.01824631796,-0.4615505294,-0.0198076158
fu_r3_core_pullback,flow_quality,fast_failure_2pct_target4pct_2d,5,0.6,-0.11102880904000001,-0.011601727019999999,-0.120326474,-0.0105600739
fu_r3_core_pullback,flow_quality,momentum_trail_4pct_5d,5,0.4,0.06980781516000001,-0.03453325424,0.1081746147,-0.0390469495
fu_r3_core_pullback,flow_quality,next_open_1d,5,0.6,-0.14038555753999998,-0.01671205798,-0.1418058603,-0.0211750086
fu_r3_core_pullback,flow_quality,next_open_2d,5,0.6,-0.030543186840000004,-1.9200959999999406e-05,-0.0710439516,0.0010918697
fu_r3_core_pullback,flow_quality,next_open_3d,5,0.4,0.1512169429,-0.02135415672,0.119203165,-0.0197280592
