sample_group,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,fast_failure_2pct_target4pct_2d,460,7,0.015217391304347827,38,0.08260869565217391,-0.4512471803841305,-0.4874236,0.1972599325912473,-0.8439315255,0.4064967105,-0.5112879160082608,-0.5239893699,-0.8490321091,1009.1521739130435,464210,62053,972
primary_development_2022_2023_partial,momentum_trail_4pct_5d,460,37,0.08043478260869565,208,0.45217391304347826,-0.3073054973467392,-0.32535899375,0.19944906828038322,-0.7148154632,0.3926328349,-0.4036758367515217,-0.38765419805,-0.7219173805,581.0826086956522,267298,24195,380
primary_development_2022_2023_partial,next_open_1d,460,13,0.02826086956521739,21,0.04565217391304348,-0.4176186165393478,-0.45224078665,0.19421167554776747,-0.83393705,0.1501377477,-0.49115274336326087,-0.497189238,-0.8353687489,1014.1065217391305,466489,43864,1264
primary_development_2022_2023_partial,next_open_2d,460,47,0.10217391304347827,55,0.11956521739130435,-0.2692191253473913,-0.28257439110000004,0.19357615925390173,-0.7984885699,0.2811020036,-0.3878809046602174,-0.37760238355,-0.7995422949,638.8913043478261,293890,53098,791
primary_development_2022_2023_partial,next_open_3d,460,95,0.20652173913043478,107,0.2326086956521739,-0.16523312641586957,-0.19059419290000001,0.2535721287928623,-0.7585358976,0.6616228093,-0.36091417568999995,-0.34940135554999996,-0.7774525423,446.0,205160,47746,681
primary_development_2022_2023_partial,next_open_5d,460,89,0.1934782608695652,170,0.3695652173913043,-0.13160607787891304,-0.1539859986,0.22474527432939911,-0.629835188,0.6169345303,-0.3381142813893478,-0.3247121263,-0.6517074569,300.2173913043478,138100,26412,449
primary_development_2022_2023_partial,protect_3pct_target6pct_3d,460,22,0.04782608695652174,78,0.16956521739130434,-0.38628250423065225,-0.4007177769,0.19257279226793692,-0.7899472553,0.3512620705,-0.4595466895958696,-0.45655423120000005,-0.7947750285,818.3630434782609,376447,47721,662
supplemental_2023_09_legacy,fast_failure_2pct_target4pct_2d,440,78,0.17727272727272728,404,0.9181818181818182,-0.03388618185272727,-0.037910810850000004,0.03892956524470849,-0.1231590596,0.0716975378,-0.06762395449590909,-0.06421259,-0.1574972186,69.53181818181818,30594,38,36
supplemental_2023_09_legacy,momentum_trail_4pct_5d,440,80,0.18181818181818182,432,0.9818181818181818,-0.0330762013475,-0.0300205069,0.03929426805593917,-0.1443530667,0.05689999,-0.06601902590499999,-0.0626280954,-0.1503034332,30.163636363636364,13272,21,8
supplemental_2023_09_legacy,next_open_1d,440,90,0.20454545454545456,399,0.9068181818181819,-0.03923118621704546,-0.0426752397,0.04900073933707896,-0.1375624919,0.4403390455,-0.07432086987272728,-0.07006581,-0.1575843545,95.0840909090909,41837,10,41
supplemental_2023_09_legacy,next_open_2d,440,134,0.30454545454545456,429,0.975,-0.02547651914340909,-0.0261385819,0.041652203980537615,-0.1916232644,0.0752456231,-0.06664888028227271,-0.0590032482,-0.2131095135,48.14545454545455,21184,491,11
supplemental_2023_09_legacy,next_open_3d,440,98,0.22272727272727272,423,0.9613636363636363,-0.02733386349704545,-0.02726916645,0.04082919416484879,-0.1617494503,0.0908552118,-0.063336192665,-0.05842607365,-0.1529166798,33.961363636363636,14943,12,17
supplemental_2023_09_legacy,next_open_5d,440,80,0.18181818181818182,439,0.9977272727272727,-0.029561714870000002,-0.0333675678,0.036178433088658195,-0.123630592,0.1188073237,-0.06731555810795455,-0.0650731779,-0.1416180992,19.99772727272727,8799,250,1
supplemental_2023_09_legacy,protect_3pct_target6pct_3d,440,95,0.2159090909090909,406,0.9227272727272727,-0.031190633105681816,-0.027535092,0.042677201977037414,-0.1654246531,0.0892011245,-0.06405977463840909,-0.06076951975,-0.1609192952,47.60227272727273,20945,508,34
