sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,flow_quality,fast_failure_2pct_target4pct_2d,115,1,0.008695652173913044,18,0.1565217391304348,-0.41950117252347824,-0.438514813,0.17940201191650043,-0.7625222865,0.2036371032,-0.4783986186391304,-0.4757346412,-0.7770508129,1008.4608695652174,115973,14155,207
primary_development_2022_2023_partial,flow_quality,momentum_trail_4pct_5d,115,11,0.09565217391304348,64,0.5565217391304348,-0.26793830650695655,-0.2936731197,0.20187353876785144,-0.7148154632,0.3870674012,-0.3717269046226087,-0.3618794969,-0.7219173805,556.5304347826087,64001,6083,66
primary_development_2022_2023_partial,flow_quality,next_open_1d,115,2,0.017391304347826087,12,0.10434782608695652,-0.41659542042260866,-0.4557549366,0.1697775473060094,-0.7800383433,0.1274785688,-0.47929050180869576,-0.490012266,-0.7914321688,1125.1304347826087,129390,11619,259
primary_development_2022_2023_partial,flow_quality,next_open_2d,115,13,0.11304347826086956,23,0.2,-0.2284282158347826,-0.2356796641,0.1907273295297264,-0.6301592597,0.2126161058,-0.35581111403739135,-0.344065239,-0.6423630612,666.2521739130435,76619,14392,172
primary_development_2022_2023_partial,flow_quality,next_open_3d,115,23,0.2,36,0.3130434782608696,-0.1672759832669565,-0.185557495,0.2189163432999512,-0.5841118844,0.6616228093,-0.3307368627113044,-0.3037243891,-0.6374653799,489.504347826087,56293,10492,115
primary_development_2022_2023_partial,flow_quality,next_open_5d,115,21,0.1826086956521739,48,0.41739130434782606,-0.13672062984347827,-0.166640617,0.20402906235500226,-0.629835188,0.6169345303,-0.3243752811608696,-0.3028562625,-0.6499284411,304.60869565217394,35030,4742,89
primary_development_2022_2023_partial,flow_quality,protect_3pct_target6pct_3d,115,6,0.05217391304347826,25,0.21739130434782608,-0.3507545707495652,-0.3538103067,0.1938620509738182,-0.7512504771,0.2033890649,-0.4254760259286957,-0.4014177088,-0.7617898417,787.1565217391304,90523,11627,138
primary_development_2022_2023_partial,random_hash,fast_failure_2pct_target4pct_2d,115,6,0.05217391304347826,17,0.14782608695652175,-0.4071847716765218,-0.4526748127,0.2098894964486236,-0.7670712004,0.4064967105,-0.47778192043478257,-0.4761699575,-0.769321905,1011.7826086956521,116355,12341,203
primary_development_2022_2023_partial,random_hash,momentum_trail_4pct_5d,115,10,0.08695652173913043,69,0.6,-0.26803179036956526,-0.2953503508,0.19678153518009175,-0.6225210487,0.3926328349,-0.3673196502295653,-0.3580698674,-0.6427710577,558.5304347826087,64231,5419,55
primary_development_2022_2023_partial,random_hash,next_open_1d,115,2,0.017391304347826087,9,0.0782608695652174,-0.41487590572086963,-0.4541821356,0.17794291432930506,-0.8028713706,0.1501377477,-0.47822914591913046,-0.4779072383,-0.805672146,1137.4695652173914,130809,12236,251
primary_development_2022_2023_partial,random_hash,next_open_2d,115,16,0.1391304347826087,19,0.16521739130434782,-0.2325189202426087,-0.2359902236,0.1950477187619145,-0.6241007724,0.2811020036,-0.3575238363817392,-0.3436987791,-0.6516557378,669.5304347826087,76996,12218,166
primary_development_2022_2023_partial,random_hash,next_open_3d,115,17,0.14782608695652175,38,0.33043478260869563,-0.1808904569756522,-0.17442283,0.21565322191192318,-0.646638184,0.5065863515,-0.3358638661408696,-0.3035648257,-0.6663764632,489.11304347826086,56248,9398,112
primary_development_2022_2023_partial,random_hash,next_open_5d,115,24,0.20869565217391303,52,0.45217391304347826,-0.1383075329182609,-0.1696077863,0.20275951059425948,-0.5948872173,0.584865094,-0.3244762802104348,-0.3054915482,-0.619179628,303.02608695652174,34848,5708,89
primary_development_2022_2023_partial,random_hash,protect_3pct_target6pct_3d,115,6,0.05217391304347826,31,0.26956521739130435,-0.3683761603895652,-0.3857918336,0.18859090968375616,-0.7784199503,0.3512620705,-0.43450882322608697,-0.426474028,-0.7857127996,798.2347826086957,91797,14748,126
primary_development_2022_2023_partial,sector_leader,fast_failure_2pct_target4pct_2d,115,0,0.0,0,0.0,-0.44403905153478257,-0.541364921,0.2123311581464737,-0.8160095727,-0.0726341242,-0.5188945112000001,-0.5590728653,-0.8161601167,1020.1739130434783,117320,27025,315
primary_development_2022_2023_partial,sector_leader,momentum_trail_4pct_5d,115,15,0.13043478260869565,10,0.08695652173913043,-0.33156268391739124,-0.3266008801,0.21618909959881438,-0.6981839055,0.1212264881,-0.4388961666,-0.407196677,-0.7053246949,620.7826086956521,71390,4555,185
primary_development_2022_2023_partial,sector_leader,next_open_1d,115,5,0.043478260869565216,0,0.0,-0.3640767657573913,-0.4221197619,0.21325650059552892,-0.7774481853,0.1271284622,-0.4734891122234783,-0.4797841445,-0.7850714122,887.2173913043479,102030,13795,400
primary_development_2022_2023_partial,sector_leader,next_open_2d,115,15,0.13043478260869565,5,0.043478260869565216,-0.23597833047391303,-0.2383289511,0.18166699043754778,-0.5351020994,0.1170160517,-0.3923653152391304,-0.4172713278,-0.5875590027,591.3913043478261,68010,20390,240
primary_development_2022_2023_partial,sector_leader,next_open_3d,115,30,0.2608695652173913,10,0.08695652173913043,-0.10450742372956522,-0.2000746488,0.3132329792194943,-0.7585358976,0.5291129121,-0.37886008911391306,-0.3820923118,-0.7660798335,358.82608695652175,41265,14910,290
primary_development_2022_2023_partial,sector_leader,next_open_5d,115,30,0.2608695652173913,10,0.08695652173913043,-0.04102769553913043,-0.0961066947,0.2644913923396912,-0.4677141809,0.5808613067,-0.3568519948565218,-0.3432525419,-0.4912762454,278.0,31970,7225,200
primary_development_2022_2023_partial,sector_leader,protect_3pct_target6pct_3d,115,10,0.08695652173913043,0,0.0,-0.3588613850895652,-0.3811761008,0.20563713701881361,-0.7200474106,0.2002119724,-0.4651223304147826,-0.4613198907,-0.7223286935,868.3478260869565,99860,12660,250
primary_development_2022_2023_partial,trend_structure,fast_failure_2pct_target4pct_2d,115,0,0.0,3,0.02608695652173913,-0.5342637258017391,-0.5435248171,0.1563000700379188,-0.8439315255,-0.0516406949,-0.5700766137591303,-0.579131743,-0.8490321091,996.1913043478261,114562,8532,247
