sample_group,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,fast_failure_2pct_target4pct_2d,38,1,0.02631578947368421,38,1.0,-0.4291635959394738,-0.48793817845,0.20434781879043046,-0.6995014891,0.0080187024,-0.48115664424999993,-0.5053962967000001,-0.7007884515,1192.2631578947369,45306,3235,0
primary_development_2022_2023_partial,momentum_trail_4pct_5d,208,12,0.057692307692307696,208,1.0,-0.3348355797947115,-0.3483703241,0.200790482600723,-0.7148154632,0.2314101388,-0.4134061157158654,-0.3975090171,-0.7219173805,618.125,128570,8315,0
primary_development_2022_2023_partial,next_open_1d,21,0,0.0,21,1.0,-0.48097407916190477,-0.4936505626,0.15307020992695486,-0.6836999114,-0.1674553402,-0.5114701665380952,-0.5180936151,-0.6879824282,1496.0,31416,2178,0
primary_development_2022_2023_partial,next_open_2d,55,2,0.03636363636363636,55,1.0,-0.3153360338509091,-0.3662155578,0.15556156748924657,-0.5561239257,0.0391686559,-0.38535279920363635,-0.4172713278,-0.5650252376,802.5818181818182,44142,2919,0
primary_development_2022_2023_partial,next_open_3d,107,33,0.308411214953271,107,1.0,-0.10484921249345794,-0.1342887165,0.2659953187074413,-0.574353995,0.5065863515,-0.3292974580831775,-0.3061012573,-0.6220743,544.7943925233645,58293,14626,0
primary_development_2022_2023_partial,next_open_5d,170,31,0.18235294117647058,170,1.0,-0.14583041715058823,-0.133380033,0.19922959596571602,-0.629835188,0.4885304969,-0.3226207179764706,-0.30120748775,-0.6499284411,332.4764705882353,56521,6844,0
primary_development_2022_2023_partial,protect_3pct_target6pct_3d,78,4,0.05128205128205128,78,1.0,-0.3915228874692308,-0.4478353305,0.18729348049889308,-0.6917268198,0.0788730868,-0.44212822101153837,-0.47125522200000003,-0.7102731545,883.3589743589744,68902,4131,0
supplemental_2023_09_legacy,fast_failure_2pct_target4pct_2d,404,78,0.19306930693069307,404,1.0,-0.03298012760123763,-0.0364414858,0.03992792443744397,-0.1231590596,0.0716975378,-0.06640186371237623,-0.0633324482,-0.1574972186,69.95792079207921,28263,37,0
supplemental_2023_09_legacy,momentum_trail_4pct_5d,432,73,0.16898148148148148,432,1.0,-0.033864384458333334,-0.031046366750000002,0.03920803175624547,-0.1443530667,0.05689999,-0.06553078936597222,-0.06251761605,-0.1503034332,30.00462962962963,12962,21,0
supplemental_2023_09_legacy,next_open_1d,399,86,0.21553884711779447,399,1.0,-0.039666529325814534,-0.0424709367,0.04412961583362708,-0.1375624919,0.0793825809,-0.07249715867969925,-0.0677049492,-0.1575843545,95.48872180451127,38100,6,0
supplemental_2023_09_legacy,next_open_2d,429,134,0.3123543123543124,429,1.0,-0.024818590342657345,-0.0242921682,0.041818498766164794,-0.1916232644,0.0752456231,-0.06664570814405595,-0.0590032482,-0.2131095135,48.13519813519814,20650,491,0
supplemental_2023_09_legacy,next_open_3d,423,97,0.2293144208037825,423,1.0,-0.027017014039952717,-0.0257371412,0.04129168795596687,-0.1617494503,0.0908552118,-0.06305322336855793,-0.0573119001,-0.1529166798,34.054373522458626,14405,12,0
supplemental_2023_09_legacy,next_open_5d,439,79,0.17995444191343962,439,1.0,-0.029731194334396353,-0.0333675678,0.03604472603366302,-0.123630592,0.1188073237,-0.06735937349681094,-0.0650731779,-0.1416180992,20.0,8780,250,0
supplemental_2023_09_legacy,protect_3pct_target6pct_3d,406,85,0.20935960591133004,406,1.0,-0.03256934409408867,-0.0304133247,0.042265741417371126,-0.1654246531,0.0892011245,-0.06389439815049261,-0.059651623449999996,-0.1609192952,46.97290640394089,19071,507,0
