sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,flow_quality,fast_failure_2pct_target4pct_2d,18,0,0.0,18,1.0,-0.3810946409888889,-0.4327411975,0.21051371140098493,-0.673689698,-0.0572372652,-0.4409416350777778,-0.4616191766,-0.6761906706,1124.1666666666667,20235,1055,0
primary_development_2022_2023_partial,flow_quality,momentum_trail_4pct_5d,64,5,0.078125,64,1.0,-0.289271919359375,-0.30441245105000003,0.2068335676560507,-0.7148154632,0.1820492819,-0.38537220976250003,-0.35114806225,-0.7219173805,597.328125,38229,4008,0
primary_development_2022_2023_partial,flow_quality,next_open_1d,12,0,0.0,12,1.0,-0.4455477511166666,-0.48839069235,0.17743394618831318,-0.6836999114,-0.1674553402,-0.48275480885833333,-0.5056007975500001,-0.6879824282,1432.0833333333333,17185,1210,0
primary_development_2022_2023_partial,flow_quality,next_open_2d,23,1,0.043478260869565216,23,1.0,-0.26792942076086956,-0.2356796641,0.156243279310621,-0.5219025103,0.0301672596,-0.35130146560434783,-0.328859336,-0.526802716,792.4347826086956,18226,1458,0
primary_development_2022_2023_partial,flow_quality,next_open_3d,36,11,0.3055555555555556,36,1.0,-0.11419806351111109,-0.13956599565,0.21926423667845182,-0.5739390219,0.363341486,-0.3003048938333333,-0.28728211174999996,-0.5908504017,545.75,19647,6510,0
primary_development_2022_2023_partial,flow_quality,next_open_5d,48,6,0.125,48,1.0,-0.14093482376666666,-0.12026318550000001,0.18893592707512724,-0.629835188,0.4885304969,-0.3165936091229167,-0.30163566605000003,-0.6499284411,333.4791666666667,16007,1938,0
primary_development_2022_2023_partial,flow_quality,protect_3pct_target6pct_3d,25,1,0.04,25,1.0,-0.355424288556,-0.4320124308,0.2005938301012755,-0.619245116,0.0084450688,-0.414352135788,-0.4567490819,-0.6317865981,855.68,21392,1468,0
primary_development_2022_2023_partial,random_hash,fast_failure_2pct_target4pct_2d,17,1,0.058823529411764705,17,1.0,-0.4392213524941177,-0.4991196803,0.18453832104661858,-0.6645203533,0.0080187024,-0.49049827931176465,-0.524379875,-0.6649169047,1235.7058823529412,21007,2168,0
primary_development_2022_2023_partial,random_hash,momentum_trail_4pct_5d,69,6,0.08695652173913043,69,1.0,-0.2927440606565217,-0.3164185113,0.19493786714295896,-0.6225210487,0.2314101388,-0.38024396254057974,-0.3648284936,-0.6427710577,601.2173913043479,41484,2628,0
primary_development_2022_2023_partial,random_hash,next_open_1d,9,0,0.0,9,1.0,-0.5282091832222222,-0.5172317546,0.09375258056520006,-0.6800561612,-0.3630937607,-0.5497573101111111,-0.5232558174,-0.6857075934,1581.2222222222222,14231,968,0
primary_development_2022_2023_partial,random_hash,next_open_2d,19,1,0.05263157894736842,19,1.0,-0.28274758160526314,-0.2679367421,0.1480287088885139,-0.5315281492,0.0391686559,-0.36354051237894736,-0.3375315161,-0.5623859357,796.1052631578947,15126,1457,0
primary_development_2022_2023_partial,random_hash,next_open_3d,38,8,0.21052631578947367,38,1.0,-0.13283207275263156,-0.15636423524999998,0.23887284454059593,-0.5722073628,0.5065863515,-0.312439081431579,-0.296944805,-0.5891874763,543.5,20653,6376,0
primary_development_2022_2023_partial,random_hash,next_open_5d,52,8,0.15384615384615385,52,1.0,-0.13036889237307692,-0.10843728795,0.1612819527252667,-0.5948872173,0.3903795224,-0.30752816750961537,-0.2860137211,-0.619179628,332.25,17277,1943,0
