sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,100000.0,52958.6364252607,52958.6364252607,-0.4704136357,-0.4822298315,294537,642,629,293187,13,708,629,0.4451510334,-0.0049669575,241,0,0,0.0,"[{'year': 2022, 'net_return': -0.4768663671, 'maximum_drawdown': -0.4822298315}, {'year': 2023, 'net_return': 0.0123347668, 'maximum_drawdown': -0.4748419771}]",241,253,0,174,202,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_5d,100000.0,84048.4658082165,84048.4658082165,-0.1595153419,-0.2998847681,294537,338,335,293604,3,595,335,0.4597014925,-0.0015734205,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.1684622849, 'maximum_drawdown': -0.2998847681}, {'year': 2023, 'net_return': 0.0107595155, 'maximum_drawdown': -0.1841224716}]",0,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,100000.0,63564.4338958056,63564.4338958056,-0.364355661,-0.4581472949,125917,879,864,124764,15,274,864,0.4560185185,-0.0025190993,4,0,0,0.0,"[{'year': 2022, 'net_return': -0.3418117084, 'maximum_drawdown': -0.4104727452}, {'year': 2023, 'net_return': -0.0342515249, 'maximum_drawdown': -0.4581472949}]",4,346,65,178,275,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,momentum_trail_4pct_5d,100000.0,75756.8153892544,75756.8153892544,-0.2424318461,-0.3119909448,125917,473,468,125192,5,252,468,0.452991453,-0.0029692911,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.1475006659, 'maximum_drawdown': -0.2194039939}, {'year': 2023, 'net_return': -0.1113563101, 'maximum_drawdown': -0.3119909448}]",0,175,0,136,157,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,next_open_1d,100000.0,67832.1973319336,67832.1973319336,-0.3216780267,-0.4328726963,125917,1009,995,124637,14,271,995,0.4201005025,-0.0018683036,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.3097805262, 'maximum_drawdown': -0.396785473}, {'year': 2023, 'net_return': -0.0172372715, 'maximum_drawdown': -0.4328726963}]",0,0,0,995,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,next_open_2d,100000.0,92895.6048410409,92895.6048410409,-0.0710439516,-0.2538683116,125917,627,620,125059,7,231,620,0.4661290323,-0.0003065474,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.168757504, 'maximum_drawdown': -0.2538683116}, {'year': 2023, 'net_return': 0.1175511995, 'maximum_drawdown': -0.1968901969}]",0,0,0,620,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,next_open_3d,100000.0,114167.7263347416,114167.7263347416,0.1416772633,-0.1883269472,125917,453,450,125210,3,254,450,0.46,0.0020795495,0,0,0,0.0,"[{'year': 2022, 'net_return': 0.0282926003, 'maximum_drawdown': -0.1883269472}, {'year': 2023, 'net_return': 0.1102649801, 'maximum_drawdown': -0.1339846739}]",0,0,0,450,0,True,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,next_open_5d,100000.0,98780.0909800366,98780.0909800366,-0.0121990902,-0.291744571,125917,302,300,125407,2,208,300,0.4666666667,0.0008591307,3,0,0,0.0,"[{'year': 2022, 'net_return': -0.0512333114, 'maximum_drawdown': -0.291744571}, {'year': 2023, 'net_return': 0.0411420655, 'maximum_drawdown': -0.2051145551}]",3,0,0,300,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,protect_3pct_target6pct_3d,100000.0,82445.6455821767,82445.6455821767,-0.1755435442,-0.2945742732,125917,667,658,124969,9,281,658,0.4817629179,-0.001557752,2,0,0,0.0,"[{'year': 2022, 'net_return': -0.2396901865, 'maximum_drawdown': -0.2945742732}, {'year': 2023, 'net_return': 0.0843690837, 'maximum_drawdown': -0.2890095437}]",2,225,40,191,202,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ht_r3_core_pullback,fast_failure_2pct_target4pct_2d,100000.0,41301.4054458792,41301.4054458792,-0.5869859455,-0.5974223489,217604,1415,1390,215261,25,928,1390,0.4143884892,-0.0031475788,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.4041602301, 'maximum_drawdown': -0.416953356}, {'year': 2023, 'net_return': -0.3068370469, 'maximum_drawdown': -0.5974223489}]",1,598,104,263,425,True,False
