sample_group,strategy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,cs_r3_leader_confirmation,21,0,0.0,21,1.0,-0.31084010928571426,-0.3517288772,0.16164733511715595,-0.5718057187,-0.0760374789,-0.4032426736761905,-0.3778950684,-0.586432922,765.2380952380952,16070,638,0
primary_development_2022_2023_partial,fu_r3_core_pullback,36,14,0.3888888888888889,36,1.0,-0.053096858044444445,-0.07650025815,0.19890102285387393,-0.364355661,0.5065863515,-0.2998098928472222,-0.2931594221,-0.4695840986,530.1944444444445,19087,1580,0
primary_development_2022_2023_partial,ht_r3_core_pullback,23,0,0.0,23,1.0,-0.40992492901304345,-0.4022819306,0.18742618888936874,-0.6699371606,-0.0095153253,-0.4814103578217392,-0.4689045613,-0.6856006034,681.8695652173913,15683,616,0
primary_development_2022_2023_partial,ng_r1_auction_reclaim,39,9,0.23076923076923078,39,1.0,-0.10025128248461539,-0.1223191005,0.13216846191921286,-0.2707030709,0.2314101388,-0.23775310951025647,-0.2316163069,-0.3677776536,606.025641025641,23635,287,0
primary_development_2022_2023_partial,ng_r3_volume_quality,27,3,0.1111111111111111,27,1.0,-0.32753860286666664,-0.3863567944,0.2184207873940118,-0.6201293485,0.250157771,-0.40320503212962966,-0.4193049485,-0.6236197654,688.8888888888889,18600,32,0
primary_development_2022_2023_partial,s0_distance_only,42,3,0.07142857142857142,42,1.0,-0.2849946035642857,-0.24784665960000002,0.2005643666876449,-0.6855309959,0.0788730868,-0.3891936737380953,-0.3580193978,-0.7007884515,748.7142857142857,31446,3565,0
primary_development_2022_2023_partial,s0_strong_no_ma,12,2,0.16666666666666666,12,1.0,-0.32971218837500005,-0.36532106295,0.1775364038374082,-0.5219025103,0.0346327821,-0.40983457701666665,-0.39467062325,-0.526802716,578.6666666666666,6944,2195,0
primary_development_2022_2023_partial,s1_break_reclaim_stable3,32,0,0.0,32,1.0,-0.36466000692812506,-0.3662566241,0.1758162850474234,-0.6995014891,-0.0748094358,-0.41966368484375,-0.3929649532,-0.7002111473,668.625,21396,775,0
primary_development_2022_2023_partial,s1_near_reversal,45,0,0.0,45,1.0,-0.33276282905777776,-0.2682512512,0.19119581127415294,-0.6836999114,-0.0440695268,-0.40882871908222235,-0.3682736015,-0.6879824282,764.0666666666667,34383,2457,0
primary_development_2022_2023_partial,s1_touch_immediate,27,2,0.07407407407407407,27,1.0,-0.3117287281814815,-0.320732112,0.19197386783195486,-0.5719505507,0.0418103765,-0.3901043815222223,-0.3451361474,-0.5688132507,673.2592592592592,18178,6573,0
