sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,100000.0,19807.2018387997,53564.2753910733,-0.4643572461,-0.5699835699,294537,1159,1140,292624,19,754,1138,0.4182776801,-0.0043790247,1,2,0,33757.0735522736,"[{'year': 2022, 'net_return': -0.5368311548, 'maximum_drawdown': -0.5699835699}, {'year': 2023, 'net_return': 0.1564740579, 'maximum_drawdown': -0.5138845384}]",1,499,87,174,378,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,100000.0,52958.6364252607,52958.6364252607,-0.4704136357,-0.4822298315,294537,642,629,293187,13,708,629,0.4451510334,-0.0049669575,241,0,0,0.0,"[{'year': 2022, 'net_return': -0.4768663671, 'maximum_drawdown': -0.4822298315}, {'year': 2023, 'net_return': 0.0123347668, 'maximum_drawdown': -0.4748419771}]",241,253,0,174,202,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_1d,100000.0,19574.3039145094,53331.377466783,-0.4666862253,-0.548394155,294537,1339,1314,292492,25,706,1312,0.3879573171,-0.0037646448,0,2,0,33757.0735522736,"[{'year': 2022, 'net_return': -0.5256551398, 'maximum_drawdown': -0.548394155}, {'year': 2023, 'net_return': 0.1243165457, 'maximum_drawdown': -0.519564331}]",0,0,0,1312,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_2d,100000.0,27892.8305898277,93017.4363790348,-0.0698256362,-0.3724685519,294537,464,462,293366,2,707,459,0.4379084967,-0.0033989865,0,3,0,65124.6057892071,"[{'year': 2022, 'net_return': -0.1826002383, 'maximum_drawdown': -0.3724685519}, {'year': 2023, 'net_return': 0.1379675006, 'maximum_drawdown': -0.2169455719}]",0,0,0,459,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_3d,100000.0,63292.7583331207,87667.7583331207,-0.1233224167,-0.2678337757,294537,527,523,293390,4,620,522,0.4195402299,-0.001766389,1,1,0,24375.0,"[{'year': 2022, 'net_return': 0.0379424897, 'maximum_drawdown': -0.2678337757}, {'year': 2023, 'net_return': -0.1553697897, 'maximum_drawdown': -0.1998667777}]",1,0,0,522,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_5d,100000.0,84048.4658082165,84048.4658082165,-0.1595153419,-0.2998847681,294537,338,335,293604,3,595,335,0.4597014925,-0.0015734205,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.1684622849, 'maximum_drawdown': -0.2998847681}, {'year': 2023, 'net_return': 0.0107595155, 'maximum_drawdown': -0.1841224716}]",0,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,100000.0,34169.9713951624,67951.044947436,-0.3204895505,-0.4391572256,294537,824,812,292990,12,723,810,0.4382716049,-0.0033185958,0,2,0,33781.0735522736,"[{'year': 2022, 'net_return': -0.3303912502, 'maximum_drawdown': -0.4391572256}, {'year': 2023, 'net_return': 0.0147872913, 'maximum_drawdown': -0.3788797807}]",0,328,54,192,236,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,100000.0,63564.4338958056,63564.4338958056,-0.364355661,-0.4581472949,125917,879,864,124764,15,274,864,0.4560185185,-0.0025190993,4,0,0,0.0,"[{'year': 2022, 'net_return': -0.3418117084, 'maximum_drawdown': -0.4104727452}, {'year': 2023, 'net_return': -0.0342515249, 'maximum_drawdown': -0.4581472949}]",4,346,65,178,275,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,momentum_trail_4pct_5d,100000.0,75756.8153892544,75756.8153892544,-0.2424318461,-0.3119909448,125917,473,468,125192,5,252,468,0.452991453,-0.0029692911,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.1475006659, 'maximum_drawdown': -0.2194039939}, {'year': 2023, 'net_return': -0.1113563101, 'maximum_drawdown': -0.3119909448}]",0,175,0,136,157,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,fu_r3_core_pullback,next_open_1d,100000.0,67832.1973319336,67832.1973319336,-0.3216780267,-0.4328726963,125917,1009,995,124637,14,271,995,0.4201005025,-0.0018683036,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.3097805262, 'maximum_drawdown': -0.396785473}, {'year': 2023, 'net_return': -0.0172372715, 'maximum_drawdown': -0.4328726963}]",0,0,0,995,0,True,False
