sample_group,sample_variant,selection_ranker,strategy_id,policy_id,seed_count,resolved_seed_count,positive_seed_count,positive_seed_fraction,resolved_positive_seed_count,resolved_positive_seed_fraction,all_periods_positive_seed_count,resolved_all_periods_positive_seed_count,combined_net_return_mean,combined_net_return_median,combined_net_return_standard_deviation,combined_net_return_minimum,combined_net_return_q25,combined_net_return_q75,combined_net_return_maximum,maximum_drawdown_mean,maximum_drawdown_median,maximum_drawdown_standard_deviation,maximum_drawdown_minimum,maximum_drawdown_q25,maximum_drawdown_q75,maximum_drawdown_maximum
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_5d,5,0,5,1.0,0,,0,0,0.5808613066754107,0.5808613066754107,0.0,0.5808613066754107,0.5808613066754107,0.5808613066754107,0.5808613066754107,-0.2679449349572206,-0.2679449349572206,0.0,-0.2679449349572206,-0.2679449349572206,-0.2679449349572206,-0.2679449349572206
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_3d,5,0,5,1.0,0,,5,0,0.5291129120833578,0.5291129120833578,0.0,0.5291129120833578,0.5291129120833578,0.5291129120833578,0.5291129120833578,-0.22172427350151488,-0.2217242735015149,2.7755575615628914e-17,-0.2217242735015149,-0.2217242735015149,-0.2217242735015149,-0.2217242735015149
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_3d,5,5,5,1.0,5,1.0,5,5,0.4642645245342849,0.4642645245342849,0.0,0.4642645245342849,0.4642645245342849,0.4642645245342849,0.4642645245342849,-0.2895519445578455,-0.2895519445578455,0.0,-0.2895519445578455,-0.2895519445578455,-0.2895519445578455,-0.2895519445578455
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,next_open_5d,5,0,5,1.0,0,,0,0,0.4606696974893623,0.46066969748936226,5.551115123125783e-17,0.46066969748936226,0.46066969748936226,0.46066969748936226,0.46066969748936226,-0.22408161426034914,-0.22408161426034912,2.7755575615628914e-17,-0.22408161426034912,-0.22408161426034912,-0.22408161426034912,-0.22408161426034912
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,next_open_5d,5,0,5,1.0,0,,5,0,0.4310192017919096,0.43101920179190967,5.551115123125783e-17,0.43101920179190967,0.43101920179190967,0.43101920179190967,0.43101920179190967,-0.4748942399209427,-0.4748942399209427,0.0,-0.4748942399209427,-0.4748942399209427,-0.4748942399209427,-0.4748942399209427
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,next_open_3d,5,0,5,1.0,0,,5,0,0.38995427590964415,0.38995427590964415,0.0,0.38995427590964415,0.38995427590964415,0.38995427590964415,0.38995427590964415,-0.2081148457533523,-0.20811484575335226,2.7755575615628914e-17,-0.20811484575335226,-0.20811484575335226,-0.20811484575335226,-0.20811484575335226
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_positive_slope,next_open_5d,5,5,5,1.0,5,1.0,5,5,0.29030828769852834,0.29030828769852834,0.0,0.29030828769852834,0.29030828769852834,0.29030828769852834,0.29030828769852834,-0.23893363176267624,-0.23893363176267624,0.0,-0.23893363176267624,-0.23893363176267624,-0.23893363176267624,-0.23893363176267624
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_positive_slope,next_open_3d,5,0,5,1.0,0,,5,0,0.27133868341086,0.27133868341086,0.0,0.27133868341086,0.27133868341086,0.27133868341086,0.27133868341086,-0.2975200360882564,-0.2975200360882564,0.0,-0.2975200360882564,-0.2975200360882564,-0.2975200360882564,-0.2975200360882564
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_3d,5,0,5,1.0,0,,0,0,0.25276725713418924,0.25276725713418924,0.0,0.25276725713418924,0.25276725713418924,0.25276725713418924,0.25276725713418924,-0.3363162685209402,-0.3363162685209402,0.0,-0.3363162685209402,-0.3363162685209402,-0.3363162685209402,-0.3363162685209402
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_bull_stack,next_open_3d,5,5,5,1.0,5,1.0,0,0,0.22207361873017284,0.22207361873017284,0.0,0.22207361873017284,0.22207361873017284,0.22207361873017284,0.22207361873017284,-0.36816862646294424,-0.36816862646294424,0.0,-0.36816862646294424,-0.36816862646294424,-0.36816862646294424,-0.36816862646294424
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,momentum_trail_4pct_5d,5,2,3,0.6,1,0.5,2,0,0.1285562262140107,0.20590419013062777,0.19090686356397177,-0.14988420116303203,-0.019115485605435634,0.21324379281671169,0.3926328348911816,-0.18532857044543943,-0.15838116200435515,0.04850648682199287,-0.2503445068655329,-0.23750058438830723,-0.14317180811083963,-0.1372447908581622
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,protect_3pct_target6pct_3d,5,0,5,1.0,0,,5,0,0.20021197240646646,0.20021197240646638,1.0892074392614739e-16,0.20021197240646638,0.20021197240646638,0.2002119724064666,0.2002119724064666,-0.28628076158768007,-0.2862807615876801,5.551115123125783e-17,-0.2862807615876801,-0.2862807615876801,-0.28628076158768,-0.28628076158768
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_amount_acceleration,next_open_3d,5,1,3,0.6,0,0.0,0,0,0.13796214284974578,0.15467229982910347,0.17565876296038432,-0.06011345907430299,-0.04460812492899846,0.2327224094458542,0.40713758897707275,-0.32771609383863287,-0.32741684237559265,0.05146274855674542,-0.39667228579293545,-0.3682520545323199,-0.2941234231541183,-0.252115863338198
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,next_open_5d,5,5,5,1.0,5,1.0,0,0,0.13975325439156583,0.13975325439156583,0.0,0.13975325439156583,0.13975325439156583,0.13975325439156583,0.13975325439156583,-0.2698743643332966,-0.2698743643332966,0.0,-0.2698743643332966,-0.2698743643332966,-0.2698743643332966,-0.2698743643332966
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,next_open_1d,5,0,5,1.0,0,,5,0,0.12712846220727747,0.12712846220727747,0.0,0.12712846220727747,0.12712846220727747,0.12712846220727747,0.12712846220727747,-0.4264827093762077,-0.4264827093762077,0.0,-0.4264827093762077,-0.4264827093762077,-0.4264827093762077,-0.4264827093762077
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,momentum_trail_4pct_5d,5,0,5,1.0,0,,5,0,0.1212264880973859,0.1212264880973859,0.0,0.1212264880973859,0.1212264880973859,0.1212264880973859,0.1212264880973859,-0.2544173287020173,-0.2544173287020173,0.0,-0.2544173287020173,-0.2544173287020173,-0.2544173287020173,-0.2544173287020173
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,next_open_3d,5,2,3,0.6,1,0.5,2,1,0.15121694292042717,0.11920316499594885,0.2751887110532452,-0.1428029142612407,-0.023615608784723574,0.14167726334741593,0.6616228093047354,-0.2305047122448703,-0.2147117407421688,0.04398917466719162,-0.30860024438270506,-0.2463791587855565,-0.19450547007917585,-0.1883269472347453
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_2d,5,0,5,1.0,0,,5,0,0.11701605172054474,0.11701605172054474,0.0,0.11701605172054474,0.11701605172054474,0.11701605172054474,0.11701605172054474,-0.24213956003845497,-0.24213956003845494,2.7755575615628914e-17,-0.24213956003845494,-0.24213956003845494,-0.24213956003845494,-0.24213956003845494
