sample_group,strategy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,cs_r3_leader_confirmation,140,6,0.04285714285714286,21,0.15,-0.30019410533571433,-0.33683093395,0.22262343806714732,-0.751624028,0.337820178,-0.41238459785000003,-0.4078515209,-0.7743675871,708.6571428571428,99212,4649,293
primary_development_2022_2023_partial,fu_r3_core_pullback,140,51,0.36428571428571427,36,0.2571428571428571,-0.04417711377857143,-0.0858485587,0.21658903767675888,-0.413607631,0.6616228093,-0.2901011447592857,-0.2862807616,-0.4695840986,541.45,75803,15541,184
primary_development_2022_2023_partial,ht_r3_core_pullback,140,9,0.06428571428571428,23,0.16428571428571428,-0.4231754470985715,-0.4513508546,0.20695711340533557,-0.83393705,0.3392136981,-0.5100099509085715,-0.50693472075,-0.8353687489,654.6428571428571,91650,11463,255
primary_development_2022_2023_partial,ng_r1_auction_reclaim,140,33,0.2357142857142857,39,0.2785714285714286,-0.10830512603571432,-0.12776986965,0.1764255753748285,-0.4614562133,0.4606696975,-0.27441222282428573,-0.2788055674,-0.4925273713,536.15,75061,7095,169
primary_development_2022_2023_partial,ng_r3_volume_quality,140,11,0.07857142857142857,27,0.19285714285714287,-0.377498376755,-0.4263183475,0.219960972404868,-0.798927477,0.250157771,-0.45993170230928565,-0.4700337708,-0.8023165453,691.2714285714286,96778,3624,230
primary_development_2022_2023_partial,s0_distance_only,140,8,0.05714285714285714,42,0.3,-0.3049701649057143,-0.3176633819,0.21999518890114628,-0.6855309959,0.3425912571,-0.40952096355000006,-0.4004544148,-0.7007884515,756.8857142857142,105964,10463,172
primary_development_2022_2023_partial,s0_strong_no_ma,140,22,0.15714285714285714,12,0.08571428571428572,-0.3187666453835715,-0.36871770125000003,0.25720813799776554,-0.7349968757,0.4310192018,-0.4792667200742857,-0.46895721765,-0.7774525423,681.9214285714286,95469,77211,262
primary_development_2022_2023_partial,s1_break_reclaim_stable3,140,9,0.06428571428571428,32,0.22857142857142856,-0.3373503360007143,-0.38994580344999996,0.20234999218963545,-0.7153490022,0.1960834178,-0.4270415762457143,-0.4221870467,-0.7156132923,690.7714285714286,96708,9862,251
primary_development_2022_2023_partial,s1_near_reversal,140,12,0.08571428571428572,45,0.32142857142857145,-0.26768728770357136,-0.23467460875,0.2269584714588244,-0.6836999114,0.2761027319,-0.3986821039657143,-0.3600019752,-0.6879824282,726.4357142857143,101701,7579,190
primary_development_2022_2023_partial,s1_touch_immediate,140,11,0.07857142857142857,27,0.19285714285714287,-0.32792849657428574,-0.35011808494999996,0.2009333343293017,-0.6828742086,0.2126161058,-0.4138779947671429,-0.405382373,-0.6977209078,722.4214285714286,101139,8379,224
primary_development_2022_2023_partial,s1_touch_reclaim,140,11,0.07857142857142857,41,0.29285714285714287,-0.2743690296164287,-0.28223236055,0.19713536607103588,-0.6906922123,0.3765526013,-0.38780421552642863,-0.3821754238,-0.6967029657,688.25,96355,3090,237
primary_development_2022_2023_partial,s2_first_touch_reclaim,140,5,0.03571428571428571,17,0.12142857142857143,-0.3726391274678571,-0.37768792385,0.19446974486346585,-0.8160095727,0.0920943496,-0.44186029466357146,-0.42803071400000003,-0.8161601167,684.3642857142858,95811,35392,269
primary_development_2022_2023_partial,s2_reclaim_acceleration,140,7,0.05,26,0.18571428571428572,-0.3104367889992857,-0.3049217909,0.19825016973531176,-0.6899013663,0.2108874391,-0.41488873483928573,-0.4027819048,-0.6956439573,696.6,97524,2052,208
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,140,14,0.1,32,0.22857142857142856,-0.27624313918142857,-0.34108083535,0.2613440886030512,-0.6852033898,0.4642645245,-0.42282131936071427,-0.40318320265,-0.7029315923,743.3857142857142,104074,10315,197
primary_development_2022_2023_partial,s2_reclaim_bull_stack,140,5,0.03571428571428571,29,0.20714285714285716,-0.4578739696107143,-0.4800957549,0.22426538938724064,-0.7899472553,0.2220736187,-0.546486065865,-0.5604162615,-0.7947750285,817.3785714285714,114433,41545,179
primary_development_2022_2023_partial,s2_reclaim_daily_trend,140,29,0.20714285714285716,25,0.17857142857142858,-0.19108329913285718,-0.2799217183,0.29605421199467324,-0.629835188,0.6169345303,-0.3759074452971429,-0.3736715843,-0.6499284411,670.3357142857143,93847,9090,234
primary_development_2022_2023_partial,s2_reclaim_positive_slope,140,21,0.15,40,0.2857142857142857,-0.20170279283142856,-0.2326189953,0.22104707104251414,-0.6344611019,0.4885304969,-0.36001108239357144,-0.35926952725,-0.6497471275,674.8857142857142,94484,3850,207
primary_development_2022_2023_partial,s2_reclaim_recent_high,140,0,0.0,29,0.20714285714285716,-0.5316434341328572,-0.5301287530000001,0.17392760942052532,-0.8439315255,-0.0707676121,-0.5758277485978571,-0.5642228655,-0.8490321091,741.8071428571428,103853,11876,216
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,140,4,0.02857142857142857,22,0.15714285714285714,-0.32328381121857147,-0.3270107124,0.17943102267771502,-0.673689698,0.2811020036,-0.4357786103221429,-0.4527500142,-0.6816253799,669.8428571428572,93778,10966,272
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,140,26,0.18571428571428572,31,0.22142857142857142,-0.1968642865885714,-0.2226642984,0.21559684416072425,-0.6527013437,0.407137589,-0.35497153476,-0.3467059214,-0.6779433616,669.3357142857143,93707,4483,242
primary_development_2022_2023_partial,s4_reclaim_volume_normal,140,4,0.02857142857142857,29,0.20714285714285716,-0.4118899138292857,-0.42730762485,0.19925573195137264,-0.7980989385,0.2348749615,-0.4822199627571428,-0.477474932,-0.8008362857,669.3428571428572,93708,1994,231
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,140,9,0.06428571428571428,24,0.17142857142857143,-0.29009652100071426,-0.3149246442,0.1800187915906957,-0.6490134172,0.2089981622,-0.39898462495357145,-0.3758310616,-0.6652338355,708.9928571428571,99259,6842,207
primary_development_2022_2023_partial,s4_reclaim_vwap_support,140,3,0.02142857142857143,28,0.2,-0.34550349357428567,-0.33290254360000004,0.16742627532855836,-0.7625222865,0.1901890822,-0.42851918220142854,-0.4231881017,-0.7770508129,651.9714285714285,91276,7728,270
supplemental_2023_09_legacy,cs_r3_leader_confirmation,140,30,0.21428571428571427,140,1.0,-0.03148378848357143,-0.0348259648,0.03659060039078406,-0.1001686914,0.0655139498,-0.07021859662142857,-0.06599492600000001,-0.1274761991,51.17142857142857,7164,4,0
supplemental_2023_09_legacy,fu_r3_core_pullback,140,31,0.22142857142857142,140,1.0,-0.027753392567857145,-0.02118808745,0.039086043107775414,-0.1392660365,0.0429443489,-0.06403423640428571,-0.05845259665,-0.1529166798,34.50714285714286,4831,3,0
supplemental_2023_09_legacy,ht_r3_core_pullback,140,28,0.2,136,0.9714285714285714,-0.031110139771428572,-0.03562189465,0.03279116450153456,-0.1006465327,0.0359886304,-0.07385965193071428,-0.06819539165,-0.1575843545,51.371428571428574,7192,5,4
supplemental_2023_09_legacy,ng_r1_auction_reclaim,140,63,0.45,140,1.0,-0.009878974617142858,-0.0046995097999999996,0.03204073813960375,-0.0998250932,0.048981217,-0.049077032755,-0.042695458049999996,-0.1349046658,33.1,4634,0,0
supplemental_2023_09_legacy,ng_r3_volume_quality,140,26,0.18571428571428572,130,0.9285714285714286,-0.030758693322857144,-0.029521911249999998,0.036268793528085444,-0.1225994393,0.0334390016,-0.06652907674785713,-0.060733105999999995,-0.1503034332,50.16428571428571,7023,7,10
supplemental_2023_09_legacy,s0_distance_only,140,7,0.05,133,0.95,-0.06249435414642857,-0.05456361015,0.04587158862488073,-0.1654246531,0.0463976309,-0.07234767708428572,-0.06588571955,-0.1391433877,49.80714285714286,6973,0,7
supplemental_2023_09_legacy,s0_strong_no_ma,140,20,0.14285714285714285,127,0.9071428571428571,-0.03915053692714286,-0.0395802972,0.057333861596450646,-0.1679849908,0.4403390455,-0.08627846763714286,-0.0861535506,-0.1785092734,51.51428571428571,7212,722,13
supplemental_2023_09_legacy,s1_break_reclaim_stable3,140,44,0.3142857142857143,138,0.9857142857142858,-0.023550420157142857,-0.02319755195,0.03994773890560953,-0.1153628602,0.0752456231,-0.06376405692857143,-0.058819523,-0.1377117875,51.26428571428571,7177,16,2
supplemental_2023_09_legacy,s1_near_reversal,140,15,0.10714285714285714,130,0.9285714285714286,-0.03264668734857143,-0.0350986535,0.029539504280211196,-0.0969997702,0.0499776689,-0.06551151109285715,-0.0633376885,-0.1236673181,50.34285714285714,7048,5,10
supplemental_2023_09_legacy,s1_touch_immediate,140,19,0.1357142857142857,138,0.9857142857142858,-0.048383918549999995,-0.0477413779,0.03608340332253919,-0.1248592176,0.0465419034,-0.06898666501999999,-0.0696883796,-0.1410802335,51.42142857142857,7199,5,2
supplemental_2023_09_legacy,s1_touch_reclaim,140,23,0.16428571428571428,122,0.8714285714285714,-0.035888469007142855,-0.0327158543,0.03601607317873953,-0.1200554733,0.0396697379,-0.06628792563857144,-0.0680006792,-0.1261440162,50.17142857142857,7024,8,18
supplemental_2023_09_legacy,s2_first_touch_reclaim,140,28,0.2,139,0.9928571428571429,-0.04010330554,-0.0462436882,0.041076456037292354,-0.1483455769,0.0514206799,-0.07256736762428571,-0.0724365704,-0.1506989719,51.05714285714286,7148,8,1
supplemental_2023_09_legacy,s2_reclaim_acceleration,140,33,0.2357142857142857,133,0.95,-0.031355717552142864,-0.02595369665,0.04298801110745398,-0.1218815186,0.0675906586,-0.060161290450714285,-0.05559228975,-0.1077281562,50.25714285714286,7036,10,7
supplemental_2023_09_legacy,s2_reclaim_bull_stack,140,55,0.39285714285714285,130,0.9285714285714286,-0.01031596415357143,-0.0101008491,0.038064192071449246,-0.0681817228,0.0716975378,-0.05760565458785714,-0.0582890085,-0.1200951911,49.30714285714286,6903,0,10
supplemental_2023_09_legacy,s2_reclaim_daily_trend,140,23,0.16428571428571428,127,0.9071428571428571,-0.03856478606,-0.0473261021,0.040702425433450436,-0.1232680606,0.0806692331,-0.06861503877,-0.06671005534999999,-0.1273776731,50.44285714285714,7062,19,13
supplemental_2023_09_legacy,s2_reclaim_positive_slope,140,38,0.2714285714285714,136,0.9714285714285714,-0.02306313284571428,-0.030751154,0.0428404794157105,-0.1231590596,0.0793825809,-0.06287532180857143,-0.06185315515,-0.12674628,50.68571428571428,7096,6,4
supplemental_2023_09_legacy,s2_reclaim_recent_high,140,35,0.25,111,0.7928571428571428,-0.03137473523428572,-0.03119562865,0.05792023277435398,-0.1916232644,0.1188073237,-0.09133074790000001,-0.0893677146,-0.2131095135,51.49285714285714,7209,1,29
