sample_group,selection_ranker,selection_seed,strategy_id,policy_id,trade_row_count,distinct_signal_count,distinct_symbol_count,total_entry_notional,total_buy_cost,total_sell_cost,total_cost,mean_cost_rate,total_pnl,total_proceeds,mean_pnl,mean_trade_net_return,median_trade_net_return,trade_win_rate,mean_holding_trading_days,max_holding_trading_days,total_exit_attempt_count
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,1138,1138,871,12055715.8,14321.689729059688,26330.57620962577,40652.265938685385,0.0035043464133217737,-61762.729062351325,12008274.76066671,-54.273048385194485,-0.004379024670737262,-0.006720528672019029,0.4182776801405975,1.1528998242530755,2,1139.0
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,629,629,521,8192384.300000001,9052.637599039466,17202.50882500802,26255.146424047507,0.003256804486171184,-47041.363574739255,8154395.5740242945,-74.78754145427544,-0.004966957474507378,-0.008518442110429352,0.4451510333863275,2.6359300476947536,5,870.0
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_1d,1312,1312,954,14299434.600000001,16816.250734681125,31081.675496991644,47897.926231672696,0.0034787308223939405,-61995.626986641306,14254255.223748025,-47.25276447152539,-0.003764644815497892,-0.005664265996714044,0.3879573170731707,1.0,1,1312.0
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_2d,459,459,400,6872405.199999999,7205.884831595894,14064.93682344965,21270.821655045565,0.00310864606641594,-27065.619635354247,6852545.465196245,-58.96649158029248,-0.003398986451682269,-0.0037647289077383946,0.43790849673202614,2.0,2,459.0
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_3d,522,522,451,9098545.0,9246.627343134334,18368.275037946656,27614.902381081007,0.003039160289862024,-17517.875806989305,9090273.751536146,-33.559149055535066,-0.0017663889639243022,-0.0066678584693391834,0.41954022988505746,3.0,3,523.0
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_5d,335,335,302,5634237.0,5747.158935558566,11389.798371370789,17136.957306929347,0.0030487319307581765,-15951.534191783552,5624032.624743777,-47.61651997547329,-0.001573420538044901,-0.005234971999760749,0.4597014925373134,5.0,5,335.0
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,810,810,645,11243793.999999998,12134.395353957161,23355.24706137402,35489.642415331175,0.0031926310427459748,-43028.85819541266,11212899.537158547,-53.12204715483044,-0.003318595798553028,-0.0062016039542196946,0.4382716049382716,1.6135802469135803,3,810.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,864,864,753,14853911.799999999,15357.58523343147,30217.25186577837,45574.837099209806,0.0030867733422053514,-36435.56610419456,14832833.819129243,-42.17079410207703,-0.0025190992998374373,-0.003188597247661438,0.45601851851851855,1.2060185185185186,2,868.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,momentum_trail_4pct_5d,468,468,421,8564440.6,8710.169337883557,17272.85985403977,25983.029191923335,0.0030388186067125066,-24243.18461074565,8548907.58472714,-51.80167651868729,-0.002969291139147597,-0.008054126587329532,0.452991452991453,2.7884615384615383,5,468.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,next_open_1d,995,995,837,16771055.799999999,17344.617616765398,34137.607521861355,51482.225138626716,0.003085068212618425,-32167.802668066226,16756232.614948692,-32.3294499176545,-0.0018683036459966442,-0.00309910128944761,0.4201005025125628,1.0,1,995.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,next_open_2d,620,620,558,10763847.6,10931.808736508376,21738.853976042396,32670.662712550748,0.0030386673137865416,-7104.395158959276,10767675.013577547,-11.458701869289156,-0.00030654743729653335,-0.0022869697379173668,0.4661290322580645,2.0,2,620.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,next_open_3d,450,450,417,9421243.3,9523.764361405429,19020.325837753182,28544.090199158618,0.003031602736125827,14167.726334741634,9444934.790696153,31.483836299425853,0.002079549521096925,-0.003016252930013579,0.46,3.0,3,450.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,next_open_5d,300,300,278,5654869.800000001,5724.315739126219,11406.038879026224,17130.354618152447,0.003033171326075467,-1219.9090199634084,5659374.206719163,-4.0663633998780275,0.0008591306515206661,-0.004796859269522016,0.4666666666666667,5.0,5,303.0
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,protect_3pct_target6pct_3d,658,658,582,11619354.1,11834.852782517868,23480.300504759914,35315.15328727776,0.0030439819964851273,-17554.354417823273,11613634.598364694,-26.678350179062726,-0.0015577520020712238,-0.001455965706159881,0.4817629179331307,1.737082066869301,3,660.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,fast_failure_2pct_target4pct_2d,1390,1390,1031,18287199.099999998,20066.637455052336,38338.11300011971,58404.75045517205,0.003236218563078155,-58698.59455412066,18248567.142900918,-42.22920471519472,-0.0031475787625515534,-0.0070207096906612625,0.4143884892086331,1.1892086330935252,2,1391.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,momentum_trail_4pct_5d,518,518,452,8809957.1,9073.350776919038,17897.236198194274,26970.5869751133,0.003077580065754701,-16340.352287875114,8802690.098489046,-31.545081636824545,-0.001669228891492175,-0.0030162529300136734,0.48841698841698844,2.5714285714285716,5,519.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_1d,1655,1655,1201,18085926.6,21213.525733804818,39273.398043266585,60486.92377707146,0.0034393467510342173,-66993.71606359791,18040146.409670208,-40.47958674537638,-0.003525389412750469,-0.0059399589331515295,0.3758308157099698,1.0,1,1655.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_2d,830,830,692,10931649.2,11953.788893763545,22857.803015501042,34811.59190926459,0.0032099729051112487,-44858.040122002334,10898744.948771749,-54.045831472291965,-0.0036176015840059758,-0.006132356757512563,0.42048192771084336,2.0,2,830.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_3d,412,412,384,8393049.3,8497.343043127548,16967.738814331824,25465.081857459365,0.003037300755412296,17722.628593872043,8419269.271637,43.016088820077776,0.0025035696995327037,-0.0015569999407203895,0.4684466019417476,3.0,3,412.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_5d,309,309,290,5795149.5,5874.78551456095,11690.139813985035,17564.92532854599,0.003036160016282812,-5449.421386017262,5795574.864128544,-17.63566791591347,-2.904921473154453e-05,-0.009040323909288765,0.4336569579288026,5.0,5,309.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,971,971,772,15196544.899999999,15872.38972434316,31091.869290236562,46964.25901457976,0.0031081625793583107,-28889.7871888791,15183527.502535485,-29.75261296486004,-0.0017252284422802971,-0.0032417642213558697,0.46343975283213185,1.70648815653965,3,971.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,808,808,723,15011674.700000001,15192.664193605693,30253.34429046469,45446.008484070386,0.0030291506328242864,-13058.272156571133,15013809.092037043,-16.16122791654843,-0.0007692548212445861,-0.0010668007849533594,0.47896039603960394,1.3032178217821782,2,811.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,349,349,330,6396728.7,6483.626395547393,12890.133161296435,19373.75955684384,0.003031750320909748,-10869.78651833789,6392342.539877211,-31.14552010985069,-0.0012688937799062102,-0.0030162529300136395,0.4871060171919771,3.0458452722063036,5,350.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_1d,984,984,854,17407952.1,17660.589583261324,35123.473374765555,52784.06295802692,0.0030345785136965137,-16745.53402187312,17408867.155561384,-17.01781912791984,-0.0009077685665900821,-0.0014917808718436453,0.4573170731707317,1.0010162601626016,2,1224.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_2d,495,495,457,7851360.399999999,8115.850608532163,15959.216467397533,24075.067075929725,0.0030745364959597495,-26332.126057869762,7833144.124550671,-53.196214258322755,-0.003129213949280771,-0.003088112756781173,0.4505050505050505,2.002020202020202,3,755.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_3d,402,402,376,8178812.4,8265.981170650153,16494.115821778527,24760.09699242869,0.003028215091559005,4305.559473265219,8191383.940643909,10.710346948420943,0.0007582696356802948,-0.0010730730907632787,0.472636815920398,3.0,3,402.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_5d,299,299,287,5167020.399999999,5268.2893586724,10428.378409100156,15696.667767772571,0.003042945749561407,-18887.06776777257,5153401.621590897,-63.16745072833635,-0.0030525454194508484,-0.005313450503907989,0.44816053511705684,5.0,5,299.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,608,608,554,11192441.2,11329.87307608453,22555.733471776122,33885.60654786067,0.0030290398907998903,-12053.968842432658,11191717.10423366,-19.825606648737924,-0.0009548174773087635,-0.001228839206009638,0.4868421052631579,1.930921052631579,3,610.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,1011,1011,860,13096006.0,14432.318606680965,27513.128553880964,41945.447160561955,0.0032470962299973242,-44464.099549276914,13065974.21905741,-43.98031607247964,-0.0031163720554642947,-0.0056507839650046295,0.4075173095944609,1.3036597428288823,2,1015.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,477,477,435,8491480.0,8668.22517063932,17183.239154624745,25851.464325264064,0.0030528343399998047,-10378.69497553408,8489769.530195106,-21.758270388960334,-0.0008942434904887866,-0.005405941617946785,0.46331236897274636,2.9958071278825997,5,478.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_1d,849,849,736,9189642.0,10842.403593723298,20007.812299105997,30850.215892829263,0.0035049031159131187,-40098.03786385715,9160386.365729876,-47.22972657698133,-0.00406181571653916,-0.005127702094575598,0.3474676089517079,1.0,1,849.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_2d,588,588,539,8724924.0,9201.704848857351,17920.595202143228,27122.300051000588,0.0031222868200239777,-26717.514545572103,8707408.190303285,-45.43794990743555,-0.0026721658569929603,-0.004043359979740549,0.41496598639455784,2.0,2,588.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_3d,555,555,516,10657138.0,10779.46818508523,21543.02541152294,32322.49359660817,0.0030343012555187152,25015.77709632404,10692933.245281402,45.0734722456289,0.0025319525312255766,-0.004164851716960969,0.44504504504504505,3.0,3,555.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_5d,239,239,230,4124421.0,4203.42080917669,8336.477825705977,12539.898634882662,0.0030464570053664515,-7637.83974520666,4120986.581063972,-31.957488473668032,-0.0009293131539068951,-0.0062592298024531,0.46443514644351463,5.0,5,239.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,688,688,631,9113072.0,9975.262394263322,19058.123493833406,29033.385888096705,0.003234310336025458,-42651.872111879355,9080395.390282385,-61.99400016261534,-0.004299234467636392,-0.006230504317157473,0.4273255813953488,1.936046511627907,3,692.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,985,985,850,13677540.399999999,14771.50295428175,28425.947101842372,43197.45005612408,0.003210750422901327,-49682.23521895769,13642629.667735344,-50.43881748117532,-0.00344372846369209,-0.004700263927983794,0.43451776649746193,1.27005076142132,2,985.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,566,566,514,8002294.0,8590.75764518734,16563.505214544013,25154.262859731374,0.0031785037655391027,-37329.59310927158,7973555.164535917,-65.95334471602752,-0.004439367615184964,-0.005373160872385995,0.4575971731448763,2.9346289752650176,5,566.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_1d,1250,1250,1060,18183623.1,19240.262427530302,37430.45578124479,56670.718208775004,0.0031361664390988434,-46228.898804014134,18156634.463623498,-36.98311904321131,-0.0024959080545595143,-0.0033349378935392743,0.4152,1.0,1,1251.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_2d,696,696,645,11685545.299999999,11968.26137189615,23665.5417501935,35633.803122089615,0.00305634959725936,-24708.671814846857,11672804.889557049,-35.50096525121675,-0.0018561179213950367,-0.003915389540363709,0.4353448275862069,2.0,2,698.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_3d,406,406,383,6834168.0,6988.227536255456,13816.129987328368,20804.357523583825,0.003051643213933294,-22922.018830694287,6818234.208705558,-56.45817445983815,-0.003018083797708055,-0.004780436586621419,0.4482758620689655,3.0,3,406.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_5d,335,335,327,5273168.0,5444.842224495615,10713.652790127187,16158.49501462281,0.0030708676893702286,-16994.275233080745,5261618.566991416,-50.72917980024103,-0.0019364826155125368,-0.0022218435697985285,0.47761194029850745,5.0,5,336.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,775,775,688,10739502.7,11617.527776868079,22327.42049364623,33944.948270514324,0.0032071766448306936,-45313.83980561906,10705806.38797125,-58.46947071692782,-0.003787854584849393,-0.004221227835308366,0.447741935483871,1.863225806451613,3,775.0
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,1145,1145,982,13952785.5,15708.420710327404,29633.675889376984,45342.09659970446,0.0033138885499487784,-54149.957917221414,13914343.96279309,-47.29253966569556,-0.0034425808712320485,-0.005778911041065377,0.422707423580786,1.2043668122270743,2,1162.0
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,532,532,496,8019633.0,8453.011357860405,16447.562419331072,24900.573777191476,0.0031294832896929022,-35582.276380679235,7992503.734977191,-66.88397815917149,-0.00367597509306881,-0.007944687600941892,0.44360902255639095,2.5526315789473686,5,532.0
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_1d,1376,1376,1145,14368416.5,17123.852903474348,31466.651374653557,48590.50427812788,0.0034783304414075238,-56376.10400941015,14329164.248894054,-40.97100582079226,-0.003278829705771223,-0.005260087947581449,0.39244186046511625,1.0,1,1389.0
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_2d,564,564,521,7722206.0,8338.022480581385,16029.466579032418,24367.489059613807,0.0031740260057175093,-38172.74770505873,7692371.274775527,-67.68217678201903,-0.0041034725433877345,-0.005232189593571135,0.4326241134751773,2.0,2,565.0
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_3d,494,494,460,6561944.3,7174.076867299635,13693.085781988677,20867.162649288268,0.003211264380926558,-42735.97633510716,6526382.400532188,-86.5100735528485,-0.00504448653195285,-0.0069384128777775205,0.41700404858299595,3.0,3,495.0
