sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,100000.0,19807.2018387997,53564.2753910733,-0.4643572461,-0.5699835699,294537,1159,1140,292624,19,754,1138,0.4182776801,-0.0043790247,1,2,0,33757.0735522736,"[{'year': 2022, 'net_return': -0.5368311548, 'maximum_drawdown': -0.5699835699}, {'year': 2023, 'net_return': 0.1564740579, 'maximum_drawdown': -0.5138845384}]",1,499,87,174,378,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_1d,100000.0,19574.3039145094,53331.377466783,-0.4666862253,-0.548394155,294537,1339,1314,292492,25,706,1312,0.3879573171,-0.0037646448,0,2,0,33757.0735522736,"[{'year': 2022, 'net_return': -0.5256551398, 'maximum_drawdown': -0.548394155}, {'year': 2023, 'net_return': 0.1243165457, 'maximum_drawdown': -0.519564331}]",0,0,0,1312,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_2d,100000.0,27892.8305898277,93017.4363790348,-0.0698256362,-0.3724685519,294537,464,462,293366,2,707,459,0.4379084967,-0.0033989865,0,3,0,65124.6057892071,"[{'year': 2022, 'net_return': -0.1826002383, 'maximum_drawdown': -0.3724685519}, {'year': 2023, 'net_return': 0.1379675006, 'maximum_drawdown': -0.2169455719}]",0,0,0,459,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,next_open_3d,100000.0,63292.7583331207,87667.7583331207,-0.1233224167,-0.2678337757,294537,527,523,293390,4,620,522,0.4195402299,-0.001766389,1,1,0,24375.0,"[{'year': 2022, 'net_return': 0.0379424897, 'maximum_drawdown': -0.2678337757}, {'year': 2023, 'net_return': -0.1553697897, 'maximum_drawdown': -0.1998667777}]",1,0,0,522,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,100000.0,34169.9713951624,67951.044947436,-0.3204895505,-0.4391572256,294537,824,812,292990,12,723,810,0.4382716049,-0.0033185958,0,2,0,33781.0735522736,"[{'year': 2022, 'net_return': -0.3303912502, 'maximum_drawdown': -0.4391572256}, {'year': 2023, 'net_return': 0.0147872913, 'maximum_drawdown': -0.3788797807}]",0,328,54,192,236,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ht_r3_core_pullback,momentum_trail_4pct_5d,100000.0,68193.6781039749,100162.3613779963,0.0016236138,-0.2809001836,217604,527,519,216432,8,645,518,0.4884169884,-0.0016692289,1,1,0,31968.6832740214,"[{'year': 2022, 'net_return': -0.0980347855, 'maximum_drawdown': -0.2809001836}, {'year': 2023, 'net_return': 0.1104902913, 'maximum_drawdown': -0.1702673117}]",1,199,0,126,193,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ht_r3_core_pullback,next_open_3d,100000.0,78502.686536312,133921.3698103333,0.3392136981,-0.2644349198,217604,420,414,216599,6,585,412,0.4684466019,0.0025035697,0,2,0,55418.6832740213,"[{'year': 2022, 'net_return': 0.1500554812, 'maximum_drawdown': -0.2644349198}, {'year': 2023, 'net_return': 0.1644774709, 'maximum_drawdown': -0.0848391569}]",0,0,0,412,0,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ht_r3_core_pullback,next_open_5d,100000.0,75571.4248996628,101054.699063371,0.0105469906,-0.2528387726,217604,313,310,216738,3,553,309,0.4336569579,-2.90492e-05,0,1,0,25483.2741637082,"[{'year': 2022, 'net_return': -0.1048505505, 'maximum_drawdown': -0.2528387726}, {'year': 2023, 'net_return': 0.1289142736, 'maximum_drawdown': -0.2438735903}]",0,0,0,309,0,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,100000.0,67212.0937702301,91684.0937702301,-0.0831590623,-0.2317734277,575329,352,350,573910,2,1067,349,0.4871060172,-0.0012688938,1,1,0,24472.0,"[{'year': 2022, 'net_return': -0.1035357295, 'maximum_drawdown': -0.2317734277}, {'year': 2023, 'net_return': 0.0227300383, 'maximum_drawdown': -0.2198178918}]",1,115,0,126,108,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,next_open_2d,100000.0,55323.3607053881,75805.3607053881,-0.2419463929,-0.3021465767,575329,497,496,573836,1,996,495,0.4505050505,-0.0031292139,260,1,0,20482.0,"[{'year': 2022, 'net_return': -0.210677, 'maximum_drawdown': -0.2570901108}, {'year': 2023, 'net_return': -0.039615459, 'maximum_drawdown': -0.3021465767}]",260,0,0,495,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,next_open_3d,100000.0,83593.6570733183,100852.6570733183,0.0085265707,-0.173545207,575329,404,403,574001,1,924,402,0.4726368159,0.0007582696,0,1,0,17259.0,"[{'year': 2022, 'net_return': 0.0398316324, 'maximum_drawdown': -0.173545207}, {'year': 2023, 'net_return': -0.0301058947, 'maximum_drawdown': -0.1241732387}]",0,0,0,402,0,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,next_open_5d,100000.0,65707.0052244976,81979.0052244976,-0.1802099478,-0.2831235785,575329,302,300,574073,2,954,299,0.4481605351,-0.0030525454,0,1,0,16272.0,"[{'year': 2022, 'net_return': -0.1983679089, 'maximum_drawdown': -0.258202509}, {'year': 2023, 'net_return': 0.0226512404, 'maximum_drawdown': -0.2831235785}]",0,0,0,299,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,100000.0,24168.9566066352,52747.2745017978,-0.472527255,-0.5253209611,1575804,1026,1013,1572078,13,2700,1011,0.4075173096,-0.0031163721,4,2,0,28578.3178951627,"[{'year': 2022, 'net_return': -0.3629709216, 'maximum_drawdown': -0.4227883742}, {'year': 2023, 'net_return': -0.1719801138, 'maximum_drawdown': -0.5253209611}]",4,382,65,307,257,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,100000.0,73841.1124741179,101183.1124741179,0.0118311247,-0.2606572922,1575804,481,478,1572358,3,2965,477,0.463312369,-0.0008942435,1,1,0,27342.0,"[{'year': 2022, 'net_return': -0.0738152629, 'maximum_drawdown': -0.2606572922}, {'year': 2023, 'net_return': 0.0924722512, 'maximum_drawdown': -0.1385760995}]",1,166,0,161,150,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_1d,100000.0,11494.1491978738,52830.513580977,-0.4716948642,-0.5345481205,1575804,861,852,1572449,9,2494,849,0.347467609,-0.0040618157,0,3,0,41336.3643831033,"[{'year': 2022, 'net_return': -0.4200423843, 'maximum_drawdown': -0.4840133553}, {'year': 2023, 'net_return': -0.0890625082, 'maximum_drawdown': -0.5345481205}]",0,0,0,849,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_2d,100000.0,41084.2451999029,69900.930419967,-0.3009906958,-0.3532470195,1575804,595,590,1572511,5,2698,588,0.4149659864,-0.0026721659,0,2,0,28816.6852200641,"[{'year': 2022, 'net_return': -0.3074122116, 'maximum_drawdown': -0.3532470195}, {'year': 2023, 'net_return': 0.0092717716, 'maximum_drawdown': -0.3195839275}]",0,0,0,588,0,False,False
