sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,flow_quality,fast_failure_2pct_target4pct_2d,97,1,0.010309278350515464,0,0.0,-0.426628157756701,-0.438514813,0.17207400373113874,-0.7625222865,0.2036371032,-0.48534939909381447,-0.477041252,-0.7770508129,986.9896907216495,95738,13100,207
primary_development_2022_2023_partial,flow_quality,momentum_trail_4pct_5d,51,6,0.11764705882352941,0,0.0,-0.2411667139078431,-0.2773054621,0.19214873568097846,-0.5375642671,0.3870674012,-0.35460338444705886,-0.3665150563,-0.5624781827,505.3333333333333,25772,2075,66
primary_development_2022_2023_partial,flow_quality,next_open_1d,103,2,0.019417475728155338,0,0.0,-0.41322233335145625,-0.4530042214,0.1685397989103418,-0.7800383433,0.1274785688,-0.47888689322038835,-0.4881084751,-0.7914321688,1089.368932038835,112205,10409,259
primary_development_2022_2023_partial,flow_quality,next_open_2d,92,12,0.13043478260869565,0,0.0,-0.2185529146032609,-0.2361861954,0.1971815009893813,-0.6301592597,0.2126161058,-0.35693852614565225,-0.34485457545,-0.6423630612,634.7065217391304,58393,12934,172
primary_development_2022_2023_partial,flow_quality,next_open_3d,79,12,0.1518987341772152,0,0.0,-0.1914633897379747,-0.2011967896,0.21444358495274055,-0.5841118844,0.6616228093,-0.34460459536455695,-0.3198088414,-0.6374653799,463.873417721519,36646,3982,115
primary_development_2022_2023_partial,flow_quality,next_open_5d,67,15,0.22388059701492538,0,0.0,-0.13370150583880594,-0.1713035203,0.21413815041065162,-0.5276645635,0.6169345303,-0.3299502103820896,-0.3042763837,-0.5810572983,283.92537313432837,19023,2804,89
primary_development_2022_2023_partial,flow_quality,protect_3pct_target6pct_3d,90,5,0.05555555555555555,0,0.0,-0.3494574269144444,-0.34365280995,0.19193005661858728,-0.7512504771,0.2033890649,-0.42856599541222223,-0.3932505248,-0.7617898417,768.1222222222223,69131,10159,138
primary_development_2022_2023_partial,random_hash,fast_failure_2pct_target4pct_2d,98,5,0.05102040816326531,0,0.0,-0.4016274056163266,-0.42849140385,0.21349293670034075,-0.7670712004,0.4064967105,-0.47557602144591843,-0.4739094465,-0.769321905,972.9387755102041,95348,10173,203
primary_development_2022_2023_partial,random_hash,momentum_trail_4pct_5d,46,4,0.08695652173913043,0,0.0,-0.2309633849391304,-0.26538525685000003,0.1936908936035891,-0.5319754006,0.3926328349,-0.34793318176304344,-0.3420772468,-0.5858196711,494.5,22747,2791,55
primary_development_2022_2023_partial,random_hash,next_open_1d,106,2,0.018867924528301886,0,0.0,-0.4052532689518868,-0.42736549775,0.18006294495246408,-0.8028713706,0.1501377477,-0.4721559999028302,-0.47066523965,-0.805672146,1099.7924528301887,116578,11268,251
primary_development_2022_2023_partial,random_hash,next_open_2d,96,15,0.15625,0,0.0,-0.2225778310145833,-0.23580389499999999,0.20158887874882694,-0.6241007724,0.2811020036,-0.3563330359239583,-0.34811308055,-0.6516557378,644.4791666666666,61870,10761,166
primary_development_2022_2023_partial,random_hash,next_open_3d,77,9,0.11688311688311688,0,0.0,-0.20460758165714285,-0.1820149875,0.19898636518764382,-0.646638184,0.3197424474,-0.34742414950389605,-0.3373269985,-0.6663764632,462.27272727272725,35595,3022,112
primary_development_2022_2023_partial,random_hash,next_open_5d,63,16,0.25396825396825395,0,0.0,-0.1448600616222222,-0.1856854471,0.23125653867513596,-0.5082771472,0.584865094,-0.3384651986301587,-0.3224287084,-0.5735467725,278.9047619047619,17571,3765,89
primary_development_2022_2023_partial,random_hash,protect_3pct_target6pct_3d,84,3,0.03571428571428571,0,0.0,-0.36556172447738094,-0.36392598195,0.18761591550287246,-0.7784199503,0.3512620705,-0.4358675523642857,-0.4180835986,-0.7857127996,762.297619047619,64033,12787,126
primary_development_2022_2023_partial,sector_leader,fast_failure_2pct_target4pct_2d,115,0,0.0,0,0.0,-0.44403905153478257,-0.541364921,0.2123311581464737,-0.8160095727,-0.0726341242,-0.5188945112000001,-0.5590728653,-0.8161601167,1020.1739130434783,117320,27025,315
primary_development_2022_2023_partial,sector_leader,momentum_trail_4pct_5d,105,15,0.14285714285714285,0,0.0,-0.3026944586428571,-0.3178567593,0.20302967852191345,-0.6054559434,0.1212264881,-0.41952413619523804,-0.405382373,-0.6081734366,601.5238095238095,63160,4540,185
primary_development_2022_2023_partial,sector_leader,next_open_1d,115,5,0.043478260869565216,0,0.0,-0.3640767657573913,-0.4221197619,0.21325650059552892,-0.7774481853,0.1271284622,-0.4734891122234783,-0.4797841445,-0.7850714122,887.2173913043479,102030,13795,400
primary_development_2022_2023_partial,sector_leader,next_open_2d,110,15,0.13636363636363635,0,0.0,-0.22949044946363642,-0.23185700585,0.18312535931517393,-0.5351020994,0.1170160517,-0.39123322375909086,-0.42014292555,-0.5875590027,580.5454545454545,63860,20390,240
primary_development_2022_2023_partial,sector_leader,next_open_3d,105,20,0.19047619047619047,0,0.0,-0.14714328042761904,-0.2119957489,0.29181793370389353,-0.7585358976,0.5291129121,-0.383621975167619,-0.3821754238,-0.7660798335,340.1904761904762,35720,13710,290
primary_development_2022_2023_partial,sector_leader,next_open_5d,105,20,0.19047619047619047,0,0.0,-0.06541421616666668,-0.1062882299,0.26313376885029205,-0.4677141809,0.5808613067,-0.3666089469333333,-0.3787484592,-0.4912762454,274.23809523809524,28795,7225,200
primary_development_2022_2023_partial,sector_leader,protect_3pct_target6pct_3d,115,10,0.08695652173913043,0,0.0,-0.3588613850895652,-0.3811761008,0.20563713701881361,-0.7200474106,0.2002119724,-0.4651223304147826,-0.4613198907,-0.7223286935,868.3478260869565,99860,12660,250
primary_development_2022_2023_partial,trend_structure,fast_failure_2pct_target4pct_2d,112,0,0.0,0,0.0,-0.5308801638544642,-0.5354682253,0.15681110227175113,-0.8439315255,-0.0516406949,-0.5674131989330357,-0.57770664875,-0.8490321091,986.5892857142857,110498,8520,247
primary_development_2022_2023_partial,trend_structure,momentum_trail_4pct_5d,50,0,0.0,0,0.0,-0.340159838164,-0.34362779295,0.15943063961105372,-0.6413374867,-0.014066636,-0.43125359136799996,-0.42575727835,-0.6701242439,540.98,27049,6474,74
primary_development_2022_2023_partial,trend_structure,next_open_1d,115,4,0.034782608695652174,0,0.0,-0.47492637425652173,-0.4903930737,0.19684204334473113,-0.83393705,0.1248047988,-0.5336022135017391,-0.5337795812,-0.8353687489,906.6086956521739,104260,6214,354
primary_development_2022_2023_partial,trend_structure,next_open_2d,107,3,0.028037383177570093,0,0.0,-0.3717666022065421,-0.3661320333,0.16400683484800713,-0.7984885699,0.1165529521,-0.44064338055981306,-0.4317198918,-0.7995422949,613.3177570093458,65625,6094,213
primary_development_2022_2023_partial,trend_structure,next_open_3d,92,21,0.22826086956521738,0,0.0,-0.20062974339891307,-0.22976075475000002,0.24825504303285,-0.6591304454,0.4638081043,-0.3970648137423913,-0.38142201055,-0.7774525423,422.89130434782606,38906,12406,164
primary_development_2022_2023_partial,trend_structure,next_open_5d,55,7,0.12727272727272726,0,0.0,-0.19627177159636364,-0.223759153,0.19257361404101933,-0.5752179896,0.2452857055,-0.34114793355999995,-0.3251102426,-0.6517074569,294.3636363636364,16190,5774,71
primary_development_2022_2023_partial,trend_structure,protect_3pct_target6pct_3d,93,0,0.0,0,0.0,-0.47014789419139785,-0.483344373,0.15680626845841003,-0.7899472553,-0.0513194826,-0.5186300429225806,-0.5191697108,-0.7947750285,801.3010752688172,74521,7984,148
supplemental_2023_09_legacy,flow_quality,fast_failure_2pct_target4pct_2d,12,0,0.0,0,0.0,-0.038130011116666675,-0.042446719,0.01863223363878758,-0.0721689274,-0.0138042994,-0.0697046634,-0.06453056315,-0.1011034711,58.25,699,0,12
