sample_group,strategy_id,ma_period,mean_1d,mean_2d,mean_5d,mean_60m,median_1d,median_2d,median_5d,median_60m,profit_factor_1d,profit_factor_2d,profit_factor_5d,profit_factor_60m,signal_count_1d,signal_count_2d,signal_count_5d,signal_count_60m,win_rate_1d,win_rate_2d,win_rate_5d,win_rate_60m,daily_bh_q_value_1d,daily_bh_q_value_2d,daily_bh_q_value_5d,daily_bh_q_value_60m,daily_mean_daily_return_1d,daily_mean_daily_return_2d,daily_mean_daily_return_5d,daily_mean_daily_return_60m,daily_positive_date_fraction_1d,daily_positive_date_fraction_2d,daily_positive_date_fraction_5d,daily_positive_date_fraction_60m,control_mean_daily_difference_s0_liquidity_matched_1d,control_mean_daily_difference_s0_liquidity_matched_2d,control_mean_daily_difference_s0_liquidity_matched_5d,control_mean_daily_difference_s0_liquidity_matched_60m,control_mean_daily_difference_s0_random_matched_1d,control_mean_daily_difference_s0_random_matched_2d,control_mean_daily_difference_s0_random_matched_5d,control_mean_daily_difference_s0_random_matched_60m,control_positive_date_fraction_s0_liquidity_matched_1d,control_positive_date_fraction_s0_liquidity_matched_2d,control_positive_date_fraction_s0_liquidity_matched_5d,control_positive_date_fraction_s0_liquidity_matched_60m,control_positive_date_fraction_s0_random_matched_1d,control_positive_date_fraction_s0_random_matched_2d,control_positive_date_fraction_s0_random_matched_5d,control_positive_date_fraction_s0_random_matched_60m,screen_note
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,-0.0021853783993636,-0.0026108832860499,-0.0026870841451698,-0.0028566448988411,-0.0045987668142519,-0.0055693483130356,-0.0065491506871717,-0.0044304142733753,0.8434084985367161,0.8539533948690176,0.8974028168449721,0.6049960298100472,163598,163598,163598,163598,0.4293177684001641,0.4315276186742301,0.4466477519930877,0.3352162616536757,0.002808938374099399,0.011375887313386264,0.17852783299782657,3.220730675510521e-31,-0.002789439271453812,-0.0034500998802006284,-0.0035304776690284825,-0.0032226775888363132,0.4501510574018127,0.48036253776435045,0.48036253776435045,0.18429003021148035,0.0006410785642107,4.858569681122628e-05,0.0002283245920942,-0.0001926637775704,-0.0032171399091421,-0.0032088755125297,-0.0032083804363429,-0.0032637312052556,0.4954682779456193,0.4894259818731117,0.4773413897280967,0.4622356495468278,0.0362537764350453,0.0362537764350453,0.0362537764350453,0.039274924471299,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,-0.001689397725951,-0.0016585091644781,-0.0021740245574982,-0.0026324727317885,-0.0042350594667742,-0.0047816028996645,-0.0059399589331516,-0.0043315349182326,0.8769125389618908,0.9048268918612952,0.9167965736227822,0.6297757940625628,125647,125647,125647,125647,0.4342625669813728,0.4398172146770553,0.4519912863765849,0.3370294602274988,0.0010446776806214899,0.010728039267514717,0.20266895946320568,4.950192260573344e-35,-0.003073473797563385,-0.003518879561720889,-0.0031864535533977995,-0.003273441603044213,0.4561933534743202,0.48338368580060426,0.486404833836858,0.18126888217522658,0.0006711777854959,0.0002253718938025,0.0007957019034269,-6.209559592808739e-05,-0.0033943809380638,-0.003385082790449,-0.0033954626852206,-0.0034248117670728,0.5075528700906344,0.5226586102719033,0.5015105740181269,0.4833836858006042,0.0302114803625377,0.0302114803625377,0.0302114803625377,0.0302114803625377,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,-0.0013553699538241,-0.0015766295356089,-0.0022023974156108,-0.0024125148097385,-0.0035301242376857,-0.0044466456804729,-0.0053855108840773,-0.0041763232371336,0.9000517965240995,0.909433665219616,0.9157961742060976,0.6597286870454279,89709,89709,89709,89709,0.4400745926992954,0.4459771912383973,0.4583878141728411,0.34450811630396,0.0005174511249745995,0.006310651706076562,0.17852783299782657,2.6277260517881054e-38,-0.0033955325466477142,-0.0038711786293473553,-0.0036023011004425198,-0.0032339674808346,0.4561933534743202,0.4773413897280967,0.4954682779456193,0.1782477341389728,0.0004014085992608,0.0001134204727085,0.0006969705357386,-5.280902167690162e-05,-0.0035793921471697,-0.0035809262574256,-0.0035829436740556,-0.0036147721199744,0.5105740181268882,0.5045317220543807,0.5105740181268882,0.5166163141993958,0.0302114803625377,0.0302114803625377,0.0302114803625377,0.039274924471299,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,-0.0012237205048835,-0.0013342193123627,-0.0021497500555279,-0.0023202859013961,-0.0034633308434982,-0.0039462750821314,-0.0052219691845932,-0.0041692796228471,0.9096304291844588,0.92310982563037,0.9174568237093552,0.6749079265578569,73339,73339,73339,73339,0.4424964841136553,0.4525211404215789,0.4591472666876273,0.3443427745428263,0.0010508162679889355,0.009327181379594316,0.20199858376713759,5.123357390371583e-32,-0.0031244702354256957,-0.0036142496953270042,-0.003328689347214038,-0.0031622381465444957,0.4380664652567976,0.459214501510574,0.5196374622356495,0.19637462235649547,0.0006925399192613,3.678156349839338e-05,0.0005812102033412,1.486658091834184e-05,-0.0035534952067341,-0.0035390701359609,-0.003554152411404,-0.0035668589983145,0.5196374622356495,0.5045317220543807,0.4833836858006042,0.5347432024169184,0.0302114803625377,0.0302114803625377,0.0271903323262839,0.0422960725075528,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,-0.0010470885696661,-0.0009452081982808,-0.0017849121066129,-0.002371724688158,-0.0033685440067169,-0.0037218323688461,-0.0049300765813126,-0.0041209444015692,0.9214968465746878,0.9447092799339304,0.9299824070601524,0.6709739730537109,50899,50899,50899,50899,0.4436856709897073,0.4534984446981927,0.4609855049629746,0.3459558245558874,0.0038838887100435967,0.03443700151016684,0.20971500369456267,1.5576416536134638e-27,-0.0026081943813279092,-0.002669597140296354,-0.0029360458542389348,-0.0030868941861169354,0.4652567975830816,0.48036253776435045,0.5226586102719033,0.19939577039274925,0.0010926189376565,0.0011197615018839,0.0012813071773645,0.0003185165259095,-0.0036051644401166,-0.0036033443819538,-0.0036020889850718,-0.0036061536454496,0.5649546827794562,0.5740181268882175,0.5377643504531722,0.5558912386706949,0.0332326283987915,0.0302114803625377,0.0332326283987915,0.0362537764350453,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,-0.000540122079148,-0.0002960328999296,0.0001084170343935,-0.002397029280078,-0.0030162529300139,-0.0036838015465603,-0.0043684008690783,-0.0041746383836195,0.9581751169866576,0.981752916664556,1.0045854490340709,0.6669516377499282,38397,38397,38397,38397,0.4412708349636122,0.4522317932654659,0.4639005666240176,0.3424582606204256,0.011129960612585548,0.04513843198549536,0.22356629752965496,8.398296405061495e-32,-0.002246475012228304,-0.002449163864601313,-0.0027485281155338955,-0.0031429702670898213,0.4666666666666667,0.46060606060606063,0.503030303030303,0.20606060606060606,0.0012228799176582,0.000671002526259,0.000639086466936,7.508170497626376e-05,-0.0037880773376491,-0.0037888467306821,-0.0037847953218943,-0.0037878298704627,0.5818181818181818,0.5181818181818182,0.5,0.5242424242424243,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0636363636363636,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,fu_r3_core_pullback,10,0.0003155315997894,0.0016919082844492,0.0024983724899165,-0.0023384312235466,-0.0024355984471543,-0.0019158293681265,-0.002298998435719,-0.0040564029008747,1.024434311879321,1.1064904031815388,1.102965544559875,0.6662446992964519,57886,57886,57886,57886,0.4659994112452164,0.477111730779223,0.4827221866177056,0.3521199765022979,0.2891041195572452,0.674906078283218,0.6526626986849237,1.742024953453988e-14,-0.001251727898569722,-0.0007068558209722456,-0.0012347424461441338,-0.0027778454364738056,0.4824120603015075,0.5226130653266332,0.5125628140703518,0.23115577889447236,0.0007903194260711,0.0003365340275173,0.0002846654504006,2.1328673675619965e-06,-0.0033897052902348,-0.0033880708614586,-0.0033840221901849,-0.003579351824779,0.5326633165829145,0.4874371859296482,0.4673366834170854,0.5125628140703518,0.0904522613065326,0.0954773869346733,0.100502512562814,0.0954773869346733,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,fu_r3_core_pullback,20,0.0007520631769026,0.0024687017823564,0.0029284211187208,-0.0021984120619627,-0.0022313805862766,-0.0014205683156254,-0.0013601337488343,-0.0039956082807701,1.0600016218075623,1.1599016998587817,1.1222560331194271,0.682023302608398,49238,49238,49238,49238,0.466464531358105,0.4817920898894701,0.4898187741804113,0.3502671081229306,0.2241899867938249,0.8846878028428058,0.9726122455529834,1.8777003879539267e-16,-0.0014051131673059535,-0.00024393950409610422,8.489639916150337e-05,-0.0028809523708519,0.507537688442211,0.542713567839196,0.5276381909547738,0.20603015075376885,0.0014168160414518,0.0016020647119764,0.0028302669711938,0.0001952710671765,-0.0036052809254699,-0.0035976269660092,-0.0036187712592055,-0.0038072460639859,0.5326633165829145,0.5628140703517588,0.5477386934673367,0.4723618090452261,0.0402010050251256,0.0402010050251256,0.0402010050251256,0.0603015075376884,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,fu_r3_core_pullback,40,0.0015045386241841,0.0028965663070633,0.0041642854900296,-0.0018372146639029,-0.001606092043069,-0.0007788549263233,0.0002102316883354,-0.0033553630480649,1.1250916349332625,1.1931215579247716,1.1818618383416073,0.7288014096424705,36871,36871,36871,36871,0.4746324628386641,0.4906763074915733,0.5021893442845876,0.3607833563891827,0.3261716276752189,0.9366260750332246,0.830582815182587,2.0935709531729407e-16,-0.0010930432304620311,-0.00011877972243358577,0.0005754453467913812,-0.0027157520893683383,0.5175879396984925,0.542713567839196,0.5477386934673367,0.21105527638190955,0.0018071639096685,0.0017165067804274,0.0031004707607686,0.0005396486630623,-0.0037134521631064,-0.0037250838912951,-0.0037418885560164,-0.0038774759376518,0.6381909547738693,0.5678391959798995,0.5778894472361809,0.5376884422110553,0.0653266331658291,0.0653266331658291,0.0653266331658291,0.0753768844221105,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,fu_r3_core_pullback,60,0.001629537600934,0.0034536739131185,0.0047708416400207,-0.0017605763340425,-0.0014236271359721,-0.000383042136447,0.0006491284930374,-0.0035246588485904,1.136942334369735,1.2348219537796867,1.2126088528918295,0.7424133760396409,30428,30428,30428,30428,0.4769868966879568,0.4955874604847207,0.5057187118889878,0.3597817512490139,0.28178431362676787,0.8691247292222712,0.7697724429321964,2.6191592010055203e-16,-0.0012035869001827723,0.0002773404075526524,0.0008267510408841793,-0.002803284933986076,0.507537688442211,0.5326633165829145,0.5577889447236181,0.22110552763819097,0.0014745413964465,0.0017666869833202,0.0024012032502357,0.0002766365270576,-0.0036463964654886,-0.0036456429002617,-0.0036598210248007,-0.0037831816034751,0.592964824120603,0.5678391959798995,0.507537688442211,0.5728643216080402,0.0653266331658291,0.0703517587939698,0.0703517587939698,0.0954773869346733,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,fu_r3_core_pullback,120,0.0015485208407124,0.0032477087814846,0.0045817036859258,-0.0018079696016376,-0.001498773862936,-0.000569663364259,0.0007866109606452,-0.0034744256078953,1.1280771133429537,1.214469513304017,1.202001948194164,0.7428235964860829,21678,21678,21678,21678,0.4777181952662722,0.4939407955596669,0.5065704238386082,0.3632504268377093,0.4962590488269953,0.8846878028428058,0.9717599619499142,2.4516451350608148e-14,-0.0007350191706187664,0.0002321305430910789,0.00010429725255411318,-0.0026796512564416838,0.49748743718592964,0.5326633165829145,0.5829145728643216,0.2613065326633166,0.0013025744060409,0.0009913956387201,0.0007180196575036,0.0003811401639644,-0.0038842296302761,-0.003891684339951,-0.003885366633176,-0.0039120766454169,0.5879396984924623,0.592964824120603,0.5276381909547738,0.5628140703517588,0.0603015075376884,0.0603015075376884,0.050251256281407,0.0753768844221105,descriptive screen only; no winner is selected
