sample_group,strategy_id,ma_period,control_id,horizon,matched_date_count,mean_daily_difference,median_daily_difference,std_daily_difference,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,5m,331,7.939126966860187e-05,1.4091776330521979e-05,0.0008291814613264356,0.5075528700906344,0.08291048634822133,0.8260214930986781,0.1330424083262156
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,15m,331,-2.773959034562374e-05,-7.250027846652232e-05,0.0012803380135452827,0.459214501510574,0.6941457510076552,0.15287097030698535,0.7312375086950871
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,30m,331,-2.4895327112592196e-05,2.4166544118822182e-05,0.0017080824694972916,0.5075528700906344,0.791353261198635,0.8260214930986781,0.8255503307069502
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,60m,331,-0.00019266377757041705,-0.00019329643255197894,0.0021939213615348244,0.4622356495468278,0.11160761279260639,0.18703395961266983,0.17703276511930668
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,1d,331,0.000641078564210734,-3.827509284776639e-05,0.006609809515285982,0.4954682779456193,0.07901340914105902,0.9124867149020457,0.44361081348930986
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,2d,331,4.858569681122628e-05,-0.0001904611767444481,0.008389970009326807,0.48942598187311176,0.9162830873403299,0.7416149670525334,0.966394858734278
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,3d,331,-8.612021072551975e-05,-0.0006228386421706549,0.009793722443724834,0.4743202416918429,0.873183448355289,0.37919070006212147,0.9717686763954023
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_liquidity_matched,5d,331,0.00022832459209425496,-0.00026091465331155357,0.012742040124334818,0.4773413897280967,0.7449978046155918,0.4416382410514279,0.880895930490302
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,5m,331,-0.0007632292482995857,-0.000790102515767706,0.0008746210073349477,0.1661631419939577,1.7869044338265195e-42,1.5044511092752331e-36,1.3699600659336648e-41
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,15m,331,-0.00186495143021392,-0.0017866368460207295,0.0017105685050391325,0.09365558912386707,4.412849655521712e-58,1.8922740358333524e-56,3.205122381378928e-57
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,30m,331,-0.0027728249874302475,-0.002646844697519434,0.0021512946138814095,0.06646525679758308,4.015248882424036e-72,5.854991704520268e-66,2.770521728872585e-71
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,60m,331,-0.003263731205255604,-0.00289127150574274,0.002449345228988554,0.03927492447129909,3.8589791250020516e-75,3.4509427791658022e-77,2.21891299687618e-74
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,1d,331,-0.0032171399091421265,-0.0030162075569535106,0.0023511815266964568,0.03625377643504532,1.3412682981556849e-77,1.4016065592824741e-78,6.610536612338733e-77
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,2d,331,-0.003208875512529744,-0.002999908920418621,0.002327549831861154,0.03625377643504532,2.6371089920395476e-78,1.4016065592824741e-78,1.2997180032194914e-77
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,3d,331,-0.0032098294421447075,-0.0030357834155755096,0.0023313963963068475,0.03625377643504532,3.535288685011667e-78,1.4016065592824741e-78,1.742392280470036e-77
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,s0_random_matched,5d,331,-0.003208380436342921,-0.003036562670268482,0.0023630276151825934,0.03625377643504532,7.094718293847836e-77,1.4016065592824741e-78,3.496682587682148e-76
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,5m,331,0.00016436400237116984,5.2234441871904736e-05,0.0010832118458465965,0.5196374622356495,0.006168114745686076,0.5095843076624359,0.012704475147831022
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,15m,331,7.596050913072495e-05,-4.712408526039452e-05,0.001592071566911969,0.486404833836858,0.3867214397455233,0.6602051224044762,0.46006516107657086
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,30m,331,6.0741884429453604e-05,-6.68562397585146e-05,0.0019356852793106826,0.48036253776435045,0.5690338606165813,0.5095843076624359,0.6489807666536217
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,60m,331,-6.209559592808739e-05,-0.00011714525720050143,0.0024949654175604637,0.48338368580060426,0.6514799336327955,0.5826263292692689,0.7990161206552908
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,1d,331,0.0006711777854959649,0.00013526206570154545,0.007084274201266176,0.5075528700906344,0.0861749172685353,0.8260214930986781,0.45738994550222584
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,2d,331,0.0002253718938025583,0.0004480742841782045,0.009319062226533026,0.5226586102719033,0.660714625538282,0.4416382410514279,0.897624230316056
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,3d,331,0.0004089702159239485,-0.0002756904034685153,0.012063488458869173,0.48338368580060426,0.5384173097261772,0.5826263292692689,0.8255732082468049
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,s0_liquidity_matched,5d,331,0.0007957019034269791,6.026968112559461e-06,0.015041875512037822,0.5015105740181269,0.3372757769140676,1.0,0.628973746137045
