sample_group,strategy_id,ma_period,horizon,date_count,mean_daily_return,median_daily_return,std_daily_return,positive_date_count,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,5m,331,-0.002885328418587754,-0.0029431646252489835,0.0009714201152629503,1,0.0030211480362537764,8.936343287701137e-166,1.5178872556228612e-97,1.1555616320303195e-165
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,15m,331,-0.0029239214156588536,-0.0028723663789561506,0.0019009411004108656,13,0.03927492447129909,5.583730701215312e-89,3.4509427791658022e-77,6.979663376519139e-89
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,30m,331,-0.0030062942800523867,-0.0028574120587191885,0.0030034777663349907,32,0.09667673716012085,1.1329804125376582e-51,1.781266008303898e-55,1.3816834299239733e-51
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,60m,331,-0.003222677588836342,-0.0028665995553358533,0.004519511840777486,61,0.18429003021148035,2.6195276160807297e-31,1.628245518845457e-32,3.220730675509094e-31
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,1d,331,-0.0027894392714538133,-0.0020233496877187737,0.01632820578457866,149,0.4501510574018127,0.002078614396833595,0.07844038321120742,0.0028089383740994528
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,2d,331,-0.0034500998802006284,-0.0007191460888034781,0.021641150206731755,159,0.48036253776435045,0.004030844114391802,0.5095843076624359,0.011375887313386443
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,3d,331,-0.0036604307350719613,-0.0023534482468425986,0.026287417717762915,151,0.4561933534743202,0.011886358507596192,0.12367020291162287,0.044559911533170925
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,5d,331,-0.0035304776690284825,-0.0024383884640899415,0.033388067385226296,159,0.48036253776435045,0.05560880125798565,0.5095843076624359,0.1785278329978275
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,5m,331,-0.00281870302415438,-0.002866495192744772,0.0010786093841270532,2,0.006042296072507553,1.6158713432861735e-149,2.5121491275514865e-95,2.0031462933299673e-149
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,15m,331,-0.0029209726639902165,-0.0028019637961777576,0.0018469580996887246,16,0.04833836858006042,8.31692343272313e-92,3.3056005762140386e-73,1.0483516932003945e-91
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,30m,331,-0.003033231842478748,-0.0029028455293620466,0.0028348607063274117,31,0.09365558912386707,1.2506134868645929e-56,1.8922740358333524e-56,1.6171726123249045e-56
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,60m,331,-0.0032734416030442454,-0.0030642949270976044,0.004258318321810677,60,0.18126888217522658,3.828148681508041e-35,3.644105152877335e-33,4.950192260570743e-35
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,1d,331,-0.003073473797563389,-0.0017112479781308102,0.0161254207247668,151,0.4561933534743202,0.0006059130547604712,0.12367020291162287,0.001044677680621502
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,2d,331,-0.0035188795617208876,-0.0009011229246919185,0.021784185100686103,160,0.48338368580060426,0.00357601308917163,0.5826263292692689,0.01072803926751489
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,3d,331,-0.003354624432654651,-0.002594831636330257,0.026899510715881033,151,0.4561933534743202,0.024132150022185186,0.12367020291162287,0.05617032958355791
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,5d,331,-0.003186453553397802,-0.0009768085866184713,0.0341995064197424,161,0.486404833836858,0.09148260086105582,0.6602051224044762,0.20266895946320704
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,5m,331,-0.0026312623699509554,-0.0026600856459242745,0.0018696962795491038,2,0.006042296072507553,2.9614382866741945e-80,2.5121491275514865e-95,3.172969592865208e-80
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,15m,331,-0.0026780723592215597,-0.0025713638390231055,0.0022238660461733253,10,0.030211480362537766,3.444629000002643e-66,1.7891960484140454e-81,3.799223161767621e-66
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,30m,331,-0.002883610367695695,-0.0028047330473295307,0.002795166285199951,33,0.09969788519637462,7.046980653857104e-54,1.6206100638953845e-54,8.958026254903099e-54
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,60m,331,-0.003233967480834633,-0.0028914554907896305,0.0039634374436982355,59,0.1782477341389728,1.8744445836075885e-38,7.993104954227296e-34,2.627726051786339e-38
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,1d,331,-0.0033955325466477186,-0.001131303737620959,0.01628287929434631,151,0.4561933534743202,0.00018029522938654206,0.12367020291162287,0.0005174511249746073
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,2d,331,-0.0038711786293473584,-0.001604312327706996,0.021535793770296203,158,0.4773413897280967,0.001207727140383902,0.4416382410514279,0.006310651706076658
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,3d,331,-0.003862977481848296,-0.001938702109944264,0.026275578421956113,157,0.4743202416918429,0.007944066366532691,0.37919070006212147,0.03972033183266346
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,5d,331,-0.0036023011004425206,-0.000275117726684457,0.034106353924156466,164,0.4954682779456193,0.05588777612173161,0.9124867149020457,0.1785278329978275
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,5m,331,-0.0027025014306401285,-0.0027246042463809845,0.001383951388893841,1,0.0030211480362537764,1.2328475241025959e-114,1.5178872556228612e-97,1.3800531986223088e-114
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,15m,331,-0.002714597466768538,-0.0026940589071329647,0.0020544395709669,18,0.054380664652567974,2.2722754860047052e-74,1.0760394876854358e-70,2.621856330005429e-74
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,30m,331,-0.0028351499313432698,-0.002630969005192769,0.0028785382561810663,43,0.1299093655589124,1.6031571209715178e-50,1.153816413809746e-45,1.9085203821089497e-50
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,60m,331,-0.0031622381465445234,-0.002757931430207092,0.004362288573084274,65,0.19637462235649547,4.0645301963595197e-32,5.3326854873863485e-30,5.123357390369142e-32
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,1d,331,-0.003124470235425705,-0.0019377540619813644,0.016415859537136385,145,0.4380664652567976,0.0006164788772201712,0.027755090478306058,0.0010508162679889283
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,2d,331,-0.003614249695327005,-0.001555893811734157,0.021701306594025294,152,0.459214501510574,0.002677679575135753,0.15287097030698535,0.009327181379594353
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,3d,331,-0.0034024825229739966,-0.0010864576224862987,0.026571511781857904,153,0.4622356495468278,0.020616189784491094,0.18703395961266983,0.05331773220127007
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,5d,331,-0.0033286893472140324,0.0015937292825994314,0.03470568559142671,172,0.5196374622356495,0.0823828939008068,0.5095843076624359,0.20199858376713742
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,5m,331,-0.002697112331805961,-0.002685882823558587,0.0011771188665352366,4,0.012084592145015106,2.290987849998421e-133,2.273076773351272e-91,2.749185419998105e-133
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,15m,331,-0.002660594774405869,-0.002517242447814633,0.002044922147756282,16,0.04833836858006042,5.739690484583689e-73,3.3056005762140386e-73,6.522375550663284e-73
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,30m,331,-0.0027960634891876722,-0.002457875950697268,0.0028545060813685882,38,0.1148036253776435,3.9185464842914593e-50,6.245065001468526e-50,4.592046661279053e-50
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,60m,331,-0.0030868941861169684,-0.002583248364438539,0.004692029381722526,66,0.19939577039274925,1.3395718221069436e-27,2.1624318202146582e-29,1.5576416536127251e-27
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,1d,331,-0.002608194381327915,-0.0007250146490381053,0.01581963827836153,154,0.4652567975830816,0.0029517554196331454,0.22652105114781237,0.0038838887100436123
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,2d,331,-0.002669597140296356,-0.0007344963541903006,0.021609527764355586,159,0.48036253776435045,0.02548338111752362,0.5095843076624359,0.034437001510167056
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,3d,331,-0.002506700354997375,-0.00145931073538128,0.026237498533395145,156,0.47129909365558914,0.08357703060839525,0.3224854616925212,0.10996977711630954
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,5d,331,-0.002936045854238934,0.0010798981495239832,0.03376616331215532,173,0.5226586102719033,0.11516404074451816,0.4416382410514279,0.2097150036945636
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,5m,330,-0.002811995714767041,-0.0027700208792151657,0.0012137181402134868,5,0.015151515151515152,2.654488544512471e-134,2.9375859893873946e-89,3.263715423580907e-134
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,15m,330,-0.0028529611285244244,-0.00277047435260638,0.0018633857702523536,16,0.048484848484848485,2.982021001219321e-88,6.292683980423822e-73,3.6967202494454394e-88
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,30m,330,-0.0028728847316969743,-0.002648704090091933,0.002802710841148822,37,0.11212121212121212,3.012948085633324e-53,1.4283665571888722e-50,3.7978337213865433e-53
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,60m,330,-0.00314297026708985,-0.0030005305973319,0.004346770289732373,68,0.20606060606060606,6.718637124046762e-32,5.350022464542004e-28,8.398296405058452e-32
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,1d,330,-0.002246475012228307,-0.0011253270129310663,0.015585649484442052,154,0.4666666666666667,0.009349166914571933,0.2476365049294429,0.011129960612585635
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,2d,330,-0.0024491638646013166,-0.0014263771583983799,0.02107653370852338,152,0.46060606060606063,0.035809822708493026,0.1686623218591587,0.045138431985495414
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,3d,330,-0.002270349081718609,-0.00038434253912149194,0.026405829089263793,160,0.48484848484848486,0.11983487869804997,0.6203610292534627,0.1426605698786309
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,5d,330,-0.002748528115533896,9.915699139389669e-05,0.034148863477641817,166,0.503030303030303,0.14527288886379894,0.9561111621563131,0.22356629752965615
primary_development_2022_2023_partial,fu_r3_core_pullback,10,5m,199,-0.0029238987863220624,-0.0029366448788780836,0.0012003822249057165,0,0.0,3.422693135360113e-85,2.4892061111444567e-60,3.747474235795744e-85
primary_development_2022_2023_partial,fu_r3_core_pullback,10,15m,199,-0.0029374297010079055,-0.002625594499056529,0.0023468819435686493,16,0.08040201005025126,2.151618401540036e-42,4.240077557212158e-37,2.2728363396549675e-42
primary_development_2022_2023_partial,fu_r3_core_pullback,10,30m,199,-0.002930066114988173,-0.0026052830827335855,0.003346081828308541,24,0.12060301507537688,2.883957514265851e-26,1.6272070820869612e-29,3.0251302597194246e-26
primary_development_2022_2023_partial,fu_r3_core_pullback,10,60m,199,-0.0027778454364738294,-0.0025217546507132695,0.004712127708679774,46,0.23115577889447236,1.6491169559362154e-14,1.2615887236870661e-14,1.7420249534537488e-14
primary_development_2022_2023_partial,fu_r3_core_pullback,10,1d,199,-0.001251727898569725,-0.0007051915806762507,0.0163065952830511,96,0.4824120603015075,0.281394676369052,0.6707043457315792,0.2891041195572452
primary_development_2022_2023_partial,fu_r3_core_pullback,10,2d,199,-0.0007068558209722443,0.001431593403421716,0.02204895664979658,104,0.5226130653266332,0.6524092090071117,0.5707535104620824,0.6749060782832191
primary_development_2022_2023_partial,fu_r3_core_pullback,10,3d,199,-0.0010387971647295375,0.0003527291288167047,0.027414227381099384,100,0.5025125628140703,0.5944954951437472,1.0,0.6235966732277068
primary_development_2022_2023_partial,fu_r3_core_pullback,10,5d,199,-0.0012347424461441325,0.000687969865639934,0.03434476969294302,102,0.5125628140703518,0.613502936763829,0.7768377068940344,0.6526626986849245
primary_development_2022_2023_partial,fu_r3_core_pullback,20,5m,199,-0.0029296755331804495,-0.0028703751027789426,0.00123759083118318,1,0.005025125628140704,4.251490597067168e-83,4.9784122222889134e-58,4.587939493237951e-83
primary_development_2022_2023_partial,fu_r3_core_pullback,20,15m,199,-0.002984755030584598,-0.002991833488076638,0.0021756999497926028,15,0.07537688442211055,2.161531866703498e-47,3.663646404081321e-38,2.349491159460324e-47
primary_development_2022_2023_partial,fu_r3_core_pullback,20,30m,199,-0.003035951733324884,-0.002894538797444772,0.0032516207562742374,27,0.135678391959799,9.206342091250829e-29,4.9969404659019415e-27,9.863937954911603e-29
primary_development_2022_2023_partial,fu_r3_core_pullback,20,60m,199,-0.0028809523708519277,-0.0025750825371154322,0.004498777975316081,41,0.20603015075376885,1.7400023595035338e-16,2.1257893303906954e-17,1.8777003879534536e-16
primary_development_2022_2023_partial,fu_r3_core_pullback,20,1d,199,-0.0014051131673059485,0.0002595648458587769,0.015850447901488936,101,0.507537688442211,0.21372778741011583,0.8873030419814874,0.2241899867938278
primary_development_2022_2023_partial,fu_r3_core_pullback,20,2d,199,-0.00024393950409609907,0.001227967927364117,0.021644549436181035,108,0.542713567839196,0.8741563065548047,0.2566505912206386,0.884687802842806
primary_development_2022_2023_partial,fu_r3_core_pullback,20,3d,199,-0.0001002960242547369,0.0018111119947987829,0.02783663330728207,107,0.5376884422110553,0.9596164625511391,0.32099040312889365,0.959616462551139
primary_development_2022_2023_partial,fu_r3_core_pullback,20,5d,199,8.489639916150804e-05,0.0025734034189484954,0.03475131107349977,105,0.5276381909547738,0.9726122455529821,0.4784912009825469,0.9726122455529821
primary_development_2022_2023_partial,fu_r3_core_pullback,40,5m,199,-0.002727931134520824,-0.002653098907009242,0.0012847756088031539,5,0.02512562814070352,2.7251245898657485e-75,6.315025396439285e-51,2.8786527357736777e-75
primary_development_2022_2023_partial,fu_r3_core_pullback,40,15m,199,-0.002801871614992455,-0.00260064950588156,0.0021556331424512506,15,0.07537688442211055,2.069997652377345e-44,3.663646404081321e-38,2.2178546275471552e-44
primary_development_2022_2023_partial,fu_r3_core_pullback,40,30m,199,-0.002896891283528025,-0.002746519351280214,0.0031236120620332965,26,0.1306532663316583,1.7136109081793155e-28,7.7385218837587465e-28,1.8229903278503357e-28
primary_development_2022_2023_partial,fu_r3_core_pullback,40,60m,199,-0.0027157520893683683,-0.0025546220368762094,0.004249269852030955,42,0.21105527638190955,1.9539995562941712e-16,8.081851755030765e-17,2.0935709531723262e-16
primary_development_2022_2023_partial,fu_r3_core_pullback,40,1d,199,-0.0010930432304620307,0.0002806096945802891,0.01541611771809918,103,0.5175879396984925,0.31964819512171583,0.6707043457315792,0.32617162767522023
primary_development_2022_2023_partial,fu_r3_core_pullback,40,2d,199,-0.00011877972243358096,0.002207685261633145,0.020993996661275306,108,0.542713567839196,0.9366260750332271,0.2566505912206386,0.9366260750332273
primary_development_2022_2023_partial,fu_r3_core_pullback,40,3d,199,0.0001758595182151383,0.0017151669098030462,0.026801307367151365,106,0.5326633165829145,0.9265292613781825,0.39501577812011107,0.9327475785686401
primary_development_2022_2023_partial,fu_r3_core_pullback,40,5d,199,0.0005754453467913881,0.002067160815078782,0.0343656617734913,109,0.5477386934673367,0.8139711588789333,0.20184260329879233,0.830582815182585
primary_development_2022_2023_partial,fu_r3_core_pullback,60,5m,199,-0.0028548440536665,-0.002874383872816723,0.0013339662844209065,5,0.02512562814070352,7.549259779822347e-76,6.315025396439285e-51,8.031127425342922e-76
primary_development_2022_2023_partial,fu_r3_core_pullback,60,15m,199,-0.0028974075749280412,-0.0026276773590699627,0.002124360747413356,11,0.05527638190954774,4.590710722617129e-47,9.682210400158535e-43,4.954004376924959e-47
primary_development_2022_2023_partial,fu_r3_core_pullback,60,30m,199,-0.0029622089011090928,-0.0029339294213535424,0.0031619014497035955,26,0.1306532663316583,6.718847173612747e-29,7.7385218837587465e-28,7.250554503898649e-29
primary_development_2022_2023_partial,fu_r3_core_pullback,60,60m,199,-0.0028032849339861047,-0.002616912794868122,0.004403758269408159,44,0.22110552763819097,2.462009648944701e-16,1.0692982222738554e-15,2.619159201005001e-16
primary_development_2022_2023_partial,fu_r3_core_pullback,60,1d,199,-0.0012035869001827714,0.00011353733396551012,0.015387442520601024,101,0.507537688442211,0.2723915031725436,0.8873030419814874,0.28178431362676926
primary_development_2022_2023_partial,fu_r3_core_pullback,60,2d,199,0.0002773404075526545,0.0008399844047003908,0.02085347181774482,106,0.5326633165829145,0.851742234637825,0.39501577812011107,0.8691247292222704
primary_development_2022_2023_partial,fu_r3_core_pullback,60,3d,199,0.0004038239162498133,0.002403363728162786,0.026759165282616366,110,0.5527638190954773,0.8320525115831892,0.15608547576770965,0.849033175084887
primary_development_2022_2023_partial,fu_r3_core_pullback,60,5d,199,0.0008267510408841876,0.0033274265203635826,0.034865020979146545,111,0.5577889447236181,0.7389815452149063,0.11864782596955128,0.7697724429321942
primary_development_2022_2023_partial,fu_r3_core_pullback,120,5m,199,-0.002885833597471702,-0.002882938295759452,0.0015167119226607677,4,0.020100502512562814,1.0085862880491561e-67,1.610637105298915e-52,1.0433651255680926e-67
primary_development_2022_2023_partial,fu_r3_core_pullback,120,15m,199,-0.002834872279209469,-0.002545500717408328,0.002409367295470127,15,0.07537688442211055,3.2289889721101096e-39,3.663646404081321e-38,3.387051369346269e-39
primary_development_2022_2023_partial,fu_r3_core_pullback,120,30m,199,-0.0029511239150673916,-0.0022115029841660327,0.0032831545593764106,28,0.1407035175879397,2.9074501387286518e-27,3.093876845641921e-26,3.0712501465443503e-27
