sample_group,strategy_id,ma_period,horizon,gross_observed_count,gross_mean,gross_median,gross_win_rate,gross_profit_factor,net_observed_count,net_mean,net_median,net_win_rate,net_profit_factor,mean_cost_drag,median_cost_drag,win_rate_change,observed_count_difference
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,15m,163593,0.0001611779280828,-0.0006337135614702,0.401374141925388,1.0470840737338565,163593,-0.0028555611553294,-0.0036480550510976,0.2797246825964436,0.4686735658815172,0.0030167390834122,0.0030143414896274,-0.12164945932894439,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,1d,163273,0.0008333882403721,-0.0015873015873015,0.46538006896425,1.067549515103965,163273,-0.0021853783993636,-0.0045987668142519,0.4293177684001641,0.8434084985367161,0.0030187666397356997,0.0030114652269504,-0.03606230056408588,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,2d,163241,0.0004065960404623,-0.0025608194622279,0.4604970564992863,1.024999075232345,163241,-0.0026108832860499,-0.0055693483130356,0.4315276186742301,0.8539533948690176,0.0030174793265122,0.0030085288508077002,-0.028969437825056177,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,30m,163587,0.0002080946561093,-0.0009624639076034,0.4107905884941957,1.048580817754602,163587,-0.0028087859400212,-0.003975813803036,0.3103425088790674,0.5450747667090198,0.0030168805961305,0.0030133498954326,-0.1004480796151283,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,3d,163248,0.0003846789498738,-0.0032423671645714,0.4589336469665784,1.0197745438643926,163248,-0.0026327342691497,-0.0062488402951249,0.4347802117024404,0.8749609626002947,0.0030174132190235003,0.0030064731305535,-0.02415343526413799,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,5d,163189,0.0003301646449217,-0.0035435861091424,0.4654725502331652,1.0134048839441068,163189,-0.0026870841451698,-0.0065491506871717,0.4466477519930877,0.8974028168449721,0.0030172487900915,0.0030055645780293,-0.01882479824007749,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,5m,163596,0.0001210577861783,0.0,0.3869776767158121,1.0518710110137413,163596,-0.0028955602847386,-0.0030162529300139,0.2270287782097362,0.3403444127474792,0.0030166180709169,0.0030162529300139,-0.15994889850607594,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,60m,163575,0.0001600909058367,-0.0014184397163118,0.4156014060828366,1.0297261709234258,163575,-0.0028566448988411,-0.0044304142733753,0.3352162616536757,0.6049960298100472,0.0030167358046777996,0.0030119745570635,-0.08038514442916089,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,15m,125642,0.0002707734664003,-0.0004548557950925,0.4035274828480922,1.0807226235070737,125642,-0.0027462961848753,-0.0034697367649816,0.2783225354578882,0.4823095508276895,0.0030170696512756,0.0030148809698890998,-0.125204947390204,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,1d,125408,0.0013308694429194,-0.0012224938875304,0.4703846644552181,1.1097976342213098,125408,-0.001689397725951,-0.0042350594667742,0.4342625669813728,0.8769125389618908,0.0030202671688704004,0.0030125655792438005,-0.036122097473845316,0
