sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,gross_return,5m,50899,0.00036313128896449945,0.0,0.008642053763120645,0.3898308414703629,1.151972035913817,50899,331,3038,1,50899,50899
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,gross_return,5m,163596,0.00012105778617837897,0.0,0.007949173325408081,0.3869776767158121,1.0518710110137413,163598,331,3071,1,163598,163598
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,gross_return,5m,125647,0.00020840932113881148,0.0,0.008001192528981684,0.389448216033809,1.0914348690825177,125647,331,3067,1,125647,125647
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,gross_return,5m,89708,0.000386732384542693,0.0,0.008433074556592804,0.39621884335845187,1.1680467758917468,89709,331,3063,1,89709,89709
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,gross_return,5m,73338,0.00036719717691885965,0.0,0.008591684528933266,0.3933295153944749,1.1559457876116537,73339,331,3062,1,73339,73339
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,gross_return,5m,38397,0.00026254703669662037,0.0,0.0087394411765493,0.38417063833111964,1.1080725598841152,38397,330,3022,1,38397,38397
primary_development_2022_2023_partial,fu_r3_core_pullback,120,gross_return,5m,21678,0.0003520758005531702,0.0,0.008732098669641366,0.3933019651259341,1.143277375344612,21678,199,2988,1,21678,21678
primary_development_2022_2023_partial,fu_r3_core_pullback,10,gross_return,5m,57886,0.00019159155664613366,0.0,0.008107163506220837,0.40061500190028676,1.0793743424831639,57886,199,3055,1,57886,57886
primary_development_2022_2023_partial,fu_r3_core_pullback,20,gross_return,5m,49237,0.00022362629034637218,0.0,0.0080747149263028,0.3965919938257814,1.0957207618215568,49238,199,3047,1,49238,49238
primary_development_2022_2023_partial,fu_r3_core_pullback,40,gross_return,5m,36871,0.0003887649929159618,0.0,0.00836816214995408,0.3995009628163055,1.1670853425166012,36871,199,3040,1,36871,36871
primary_development_2022_2023_partial,fu_r3_core_pullback,60,gross_return,5m,30428,0.00035207829631924353,0.0,0.008586564535809648,0.39519521493361376,1.146687059195602,30428,199,3026,1,30428,30428
primary_development_2022_2023_partial,fu_r3_core_pullback,240,gross_return,5m,15915,0.00027745232261840305,0.0,0.008863318965560845,0.39013509267986174,1.1101625383262568,15915,199,2915,1,15915,15915
primary_development_2022_2023_partial,s0_distance_only,20,gross_return,5m,1048521,0.00015658749041285285,0.0,0.00479621783860252,0.3861458187294294,1.1170978006763457,1048526,331,3072,1,1048526,1048526
