sample_group,metric,horizon,strategy_id,ma_period,observed_count,positive_count,mean_exact,min_exact,max_exact,q01,q05,q25,q50,q75,q95,q99,positive_q99,tail_estimate_method
primary_development_2022_2023_partial,net_return,5m,cs_r3_leader_confirmation,10,163596,37141,-0.002895560284738628,-0.09118734183362998,0.10359761597631412,-0.020803625354961535,-0.012873365627233964,-0.0063583189940208465,-0.0030162529300139613,-0.0004338086060767013,0.008743668541395565,0.0249150847598944,0.05190828740784062,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,15m,cs_r3_leader_confirmation,10,163593,45761,-0.0028555611553294524,-0.20399447028384454,0.13424058333744382,-0.028014186079256976,-0.017223046401797153,-0.007979861441702155,-0.0036337247110456734,0.0007180574340536782,0.01466074355747026,0.038097315719764664,0.06408202779419213,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,30m,cs_r3_leader_confirmation,10,163587,50768,-0.002808785940021224,-0.20893655759582386,0.12819533133004057,-0.03345646028588113,-0.020435346274599378,-0.009384337818155345,-0.003973250885705965,0.0018129912624305611,0.019196603202808093,0.04785644275230793,0.0708958797090107,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,60m,cs_r3_leader_confirmation,10,163575,54833,-0.002856644898841179,-0.2023471078465181,0.18642671350196416,-0.04034683031825582,-0.02462186741972638,-0.0110764309518102,-0.004418183992905177,0.0031084165202867353,0.024591144780745776,0.05833845134957997,0.07731931873383793,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,1d,cs_r3_leader_confirmation,10,163273,70096,-0.002185378399363671,-0.24554160758068455,0.20663414016367465,-0.08844416202191285,-0.05412300892799938,-0.021930646305112454,-0.004606084475891617,0.013595919316408817,0.06055896372909373,0.11421827169644386,0.14180712070651227,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,2d,cs_r3_leader_confirmation,10,163241,70443,-0.002610883286049932,-0.3090961937852741,0.32158310658114475,-0.1151622917255231,-0.06989877659135431,-0.0280279194348903,-0.0055672686263715816,0.017749484912985353,0.07667587200314158,0.14819268715079872,0.19666871240381123,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,3d,cs_r3_leader_confirmation,10,163248,70977,-0.002632734269149754,-0.3586522351050543,0.45197087527828894,-0.13751636845069132,-0.0821856328824098,-0.03320059679278647,-0.006260284169873435,0.02178734285072024,0.09224013229870208,0.17595185728479248,0.22788208520831502,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5d,cs_r3_leader_confirmation,10,163189,72888,-0.002687084145169842,-0.43231523216481027,0.756504092565121,-0.1732304828269009,-0.10339138420820616,-0.041582244995790406,-0.0066221987230085655,0.029089240102405878,0.11280791222709774,0.22066479800147226,0.2936836034009643,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5m,cs_r3_leader_confirmation,10,163596,63308,0.00012105778617837897,-0.08843783979702802,0.10693641618497107,-0.017841185954357453,-0.00988693419144395,-0.0033521770779403057,-3.4888071524433752e-06,0.002590257194790391,0.01179549968188585,0.02801584055105715,0.0439298007881204,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,15m,cs_r3_leader_confirmation,10,163593,65662,0.00016117792808282197,-0.20158625247851958,0.1376720901126407,-0.02507356135213743,-0.01424977439555594,-0.004978625304851538,-0.0006193398667195174,0.003741630720365758,0.01773047608793482,0.041237952745575096,0.06010686058574549,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,30m,cs_r3_leader_confirmation,10,163587,67200,0.00020809465610934817,-0.20654329147389294,0.13160854893138363,-0.030532300496700575,-0.017471792690480797,-0.006387350753566984,-0.0009598932364791702,0.004897246415523401,0.02228005842432516,0.05102660482864485,0.06954398193215217,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,60m,cs_r3_leader_confirmation,10,163575,67982,0.00016009090583679,-0.19993390614672835,0.19001610305958128,-0.03744351650460904,-0.021670979645564824,-0.008084563108961667,-0.001406172434617361,0.0061427412280733295,0.027690920530945805,0.061540325466596414,0.07786754154076825,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,1d,cs_r3_leader_confirmation,10,163273,75984,0.000833388240372126,-0.24325908558030473,0.21028466483011932,-0.08568636082881119,-0.05126137326529354,-0.018971616569162453,-0.0015964948352935754,0.016662430350789324,0.06376755573593589,0.11758920340576837,0.1422630739670244,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,2d,cs_r3_leader_confirmation,10,163241,75172,0.0004065960404623838,-0.3070059484467945,0.32558139534883734,-0.11248532298053296,-0.06708486859279299,-0.025087336256365955,-0.002558733483725169,0.020828562054323534,0.07993322375350746,0.15166640431721898,0.19675415713811972,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,3d,cs_r3_leader_confirmation,10,163248,74920,0.0003846789498738378,-0.356711915535445,0.4563636363636363,-0.13490702924291084,-0.07940889727146025,-0.030275662919762518,-0.0032538456613695355,0.02487863603958326,0.09554457182342523,0.17950955644038516,0.2276916933690366,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5d,cs_r3_leader_confirmation,10,163189,75960,0.00033016464492173015,-0.4305977710233029,0.7618181818181817,-0.1707291923234715,-0.10067880401579526,-0.038682668778821386,-0.0036168551429170146,0.03220262429229544,0.11617457706557877,0.22435777071477586,0.29113013485857026,duckdb_approx_quantile_per_ma_period
