sample_group,market_regime,strategy_id,ma_period,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,defensive,cs_r3_leader_confirmation,10,37185,-0.0029029065466119426,-0.0030162529300139518,0.2211972891566265,-0.002960827265422799,-0.0037102360214822383,0.2710305507745267,-0.0029378942602367245,-0.004171618495638629,0.3054434941638427,-0.0030631581163031952,-0.00465468143793496,0.3318898273172306,-0.004692476925535808,-0.006916161412545141,0.3931621628903198,-0.006926826636899532,-0.008585994533756858,0.3936144416004311,-0.007307594790966655,-0.010087059646822216,0.3958507342044995,-0.006369930232820454,-0.009933751608352914,0.42147824680575774
primary_development_2022_2023_partial,defensive,cs_r3_leader_confirmation,20,25552,-0.0027436194195284724,-0.0030162529300139518,0.23113650594865373,-0.002783000650755889,-0.0035887754409352213,0.2776299311208516,-0.0026473939282518066,-0.00396757329935532,0.310738885410144,-0.0028254102542152664,-0.0045619641657812515,0.3353033268101761,-0.004822675400292323,-0.006797486838396871,0.39876097867001253,-0.006862628216524299,-0.00859731567890376,0.3947616060225847,-0.007305174107956561,-0.010094230850388852,0.39684033086361675,-0.007258646291636157,-0.010744809108851006,0.41393651665554987
primary_development_2022_2023_partial,defensive,cs_r3_leader_confirmation,40,17738,-0.002534560187378117,-0.0030162529300138408,0.2469838764234976,-0.0025906230724232777,-0.0035054500581147563,0.28593979028075317,-0.0025844241155550387,-0.004091747802796919,0.31452249408050514,-0.002907963920165375,-0.004698925920848973,0.33104031575979703,-0.005044623907218514,-0.006925993114601903,0.39963874463761573,-0.007822406281077578,-0.009203761284514445,0.3960921617348091,-0.008273150461230745,-0.010348601491636189,0.3990626235247614,-0.009372485468631515,-0.012079741539740785,0.41469341621927097
primary_development_2022_2023_partial,defensive,cs_r3_leader_confirmation,60,14314,-0.0026246818215626667,-0.0030162529300139518,0.24179125331842952,-0.0026197138986483828,-0.003617843266283949,0.28314936425876763,-0.002478058647521208,-0.004028419170693742,0.31810242436945435,-0.0028318271159723163,-0.004658730272798062,0.3324016490811264,-0.005045728136075666,-0.0068076664192296965,0.40558120016785565,-0.008193220356241227,-0.009186797783674372,0.4047719003638399,-0.008616824709059973,-0.010588281388773324,0.40400223901483345,-0.00992794567567323,-0.012388604516693158,0.41402968356202746
primary_development_2022_2023_partial,defensive,cs_r3_leader_confirmation,120,9976,-0.002697082596407162,-0.0030162529300139518,0.23807137129109865,-0.002685415101948521,-0.0030162529300139518,0.28839214113873296,-0.002673184600225783,-0.003952387903788379,0.3136842105263158,-0.003137477061991268,-0.004610151806225038,0.3287218045112782,-0.004937756639358413,-0.0073321998870266025,0.3915051712019279,-0.007270008062562534,-0.008822815485029778,0.3996789727126806,-0.007892605790946486,-0.010280251087172121,0.3976896032144651,-0.008924055972639525,-0.01169512063444994,0.41068917018284107
primary_development_2022_2023_partial,defensive,cs_r3_leader_confirmation,240,7593,-0.0027788685003646077,-0.0030162529300139518,0.2320558409060977,-0.0026738462154425597,-0.0035640796424890597,0.2755169234821546,-0.002574768164098792,-0.004010254671858227,0.31278809429737914,-0.002845767961906067,-0.004569187115481044,0.3291189253259581,-0.004570723391876495,-0.006588071817662966,0.39329992086520704,-0.0061297137834825655,-0.008034627495802305,0.4025854108956602,-0.006097186924058145,-0.008617285216923953,0.40913290220403853,-0.0059058449119355596,-0.008779164762788283,0.42874124950468895
primary_development_2022_2023_partial,defensive,ht_r3_core_pullback,10,26521,-0.0030791147674085056,-0.0030162529300139518,0.1807315233785822,-0.003140238970817742,-0.0032890255214502173,0.24475867269984916,-0.0032555577040568923,-0.004006060632657404,0.28833245342786035,-0.003512000555389335,-0.004572216876704005,0.31666289507430034,-0.0061115438888024965,-0.007858079339981172,0.37371601208459215,-0.008501059176939102,-0.009622442114250673,0.37830487989122225,-0.008870579081245163,-0.011372324146944113,0.38126534466477807,-0.008376885001259732,-0.011537481537449601,0.4094327500850308
primary_development_2022_2023_partial,defensive,ht_r3_core_pullback,20,18160,-0.0030518321450624343,-0.0030162529300139518,0.18755506607929515,-0.003055935717243006,-0.003016252930014063,0.25187224669603525,-0.003058893692293641,-0.0038579447195595806,0.29030837004405285,-0.003467347167912299,-0.004575867946916057,0.31286485295737415,-0.0064013292083997045,-0.007851715780949953,0.3774542245753364,-0.00877410216863115,-0.009892002909806963,0.37597219923878866,-0.00890868453756141,-0.01135921315654087,0.3806163515078009,-0.009176606622247993,-0.012232042234532836,0.40256155459865295
primary_development_2022_2023_partial,defensive,ht_r3_core_pullback,40,12523,-0.00308651607859004,-0.0030162529300139518,0.18933162980116586,-0.0030547076145749077,-0.003016252930014063,0.2488221672123293,-0.003228741824094145,-0.004114252651456596,0.2840373712369241,-0.003715836644095779,-0.004758470382790425,0.3060702875399361,-0.007105499829187657,-0.008400581757821157,0.3723812569966416,-0.010427752519379368,-0.011404337340458426,0.3696121551379448,-0.01054543949930857,-0.01184814543641377,0.37853830161522467,-0.01176878664221684,-0.014163520542256891,0.39849563895334883
primary_development_2022_2023_partial,defensive,ht_r3_core_pullback,60,10205,-0.0030947512408899427,-0.0030162529300139518,0.18961293483586478,-0.003091951371908285,-0.003413457610121462,0.24997550220480158,-0.0031509127894054057,-0.003955917159109035,0.28893462707046946,-0.0036037045434514996,-0.004661899330515695,0.3080768476769261,-0.007305242681469997,-0.008196350513831774,0.37885030410045123,-0.010936183803874584,-0.011455051272806938,0.3763989789907716,-0.011463312320451956,-0.01257200769426281,0.3802609634062592,-0.013247639934447683,-0.01468501082331769,0.3979972511290006
primary_development_2022_2023_partial,defensive,ht_r3_core_pullback,120,7319,-0.0029707860781412756,-0.0030162529300138408,0.19292253040032792,-0.0029667541913763773,-0.0030162529300139518,0.26096461265200166,-0.003127990468347028,-0.00393450545601387,0.27903798852145395,-0.003700435316453501,-0.004668599839977805,0.30213172998086907,-0.0064541927184847804,-0.007879588281574645,0.37040076596908766,-0.00888008259193522,-0.010037265233323489,0.38033369803063455,-0.009474142469867953,-0.011626079276460921,0.3830777656078861,-0.010427291445580978,-0.012903722062814038,0.3998632010943912
primary_development_2022_2023_partial,defensive,ht_r3_core_pullback,240,5606,-0.003121665067123608,-0.0030162529300139518,0.1833749554049233,-0.0029044055243571966,-0.0030162529300139518,0.24937566892615054,-0.002940592095162836,-0.003848824770209369,0.2818408847663218,-0.0035723847501271206,-0.004688135005696703,0.2987870139136639,-0.006305464733254748,-0.007527491604538694,0.3711377031612788,-0.00807331252993178,-0.009151537527367415,0.38475272272808425,-0.008076015475898821,-0.009949393928769257,0.38460164344408715,-0.008265640504705416,-0.010527433230674954,0.41505722460658084
primary_development_2022_2023_partial,defensive,ng_r3_volume_quality,10,244201,-0.0030271114021802477,-0.0030162529300138408,0.13916337353344663,-0.00312835067265768,-0.0030162529300139518,0.20970661468400878,-0.003210587742227002,-0.0030162529300139518,0.25958025459966905,-0.00342418312697587,-0.004099048282248163,0.3076557454968613,-0.004381604935794243,-0.005384385345857168,0.3960881499747662,-0.005715808554068643,-0.006925993114601958,0.40161347903338984,-0.005399220613817697,-0.00678319403985006,0.4179481181438755,-0.004346395028824083,-0.006191360404758983,0.44355874807593637
primary_development_2022_2023_partial,defensive,ng_r3_volume_quality,20,171836,-0.0030511229952460625,-0.0030162529300138408,0.13678476651613203,-0.003106431036262665,-0.0030162529300138408,0.21253477354998662,-0.003192115443885564,-0.0030162529300139518,0.25946276301621024,-0.003428703186193392,-0.004049396709360775,0.30528755174883404,-0.004233027413273496,-0.005055074498663936,0.3988664789126594,-0.005174110584434207,-0.005968820789056362,0.4154349385156291,-0.004876198967951763,-0.005757955694355221,0.43102081268582754,-0.004094241013404141,-0.005524388142768455,0.44978621884424014
primary_development_2022_2023_partial,defensive,ng_r3_volume_quality,40,121396,-0.00303528504027724,-0.0030162529300138408,0.1427724142475864,-0.0030657579427158296,-0.0030162529300138408,0.22010594215196025,-0.003131361195815253,-0.0030162529300139518,0.26793217657817986,-0.0032976447505688924,-0.003820272080876652,0.3152433697605037,-0.004064907285514879,-0.004876297234248983,0.4037966325519974,-0.005204998034769203,-0.005725447894877611,0.42198912263037575,-0.005014041278437842,-0.005760173037784533,0.4341442883786951,-0.005043796376187286,-0.006211713657802376,0.445280183624099
primary_development_2022_2023_partial,defensive,ng_r3_volume_quality,60,100198,-0.0029882777618373954,-0.0030162529300138408,0.14638162819246084,-0.0030079602229137626,-0.0030162529300138408,0.22500349322314708,-0.0029882132787973736,-0.0030162529300139518,0.2749723001367525,-0.003103329344191173,-0.003414568450217481,0.3244905498367563,-0.004032730833021032,-0.004637364713867387,0.4136707190274334,-0.004844736136273787,-0.005031175620131112,0.4329637147170868,-0.004796273892557606,-0.005317085127042986,0.44189441894418946,-0.004779854650012023,-0.00619237222995811,0.45049118665092736
