sample_group,signal_month,strategy_id,ma_period,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,2022-01,cs_r3_leader_confirmation,10,9801,-0.0028972566384599233,-0.0030162529300139518,0.24742373227221712,-0.0032155895951297107,-0.0038869810933936932,0.2833384348535864,-0.0034919687116400865,-0.004363528263892413,0.30843791449852054,-0.004387879802588874,-0.005508712297688845,0.3220408163265306,-0.011838681465131059,-0.01406316425488896,0.3172230186360844,-0.011610344785122566,-0.015219690682167775,0.3455384615384615,-0.01363447203077715,-0.018362375961269606,0.3459963137415523,-0.020376799528093743,-0.026570362453302576,0.32988529291274066
primary_development_2022_2023_partial,2022-01,cs_r3_leader_confirmation,20,6751,-0.002726629528586721,-0.0030162529300139518,0.24914827432972894,-0.0030219346725377607,-0.0037569540793971345,0.2854391941934528,-0.0032574134175264815,-0.004412588710224097,0.3083987557398904,-0.004077815269762102,-0.005529657334392035,0.316693823137313,-0.010959440196224492,-0.012821492407190105,0.32738626226583406,-0.011019571628707764,-0.014687973660039655,0.35492999702114986,-0.014727693362154895,-0.019624003347299968,0.34284864704133217,-0.02308447307411447,-0.030519252849186107,0.3048327137546468
primary_development_2022_2023_partial,2022-01,cs_r3_leader_confirmation,40,4651,-0.0027833234263409876,-0.0030162529300139518,0.2620941732960654,-0.0030721054832819708,-0.0038575894254315735,0.28940012900451517,-0.0033495611340055562,-0.0043562848481188965,0.31391098688454094,-0.004373688123616128,-0.0056468169064518015,0.3204301075268817,-0.012000345062736695,-0.01269978985297604,0.33146067415730335,-0.013052037003400175,-0.015668330938516273,0.3484553899330309,-0.01768615845975137,-0.02235169529743164,0.33096315449256625,-0.027506619553464975,-0.0356143773778988,0.29322984044846917
primary_development_2022_2023_partial,2022-01,cs_r3_leader_confirmation,60,3587,-0.002640326122032556,-0.0030162529300139518,0.27153610259269584,-0.00279678689130722,-0.0036061841412976525,0.3058265960412601,-0.002961560776327752,-0.003951509728390867,0.33732924449400614,-0.0041824970737683815,-0.005339547417796964,0.331195985503206,-0.012560565111725463,-0.012721404450164342,0.3365034965034965,-0.014213766464621939,-0.016416572111062178,0.34480828435488386,-0.020399094747183502,-0.025247451406703036,0.3172027972027972,-0.028023299744160374,-0.03645805576674277,0.28906905227844565
primary_development_2022_2023_partial,2022-01,cs_r3_leader_confirmation,120,2200,-0.0025923411620534906,-0.0030162529300139518,0.2586363636363636,-0.002748561465780376,-0.0038360292747158797,0.30272727272727273,-0.0030840174004839243,-0.004308524499484212,0.32045454545454544,-0.004122330572860831,-0.005386397694952694,0.33090909090909093,-0.013094775172426637,-0.015042126921908539,0.3111617312072893,-0.014089457712673387,-0.01855453895439274,0.32087511394712853,-0.016840303021930143,-0.02284263426379196,0.32633500684618894,-0.024994896538158135,-0.03498949263196638,0.3136716963877458
primary_development_2022_2023_partial,2022-01,cs_r3_leader_confirmation,240,1409,-0.0026581907377444427,-0.0030162529300139518,0.255500354861604,-0.0025791168430548284,-0.003960366326860365,0.30731014904187365,-0.0029690784905851406,-0.0041154632354933884,0.33782824698367636,-0.0031667492019914366,-0.004325121315139624,0.36053938963804116,-0.011868833370200777,-0.013062917838247201,0.32409381663113007,-0.009952092449560164,-0.013015499950774667,0.37491090520313614,-0.009835313976137624,-0.014050065150551294,0.38258386866523914,-0.0136854503659638,-0.021862826598633478,0.36973590292648106
primary_development_2022_2023_partial,2022-01,fu_r3_core_pullback,10,3977,-0.002988097995763938,-0.0030162529300139518,0.25144581342720645,-0.003767289427307604,-0.004428411211982786,0.2708071410611013,-0.0037848431923382174,-0.004185735331268869,0.3012320844857933,-0.0032495503430140724,-0.004677103979705055,0.3415492957746479,-0.009567581234995065,-0.012488782593386594,0.3300529901589705,-0.00573871750224235,-0.011394734136664919,0.3881578947368421,-0.0021926331434544044,-0.009967911828816844,0.423203026481715,-0.004445007254313061,-0.013206917057792589,0.4140191628845184
primary_development_2022_2023_partial,2022-01,fu_r3_core_pullback,20,2850,-0.0025964918801520717,-0.0030162529300138408,0.2554385964912281,-0.003406092661530615,-0.004038308738064489,0.27964912280701754,-0.0030471353008135076,-0.0038888999445590433,0.3196491228070175,-0.0025493301929463016,-0.004565568157643363,0.3480701754385965,-0.008285455641721168,-0.01097307226172517,0.3367418899858956,-0.004912877703169199,-0.010880278980522129,0.3908289241622575,-0.0034251472079347505,-0.01149220402093798,0.41000352236703064,-0.008453735619224566,-0.018283997908114857,0.37768391411474833
primary_development_2022_2023_partial,2022-01,fu_r3_core_pullback,40,1973,-0.0027209419939094276,-0.0030162529300139518,0.26964014191586416,-0.0034638535957795574,-0.004216281513391151,0.2833248859604663,-0.0033510686829593956,-0.0041864216472321525,0.3188038520020274,-0.0027550774333426524,-0.004543031008372556,0.345841784989858,-0.009615260695447934,-0.011419189816573083,0.3318019397651863,-0.007408642074007673,-0.012290371589543325,0.37830957230142565,-0.00903545616413493,-0.014838194594875453,0.37112353838332485,-0.013668997393365898,-0.022517157518179842,0.36428209030948755
primary_development_2022_2023_partial,2022-01,fu_r3_core_pullback,60,1549,-0.002778560408276329,-0.0030162529300138408,0.2750161394448031,-0.0034412745150563255,-0.004178238649209409,0.28921885087153004,-0.0031847059035029542,-0.004095239669267059,0.33053582956746286,-0.0031175147880431195,-0.004550074079352262,0.34796642995480953,-0.011373248872590865,-0.011820876781312939,0.32555123216601817,-0.008945994534552177,-0.012459942009161118,0.36228127025275436,-0.0107846687224813,-0.017349557981338415,0.36552171095268954,-0.011878373006037881,-0.022771545144082195,0.37297996121525534
primary_development_2022_2023_partial,2022-01,fu_r3_core_pullback,120,978,-0.0024424140937571084,-0.0030162529300138408,0.27607361963190186,-0.0028194298123686502,-0.0041195360299838835,0.2893660531697341,-0.002957638913348494,-0.004228948215488804,0.32004089979550104,-0.0025816865537525305,-0.004052245475744343,0.36298568507157464,-0.011177468278374365,-0.01269048875063894,0.321025641025641,-0.007708880611898094,-0.015088722301303703,0.35626283367556466,-0.00600386589377833,-0.015040983194862467,0.38335046248715315,-0.008658156004444745,-0.020798823989855053,0.3932238193018481
