sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count,missing_count,missing_fraction,observed_fraction
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,gross_return,15m,163593,0.0001611779280828,-0.0006337135614702,0.0111768028803122,0.401374141925388,1.0470840737338565,163598,331,3071,1,163598,163598,5,3.056272081565789e-05,0.9999694372791843
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,gross_return,15m,125642,0.0002707734664003,-0.0004548557950925,0.0111934750394276,0.4035274828480922,1.0807226235070737,125647,331,3067,1,125647,125647,5,3.9794026120798747e-05,0.9999602059738792
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,gross_return,15m,89707,0.0005151313561584,0.0,0.0116266126938385,0.4102466920084274,1.1537803769638362,89709,331,3063,1,89709,89709,2,2.2294307148669587e-05,0.9999777056928514
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,gross_return,15m,73338,0.0005301542382432,-0.0003017511399893,0.0118473597414908,0.4058059941640077,1.155182353392777,73339,331,3062,1,73339,73339,1,1.3635309998772822e-05,0.9999863646900012
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,gross_return,15m,50898,0.0005267646968939,0.0,0.0119231754288707,0.407324452827223,1.1517943627197795,50899,331,3038,1,50899,50899,1,1.9646751409654412e-05,0.9999803532485904
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,gross_return,15m,38396,0.0003677916460783,-0.0003177629488401,0.0118681899628172,0.397827898739452,1.105133452276,38397,330,3022,1,38397,38397,1,2.6043701330833138e-05,0.9999739562986691
primary_development_2022_2023_partial,fu_r3_core_pullback,10,gross_return,15m,57885,0.0002681830294809,-0.0004597701149426,0.0113945285331502,0.4134577178889176,1.0761991002286764,57886,199,3055,1,57886,57886,1,1.7275334277718275e-05,0.9999827246657222
primary_development_2022_2023_partial,fu_r3_core_pullback,20,gross_return,15m,49236,0.0002940368561844,-0.0003682569181581,0.011279148090494,0.4109594605573158,1.0858337799766538,49238,199,3047,1,49238,49238,2,4.0619034079369594e-05,0.9999593809659206
primary_development_2022_2023_partial,fu_r3_core_pullback,40,gross_return,15m,36871,0.0005518797058754,0.0,0.0115822729468454,0.4149060237042662,1.1637773025506706,36871,199,3040,1,36871,36871,0,0.0,1.0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,gross_return,15m,30428,0.0005318255598178,0.0,0.0116718946974676,0.4090311555146576,1.1554627516096825,30428,199,3026,1,30428,30428,0,0.0,1.0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,gross_return,15m,21678,0.0005838191470576,0.0,0.0119254053373446,0.4101393117446258,1.1665686500437464,21678,199,2988,1,21678,21678,0,0.0,1.0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,gross_return,15m,15915,0.0004624707611828,0.0,0.0120476778116826,0.4076657241595978,1.129597275405789,15915,199,2915,1,15915,15915,0,0.0,1.0
primary_development_2022_2023_partial,ht_r3_core_pullback,10,gross_return,15m,116064,3.6527482496298505e-06,-0.0001703582456874,0.0086075255941155,0.3911118003859939,1.0013336284568242,116070,331,3069,1,116070,116070,6,5.1692943913155855e-05,0.9999483070560868
primary_development_2022_2023_partial,ht_r3_core_pullback,20,gross_return,15m,91771,9.596085619559452e-05,0.0,0.0084726055409988,0.3938825990781401,1.0360891657582312,91775,331,3064,1,91775,91775,4,4.3584854263143556e-05,0.9999564151457369
primary_development_2022_2023_partial,ht_r3_core_pullback,40,gross_return,15m,66341,0.0001870407691282,0.0,0.0085058538435331,0.3982002080161589,1.0711365662900458,66342,331,3058,1,66342,66342,1,1.5073407494498207e-05,0.9999849265925055
primary_development_2022_2023_partial,ht_r3_core_pullback,60,gross_return,15m,54528,0.0001760557452916,0.0,0.0085970527318779,0.3925322769953052,1.0661112362796152,54528,331,3054,1,54528,54528,0,0.0,1.0
primary_development_2022_2023_partial,ht_r3_core_pullback,120,gross_return,15m,38087,0.0002075132849039,0.0,0.0087578211267221,0.3950954393887678,1.076621891156882,38088,331,3024,1,38088,38088,1,2.625498844780508e-05,0.9999737450115522
primary_development_2022_2023_partial,ht_r3_core_pullback,240,gross_return,15m,28804,0.0002021989212601,0.0,0.0087822343320866,0.3879322316344952,1.075667457337402,28805,330,3008,1,28805,28805,1,3.471619510501649e-05,0.999965283804895
primary_development_2022_2023_partial,ng_r1_auction_reclaim,10,gross_return,15m,323167,0.0001317391970582,0.0,0.0076786430731988,0.4018974709670232,1.0594836296603765,323179,197,3071,1,323179,323179,12,3.713112547535576e-05,0.9999628688745247
primary_development_2022_2023_partial,ng_r1_auction_reclaim,20,gross_return,15m,222971,0.0001425756571072,0.0,0.0078350708226294,0.4012270654031242,1.0625774054131494,222984,197,3068,1,222984,222984,13,5.830014709575575e-05,0.9999416998529043
primary_development_2022_2023_partial,ng_r1_auction_reclaim,40,gross_return,15m,149091,0.0002561935550281,0.0,0.0081382938029574,0.4030558517952123,1.1112878564771995,149097,197,3065,1,149097,149097,6,4.0242258395541155e-05,0.9999597577416045
primary_development_2022_2023_partial,ng_r1_auction_reclaim,60,gross_return,15m,117564,0.0002666705292358,0.0,0.0083408398339676,0.4004627266850396,1.1133345589188952,117566,197,3058,1,117566,117566,2,1.7011721075821242e-05,0.9999829882789242
primary_development_2022_2023_partial,ng_r1_auction_reclaim,120,gross_return,15m,74677,0.0003095873297959,0.0,0.0087839297132286,0.4026139239658797,1.124562077791086,74680,197,3036,1,74680,74680,3,4.017139796464917e-05,0.9999598286020354
primary_development_2022_2023_partial,ng_r1_auction_reclaim,240,gross_return,15m,56404,0.0002157995872866,0.0,0.0087383771279215,0.3925962697681016,1.0872466014011826,56405,197,3015,1,56405,56405,1,1.7728924740714474e-05,0.9999822710752593
primary_development_2022_2023_partial,ng_r3_volume_quality,10,gross_return,15m,792853,-2.240531410311352e-05,0.0,0.0065458203899016,0.3900723084859362,0.9885562025584376,792897,331,3073,1,792897,792897,44,5.5492705862173775e-05,0.9999445072941379
primary_development_2022_2023_partial,ng_r3_volume_quality,20,gross_return,15m,531522,-6.665205033238188e-06,0.0,0.0064822813973531,0.392151218576089,0.9966265999656972,531552,331,3071,1,531552,531552,30,5.643850460538198e-05,0.9999435614953947
primary_development_2022_2023_partial,ng_r3_volume_quality,40,gross_return,15m,356756,4.333607045011949e-05,0.0,0.0066381949247806,0.3955868997297873,1.0216333851358093,356776,331,3071,1,356776,356776,20,5.605758234858847e-05,0.9999439424176514
primary_development_2022_2023_partial,ng_r3_volume_quality,60,gross_return,15m,285688,5.773027302193901e-05,0.0,0.0067021356478703,0.3962014505334491,1.0286412893949386,285699,331,3067,1,285699,285699,11,3.850205986020252e-05,0.9999614979401398
primary_development_2022_2023_partial,ng_r3_volume_quality,120,gross_return,15m,186982,4.5686067790638855e-05,0.0,0.0069603033405715,0.3985035992769357,1.021597328533104,186990,331,3045,1,186990,186990,8,4.2783036526017434e-05,0.999957216963474
primary_development_2022_2023_partial,ng_r3_volume_quality,240,gross_return,15m,141102,2.214997850945003e-05,0.0,0.0069721288186142,0.3937789684058341,1.0105807220355565,141107,331,3030,1,141107,141107,5,3.5434103198282154e-05,0.9999645658968017
primary_development_2022_2023_partial,s0_distance_only,10,gross_return,15m,1534647,0.0001770046696114,0.0,0.0071331794048766,0.4090243554380909,1.086840362737296,1534685,331,3073,1,1534685,1534685,38,2.476078152845698e-05,0.9999752392184715
primary_development_2022_2023_partial,s0_distance_only,20,gross_return,15m,1048509,0.0002423130467795,0.0,0.0072062584316214,0.413543422135623,1.118701957823578,1048526,331,3072,1,1048526,1048526,17,1.621323648626739e-05,0.9999837867635137
primary_development_2022_2023_partial,s0_distance_only,40,gross_return,15m,705352,0.0002856909726949,0.0,0.0074952180202935,0.4161780217536776,1.136716522120948,705367,331,3071,1,705367,705367,15,2.1265525605819384e-05,0.9999787344743942
primary_development_2022_2023_partial,s0_distance_only,60,gross_return,15m,562773,0.0003164573711894,0.0,0.0076051955400098,0.4167257491031019,1.1501307483506849,562790,331,3068,1,562790,562790,17,3.0206649016507046e-05,0.9999697933509835
primary_development_2022_2023_partial,s0_distance_only,120,gross_return,15m,365876,0.0002599182437383,0.0,0.007944794205741,0.4167094862740382,1.115594670742942,365879,331,3049,1,365879,365879,3,8.199432052673151e-06,0.9999918005679473
primary_development_2022_2023_partial,s0_distance_only,240,gross_return,15m,279820,0.000203325533073,0.0,0.0077592437553364,0.411636051747552,1.0915930649769146,279823,331,3033,1,279823,279823,3,1.0721062957655375e-05,0.9999892789370424
primary_development_2022_2023_partial,s0_liquidity_matched,10,gross_return,15m,16238271,0.0002126341252784,0.0,0.0076496560535651,0.4135325737573908,1.099320515797463,16239010,331,3071,1,16239010,16239010,739,4.5507700284684844e-05,0.9999544922997153
