sample_group,trade_date,outcome_path,outcome_rows,schema_match,normalized_complete,event_rows,path_rows,reference_rows,path_id_unique,event_orphan_path_count,reference_orphan_path_count,normalized_row_parity
primary_development_2022_2023_partial,2022-01-04,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-04\outcomes.parquet,375012,True,True,375012,141363,375012,1,0,0,True
primary_development_2022_2023_partial,2022-01-05,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-05\outcomes.parquet,349448,True,True,349448,142933,349448,1,0,0,True
primary_development_2022_2023_partial,2022-01-06,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-06\outcomes.parquet,414507,True,True,414507,150778,414507,1,0,0,True
primary_development_2022_2023_partial,2022-01-07,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-07\outcomes.parquet,358115,True,True,358115,144773,358115,1,0,0,True
primary_development_2022_2023_partial,2022-01-10,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-10\outcomes.parquet,411488,True,True,411488,150753,411488,1,0,0,True
primary_development_2022_2023_partial,2022-01-11,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-11\outcomes.parquet,395153,True,True,395153,147098,395153,1,0,0,True
primary_development_2022_2023_partial,2022-01-12,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-12\outcomes.parquet,451120,True,True,451120,154695,451120,1,0,0,True
primary_development_2022_2023_partial,2022-01-13,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-13\outcomes.parquet,364793,True,True,364793,145546,364793,1,0,0,True
primary_development_2022_2023_partial,2022-01-14,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-14\outcomes.parquet,362440,True,True,362440,144646,362440,1,0,0,True
primary_development_2022_2023_partial,2022-01-17,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-17\outcomes.parquet,410154,True,True,410154,147331,410154,1,0,0,True
primary_development_2022_2023_partial,2022-01-18,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-18\outcomes.parquet,374980,True,True,374980,147284,374980,1,0,0,True
primary_development_2022_2023_partial,2022-01-19,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-01-19\outcomes.parquet,400419,True,True,400419,150874,400419,1,0,0,True
