sample_group,strategy_id,ma_period,signal_count,recent_high_breakout_true_count,recent_high_breakout_true_fraction,prior_acceleration_true_count,prior_acceleration_true_fraction,breakout_recent_true_count,breakout_recent_true_fraction,daily_trend_positive_true_count,daily_trend_positive_true_fraction,market_supportive_true_count,market_supportive_true_fraction,sector_strong_true_count,sector_strong_true_fraction,leader_sync_true_count,leader_sync_true_fraction,auction_confirmed_true_count,auction_confirmed_true_fraction,volume_normal_true_count,volume_normal_true_fraction,not_repeated_cross_true_count,not_repeated_cross_true_fraction,sector_strength_rank_finite_count,sector_strength_rank_invalid_count,sector_strength_rank_finite_mean,sector_strength_rank_finite_median,sector_breadth_finite_count,sector_breadth_invalid_count,sector_breadth_finite_mean,sector_breadth_finite_median,leader_relative_return_finite_count,leader_relative_return_invalid_count,leader_relative_return_finite_mean,leader_relative_return_finite_median,vwap_deviation_finite_count,vwap_deviation_invalid_count,vwap_deviation_finite_mean,vwap_deviation_finite_median,volume_acceleration_5_20_finite_count,volume_acceleration_5_20_invalid_count,volume_acceleration_5_20_finite_mean,volume_acceleration_5_20_finite_median,amount_curve_surprise_finite_count,amount_curve_surprise_invalid_count,amount_curve_surprise_finite_mean,amount_curve_surprise_finite_median
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,163598,40442.0,0.2472035110453673,77028.0,0.47083705179769925,25622.0,0.1566156065477573,60905.0,0.3722845022555288,58233.0,0.3559517842516412,163598.0,1.0,163598.0,1.0,109044.0,0.6665362657245198,54901.0,0.3355847871000868,127917.0,0.7818983117153021,163598,0,0.8165339235257351,0.8024691358024691,163598,0,0.7011992900089761,0.6861924686192469,163598,0,0.009138713414638578,0.0062292499899546825,163598,0,0.008718061101091742,0.0070366011435974984,83228,80370,1.3314117167404982,0.4364954744862971,163337,261,2.5722642195130523,0.9518669642885791
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,125647,35161.0,0.27983955048668097,57691.0,0.4591514321870001,15645.0,0.12451550773197928,43172.0,0.3435975391374247,49255.0,0.39201095131598845,125647.0,1.0,125647.0,1.0,87274.0,0.694596767133318,44933.0,0.35761299513717,101976.0,0.8116071215389146,125647,0,0.8214246308021886,0.8148148148148148,125647,0,0.7174643431497352,0.7105263157894737,125647,0,0.011193612224707904,0.0073929506346925265,125647,0,0.009613747187710901,0.007890792037662964,68968,56679,1.392852837612874,0.4810655991639874,125492,155,2.3684751226177916,0.9158367952997769
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,89709,26245.0,0.29255704555841666,42555.0,0.47436712035581713,6074.0,0.06770781081050954,26122.0,0.2911859456687735,36608.0,0.4080749980492481,89709.0,1.0,89709.0,1.0,63380.0,0.7065065935413393,32264.0,0.3596517629223378,73970.0,0.8245549498935447,89709,0,0.8252329393845231,0.8148148148148148,89709,0,0.7258133412683947,0.7246376811594203,89709,0,0.012934857393448511,0.008233312927283666,89709,0,0.0102696314109651,0.008409782843102453,50267,39442,1.533564388753248,0.5070700927474532,89606,103,2.399234259511626,1.0001096837239505
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,73339,21819.0,0.2975088288632242,37058.0,0.5052973179345233,3291.0,0.044873805205961355,15516.0,0.2115654699409591,30023.0,0.40937291209315646,73339.0,1.0,73339.0,1.0,51935.0,0.7081498247862665,26647.0,0.3633401055372994,61066.0,0.8326538403850612,73339,0,0.8265371476344496,0.825,73339,0,0.7275739501933305,0.7272727272727273,73339,0,0.013844270500227596,0.00867860065595162,73339,0,0.010498240167366507,0.008600222773631927,41568,31771,1.5774234261135491,0.5143170693331138,73312,27,2.542610892772067,1.0823386707713973
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,50899,15328.0,0.30114540560718284,28915.0,0.5680858170101574,1188.0,0.023340340674669443,3974.0,0.07807619010196663,21327.0,0.41900626731369967,50899.0,1.0,50899.0,1.0,36019.0,0.7076563390243423,18546.0,0.3643686516434508,42779.0,0.8404683785536061,50899,0,0.8290208744308356,0.825,50899,0,0.7320080107683292,0.7326732673267327,50899,0,0.015337847538193552,0.00948431622714527,50899,0,0.010955901974258175,0.008944243930191442,29261,21638,1.6753078905374903,0.5150022616474845,50899,0,3.1777815439950485,1.316048094164337
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,38397,11784.0,0.3068989764825377,20411.0,0.5315779878636352,3478.0,0.09057999322863765,11571.0,0.3013516680990702,15653.0,0.4076620569315311,38397.0,1.0,38397.0,1.0,27202.0,0.708440763601323,14106.0,0.36737245097273225,32063.0,0.8350391957705029,38397,0,0.8303673255080792,0.825,38397,0,0.7360950221966377,0.7391304347826086,38397,0,0.015173395319094521,0.009110792708446919,38397,0,0.01095008332166709,0.008821497939487388,22419,15978,1.7781757786895336,0.5345038791343406,38397,0,3.9174423626519403,1.4680289948977947
primary_development_2022_2023_partial,fu_r3_core_pullback,10,57886,11944.0,0.20633659261306705,28671.0,0.49530110907646063,8042.0,0.13892823826141035,18047.0,0.31176795770998167,57886.0,1.0,57886.0,1.0,57886.0,1.0,37618.0,0.6498635248592061,16200.0,0.27986041529903605,57886.0,1.0,57886,0,0.8060189743953817,0.7875,57886,0,0.8081994045416192,0.8125,57886,0,0.01054616098780531,0.007094949376123365,57886,0,0.0092728493100472,0.007324031469449599,24582,33304,1.244036095896366,0.3728742141914867,57797,89,3.245634527540244,1.4326598856112693
primary_development_2022_2023_partial,fu_r3_core_pullback,20,49238,13157.0,0.26721231569113285,24097.0,0.48939843210528455,5421.0,0.11009789187213129,13937.0,0.283053738982087,49238.0,1.0,49238.0,1.0,49238.0,1.0,34317.0,0.6969616962508631,16227.0,0.3295625330029652,49238.0,1.0,49238,0,0.8131954567861555,0.8,49238,0,0.8172367803829946,0.8235294117647058,49238,0,0.012988318612033556,0.008703329693101239,49238,0,0.010493856147947718,0.00854478195063979,25037,24201,1.378889157026468,0.46937051119560635,49194,44,2.8576632861741387,1.2413241639091301
primary_development_2022_2023_partial,fu_r3_core_pullback,40,36871,10441.0,0.2831764801605598,18458.0,0.5006102356865829,2300.0,0.062379647961812806,8848.0,0.23997179355048684,36871.0,1.0,36871.0,1.0,36871.0,1.0,26429.0,0.7167963982533698,12554.0,0.3404843915272165,36871.0,1.0,36871,0,0.8167038081721155,0.8024691358024691,36871,0,0.8214631741532965,0.8273809523809523,36871,0,0.014904161920112268,0.00978428507122732,36871,0,0.011318111525896131,0.009209742523907938,19830,17041,1.5423153951442272,0.4959550387725158,36839,32,2.8226074290640817,1.282684631157581
primary_development_2022_2023_partial,fu_r3_core_pullback,60,30428,8874.0,0.2916392796108847,15976.0,0.5250427238070199,1351.0,0.044399894833705794,4940.0,0.16235046667543052,30428.0,1.0,30428.0,1.0,30428.0,1.0,21984.0,0.7224924411726041,10538.0,0.3463257525962929,30428.0,1.0,30428,0,0.8194226615918113,0.8125,30428,0,0.8231440510480071,0.8285714285714286,30428,0,0.0158858186129427,0.010328607811761748,30428,0,0.011650128075489225,0.009472418027750562,16636,13792,1.5428544200908167,0.5013087327196889,30418,10,2.997609912977947,1.399353193439193
