sample_group,strategy_id,ma_period,signal_count,date_count,symbol_count,author_id,hypothesis_id,author_label,is_control
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,163598,331,3071,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,125647,331,3067,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,89709,331,3063,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,73339,331,3062,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,50899,331,3038,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,38397,330,3022,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
primary_development_2022_2023_partial,fu_r3_core_pullback,10,57886,199,3055,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
primary_development_2022_2023_partial,fu_r3_core_pullback,20,49238,199,3047,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
primary_development_2022_2023_partial,fu_r3_core_pullback,40,36871,199,3040,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
primary_development_2022_2023_partial,fu_r3_core_pullback,60,30428,199,3026,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
primary_development_2022_2023_partial,fu_r3_core_pullback,120,21678,199,2988,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
primary_development_2022_2023_partial,fu_r3_core_pullback,240,15915,199,2915,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
primary_development_2022_2023_partial,ht_r3_core_pullback,10,116070,331,3069,hai_tang_jun,HT-R3,海棠君_,False
primary_development_2022_2023_partial,ht_r3_core_pullback,20,91775,331,3064,hai_tang_jun,HT-R3,海棠君_,False
primary_development_2022_2023_partial,ht_r3_core_pullback,40,66342,331,3058,hai_tang_jun,HT-R3,海棠君_,False
primary_development_2022_2023_partial,ht_r3_core_pullback,60,54528,331,3054,hai_tang_jun,HT-R3,海棠君_,False
primary_development_2022_2023_partial,ht_r3_core_pullback,120,38088,331,3024,hai_tang_jun,HT-R3,海棠君_,False
primary_development_2022_2023_partial,ht_r3_core_pullback,240,28805,330,3008,hai_tang_jun,HT-R3,海棠君_,False
primary_development_2022_2023_partial,ng_r1_auction_reclaim,10,323179,197,3071,niu_ge_xun_shi,NG-R1,牛哥寻势,False
primary_development_2022_2023_partial,ng_r1_auction_reclaim,20,222984,197,3068,niu_ge_xun_shi,NG-R1,牛哥寻势,False
primary_development_2022_2023_partial,ng_r1_auction_reclaim,40,149097,197,3065,niu_ge_xun_shi,NG-R1,牛哥寻势,False
