sample_group,strategy_id,ma_period,threshold,metric,horizon,control_id,target_count,control_count,target_mean,control_mean,mean_difference
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,60m,s0_liquidity_matched,163575,16232673,-0.002856644898841179,-0.002705546317288929,-0.00015109858155225005
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,60m,s0_random_matched,163575,3903696,-0.002856644898841179,-0.0029883955872491894,0.0001317506884080102
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,1d,s0_liquidity_matched,163273,16209221,-0.002185378399363671,-0.00237799700646741,0.0001926186071037391
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,1d,s0_random_matched,163273,3898198,-0.002185378399363671,-0.002798088826172409,0.0006127104268087379
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,5d,s0_liquidity_matched,163189,16200530,-0.002687084145169842,-0.002238381982983958,-0.0004487021621858841
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,5d,s0_random_matched,163189,3896078,-0.002687084145169842,-0.002429654275932464,-0.00025742986923737825
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,60m,s0_liquidity_matched,267,268970,-0.025839586986914083,-0.0035093865515825095,-0.022330200435331574
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,60m,s0_random_matched,267,65632,-0.025839586986914083,-0.0035816064934435805,-0.022257980493470504
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,1d,s0_liquidity_matched,265,268160,-0.036340972877740706,-0.004841952577443435,-0.03149902030029727
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,1d,s0_random_matched,265,65420,-0.036340972877740706,-0.004244604535943675,-0.03209636834179703
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,5d,s0_liquidity_matched,266,267600,-0.07652948639827414,-0.015787311705474857,-0.060742174692799286
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,5d,s0_random_matched,266,65319,-0.07652948639827414,-0.013291397162415496,-0.06323808923585865
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,net,60m,s0_liquidity_matched,138,63793,-0.032053067489032125,-0.0042146821692100375,-0.027838385319822086
