sample_group,strategy_id,ma_period,threshold,horizon,date_count,mean_daily_return,median_daily_return,positive_date_fraction
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,60m,331,-0.003222677588836342,-0.0028665995553358533,0.18429003021148035
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,1d,331,-0.0027894392714538133,-0.0020233496877187737,0.4501510574018127
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,5d,331,-0.0035304776690284825,-0.0024383884640899415,0.48036253776435045
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,60m,146,-0.023629562669225293,-0.024375596766264357,0.273972602739726
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,1d,144,-0.0326720253335147,-0.03766641912498908,0.3402777777777778
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,5d,145,-0.0714193149173935,-0.0893585530822183,0.2206896551724138
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,60m,91,-0.02575414780189352,-0.026030890770147364,0.3076923076923077
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,1d,90,-0.03715738992373211,-0.03399364926700055,0.35555555555555557
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,5d,90,-0.10025802195262366,-0.11836788455426323,0.2111111111111111
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge3,60m,59,-0.027917975862994264,-0.022663734554940307,0.288135593220339
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge3,1d,59,-0.0451641101185112,-0.04840738287791568,0.3389830508474576
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge3,5d,59,-0.10414366341158471,-0.15132788472554892,0.23728813559322035
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge4,60m,34,-0.034010503789376194,-0.03108110588153079,0.2647058823529412
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge4,1d,34,-0.05989623159980839,-0.10493118939125434,0.29411764705882354
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge4,5d,34,-0.12035484643884076,-0.201396780580812,0.23529411764705882
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,60m,17,-0.058821464231722555,-0.06114290415071229,0.058823529411764705
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,1d,17,-0.08316049880574088,-0.11269852693771332,0.23529411764705882
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,5d,17,-0.17425694645119813,-0.23542124802403086,0.17647058823529413
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,60m,331,-0.0032734416030442454,-0.0030642949270976044,0.18126888217522658
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,1d,331,-0.003073473797563389,-0.0017112479781308102,0.4561933534743202
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,5d,331,-0.003186453553397802,-0.0009768085866184713,0.486404833836858
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,60m,56,-0.012180387722588852,-0.010468751175833714,0.3392857142857143
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,1d,56,-0.010388046051131852,-0.019772099055058057,0.44642857142857145
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,5d,56,-0.03196974795467326,-0.0359642253040795,0.39285714285714285
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,60m,331,-0.003233967480834633,-0.0028914554907896305,0.1782477341389728
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,1d,331,-0.0033955325466477186,-0.001131303737620959,0.4561933534743202
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,5d,331,-0.0036023011004425206,-0.000275117726684457,0.4954682779456193
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,60m,70,-0.009701977630728753,-0.005032793982893283,0.38571428571428573
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,1d,69,-0.009728716473810428,-0.009905440869245219,0.4492753623188406
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,5d,70,-0.01862190741710319,-0.01141361049605294,0.4142857142857143
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,60m,2,-0.025134121568314738,-0.025134121568314738,0.5
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,1d,2,-0.011762939715294907,-0.011762939715294907,0.5
