sample_group,strategy_id,ma_period,threshold,metric,horizon,observed_count,mean,median,win_rate,profit_factor,symbol_count,date_count
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,60m,163575,-0.0028566448988411,,0.3352162616536757,0.6049960298100472,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,1d,163273,-0.0021853783993636,,0.4293177684001641,0.8434084985367161,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,all,net,5d,163189,-0.0026870841451698,,0.4466477519930877,0.8974028168449721,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,60m,267,-0.025839586986914,,0.2958801498127341,0.2855889392563582,,146
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,1d,265,-0.0363409728777407,,0.3358490566037735,0.3952471832115791,,144
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge1,net,5d,266,-0.0765294863982741,,0.2293233082706766,0.2947264279620676,,145
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,net,60m,138,-0.0320530674890321,,0.2536231884057971,0.2402431660229049,,91
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,net,1d,137,-0.0506409885129942,,0.3065693430656934,0.3440782456487875,,90
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge2,net,5d,137,-0.108342920726073,,0.1970802919708029,0.215411409876202,,90
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge3,net,60m,82,-0.0347620914843562,,0.2317073170731707,0.2300916290633166,,59
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge3,net,1d,82,-0.0621653876314511,,0.2682926829268293,0.2660817038326926,,59
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge3,net,5d,82,-0.128162217448674,,0.1707317073170731,0.2013609888686712,,59
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge4,net,60m,45,-0.0401962867549675,,0.2,0.1965414558484015,,34
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge4,net,1d,45,-0.0724717871452058,,0.2666666666666666,0.2543704073395697,,34
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge4,net,5d,45,-0.1517278919618905,,0.1777777777777777,0.1689078330552509,,34
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,60m,24,-0.0615688117125913,,0.0416666666666666,0.022399183518356,,17
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,1d,24,-0.0914646017550917,,0.2083333333333333,0.1458809867072046,,17
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,5d,24,-0.1968077928718188,,0.125,0.0428576537821052,,17
