prior_limit_up_streak,row_count,symbol_count,first_date,last_date
0,1314296,3250,2022-01-04,2023-09-28
1,17939,2888,2022-01-04,2023-09-28
2,3481,1537,2022-01-04,2023-09-28
3,1302,838,2022-01-04,2023-09-28
4,636,485,2022-01-04,2023-09-28
5,341,289,2022-01-04,2023-09-27
6,191,169,2022-01-04,2023-09-28
7,108,103,2022-01-05,2023-09-20
8,59,59,2022-01-04,2023-09-21
9,38,38,2022-01-05,2023-09-22
10,25,25,2022-01-06,2023-06-05
11,20,20,2022-01-19,2023-06-06
12,11,11,2022-01-20,2023-06-07
13,6,6,2022-01-21,2023-03-15
14,4,4,2022-01-24,2022-08-26
15,3,3,2022-01-25,2022-08-29
16,3,3,2022-01-26,2022-08-30
17,1,1,2022-03-16,2022-03-16
18,1,1,2022-03-17,2022-03-17
19,1,1,2022-03-25,2022-03-25
20,1,1,2022-03-28,2022-03-28
21,1,1,2022-03-29,2022-03-29
22,1,1,2022-03-30,2022-03-30
23,1,1,2022-03-31,2022-03-31
,117,117,2022-01-05,2023-09-25
