top_k,slot_count,policy_name,mean_year_rank,worst_year_rank,positive_year_count,worst_year_return,mean_year_return,annualized_log_growth,signal_period_total_return,signal_period_maximum_drawdown
3,3,fixed_d42,90.5,384.0,6,0.43045013800748166,0.9142484771400792,0.6600842618647538,44.204687972758165,-0.33854265318024046
1,1,fixed_d15,293.3333333333333,877.0,6,0.058719750733164267,0.9870590137824827,0.5838835336832804,28.114382835127266,-0.5800923612556896
1,1,fixed_d32,214.83333333333334,576.0,6,0.29905490336908236,0.7408648357939226,0.5528895012232764,23.343835804718477,-0.6098803817946566
3,3,model_plan,101.66666666666667,188.0,6,0.054365497687643316,0.730649168030018,0.5269292081203469,19.955243055136048,-0.31072276451398484
3,3,fixed_d48,148.5,557.0,6,0.13715035077228888,0.6861290233210263,0.5217760167434288,19.34093452544207,-0.3996614403001786
2,6,fixed_d20,158.16666666666666,363.0,6,0.23761159319684655,0.6623197521492932,0.5035855493478546,17.31292401436886,-0.3359166844428312
2,2,fixed_d42,184.33333333333334,348.0,6,0.005691263169312455,0.6554258300462835,0.4950408093040985,16.431367958377596,-0.3997424669037024
1,3,fixed_d19,216.83333333333334,567.0,6,0.25203319638503396,0.671579725886561,0.49489915704748555,16.417117139061904,-0.39293044916685804
3,3,fixed_d12,220.0,701.0,6,0.014123979803320807,0.685614844557988,0.49053338943316177,15.983569142696709,-0.36642836432084414
1,1,fixed_d33,228.16666666666666,596.0,6,0.14868155781580805,0.6511228573339874,0.485398759974737,15.487458206615269,-0.585837853130968
1,3,fixed_d14,166.5,449.0,6,0.22264537573551024,0.6232470652476529,0.481036237802033,15.077352603634779,-0.29078447998272705
1,3,fixed_d47,214.83333333333334,901.0,6,0.1157066489604055,0.6881964834729705,0.47790198308958987,14.789024099880336,-0.42135472038191846
2,6,fixed_d16,135.5,254.0,6,0.005250339042176755,0.6331175926394522,0.4758429362724942,14.6024269720698,-0.325049486949594
1,1,fixed_d31,274.5,814.0,6,0.09760791030568683,0.7469657582309486,0.47131597551221993,14.19989725266105,-0.4952711597576108
2,2,fixed_d21,238.83333333333334,697.0,6,0.17270531246591658,0.5878197527206287,0.462694287773272,13.461771004789949,-0.4689710982615065
3,3,fixed_d21,206.83333333333334,533.0,6,0.3117561587646016,0.5856081336325075,0.46219509984187884,13.42014906706382,-0.3834877065833806
3,6,fixed_d27,196.66666666666666,307.0,6,0.0048659347506732065,0.6065984207651541,0.45033765196222597,12.465943896807655,-0.3668694152216756
2,6,fixed_d21,168.33333333333334,373.0,6,0.20257992872331698,0.5654745302597203,0.4446255369387624,12.029071887512409,-0.34684228225273517
2,2,fixed_d32,253.33333333333334,491.0,6,0.06619967410276395,0.5363420714051675,0.4229753990870193,10.49807221208966,-0.4788162627932657
1,6,model_plan,233.0,589.0,6,0.1316738830409212,0.5233242409164615,0.41778461042440423,10.158580600949746,-0.2547405410172018
3,6,fixed_d21,216.5,400.0,6,0.09005055187264022,0.5165486965658486,0.4095609373682929,9.641131696999967,-0.3982004349163686
2,2,model_plan,284.6666666666667,828.0,6,0.013094955272295206,0.5440149605382675,0.40697740082770617,9.483577581029135,-0.4380941388061764
2,4,fixed_d15,211.5,408.0,6,0.055289668007393766,0.5243800035416113,0.40691506888196716,9.479805295978545,-0.38308667231141813
3,3,fixed_d44,243.33333333333334,622.0,6,0.25662108165644204,0.47912567553468516,0.4026182386914624,9.223009581422348,-0.3677088894210019
3,6,fixed_d44,195.83333333333334,325.0,6,0.1255894713765393,0.4989170412214808,0.4015288107653857,9.158907142813161,-0.39622776656105896
3,6,fixed_d19,228.33333333333334,559.0,6,0.1193457231462225,0.5131758863098482,0.4011541802293494,9.136956714331566,-0.3358991190931171
2,2,fixed_d28,325.3333333333333,743.0,6,0.14398987326176793,0.48329458171362843,0.40105017752419386,9.130871382129998,-0.5645558643139705
