year,count,mean,std,skew,excess_kurtosis,q01,q05,median,q95,q99,es01,es05
2011,195063,-0.024201218463979882,0.11172746913150666,0.6347690608822765,2.435343360074265,-0.2659291464090347,-0.19101005643606186,-0.03235124051570892,0.1647220909595489,0.28102094113826764,-0.3052992542880062,-0.23678726152804683
2012,216440,0.00755954745219251,0.10602864145159813,0.7806828880028069,3.16351955409416,-0.21011502131819726,-0.14705884456634521,-0.0029397435719147325,0.18891200646758075,0.3011370784044263,-0.2432505242406083,-0.18595869854613079
2013,223930,0.007434043143721111,0.11560670413056807,0.9344326124328035,3.5760144205836246,-0.23671760082244872,-0.1629609353840351,-0.0014936449006199837,0.20461146309971787,0.3556191575527184,-0.2655411226342299,-0.20748402330399923
2014,207666,0.03529268496500693,0.1143518186107406,1.6445983984643053,7.874172387603066,-0.18147458359599114,-0.11777565255761147,0.021645034663379192,0.22963951155543327,0.42085351049900077,-0.21449456441040848,-0.15682118433816086
2015,167718,0.028905069014075562,0.22364037688407648,0.2145628524114133,1.3974000136163394,-0.49978599190711975,-0.35010673850774765,0.03666326403617859,0.3838968366384506,0.6246593332290603,-0.5510082529220592,-0.43763081681080146
2016,190987,0.007695454912151072,0.09884358335310106,0.9953520715850193,4.917644776052192,-0.20980841904878617,-0.13516146540641785,0.0,0.17316018491983415,0.3061433500051497,-0.25357354646109787,-0.18157577838885222
2017,235508,0.0008858287604777972,0.09575989701124756,0.9180356340117392,5.412542936873953,-0.21598791301250458,-0.1419674910604954,-0.00392156234011054,0.15809387341141692,0.28291298061609266,-0.25809809231596204,-0.18757111011148916
2018,274491,-0.023725490416218235,0.1069582623104626,1.1201944652479812,11.635331673961685,-0.2601632833480835,-0.18449197709560394,-0.028409067541360855,0.15101700276136398,0.2666732370853409,-0.31151880314658464,-0.23323506947097883
2019,335675,0.02154845678563377,0.12979763495787244,1.936395505906628,15.384484733748941,-0.23088019281625746,-0.15526716262102128,0.008238017559051514,0.23650372922420496,0.4323943030834203,-0.27695657260935685,-0.2034908756649244
2020,356981,0.016128027662632213,0.13974091173940156,1.9415756295591313,12.465602114167705,-0.24037245213985442,-0.1593172401189804,-0.0052206567488610744,0.25952816009521484,0.47235533595085233,-0.295097784297306,-0.21026342597996153
2021,387240,0.015157425638645484,0.1394780194497295,1.6735404812488248,8.584895417641341,-0.252948049902916,-0.17138104215264321,-0.0015349143068306148,0.2549359351396559,0.4837462645769104,-0.2976636734391687,-0.2215378108814277
2022,392842,-0.0025182717388510015,0.13080291861608465,1.795233504097321,14.378439950651615,-0.2674970859289169,-0.1830887518823147,-0.013354378752410412,0.20981119424104713,0.3974564760923395,-0.31200705490272507,-0.23456716977918196
2023,409707,-0.009035148841834241,0.09747652152088597,2.062781080364987,18.496656123932386,-0.20494178920984268,-0.14139298498630523,-0.017699163407087326,0.1451394900679588,0.29425289094448087,-0.24596502169014012,-0.18167550984981365
2024,412237,0.011319151343867658,0.14389188986767593,2.2171142519418856,21.208241944377594,-0.27189239382743835,-0.17429742217063904,-0.00757581228390336,0.2542746007442472,0.46786347031593356,-0.3254451821245327,-0.23415656160659382
2025,378577,0.02441428437503734,0.12402187522890556,2.501885822436692,17.4255851800866,-0.2123730731010437,-0.13088572025299072,0.009159202687442303,0.22574429810047159,0.4638440668582915,-0.2535657246655657,-0.1803440644914371
