date_idx,trade_date,year,universe_count,is_st_count,calculated_st_rate,feature_st_rate,feature_error,one_day_change
242,2011-01-04,2011,1880,161,0.08563829787234042,0.08563829958438873,1.7120483086774385e-09,
243,2011-01-05,2011,1880,161,0.08563829787234042,0.08563829958438873,1.7120483086774385e-09,0.0
244,2011-01-06,2011,1880,161,0.08563829787234042,0.08563829958438873,1.7120483086774385e-09,0.0
245,2011-01-07,2011,1881,161,0.08559276980329612,0.08559276908636093,-7.169351917690747e-10,-4.552806904430107e-05
246,2011-01-10,2011,1883,161,0.08550185873605948,0.08550185710191727,-1.6341422104382275e-09,-9.091106723664588e-05
247,2011-01-11,2011,1885,161,0.08541114058355438,0.08541113883256912,-1.750985259563187e-09,-9.07181525050954e-05
248,2011-01-12,2011,1885,161,0.08541114058355438,0.08541113883256912,-1.750985259563187e-09,0.0
249,2011-01-13,2011,1886,161,0.08536585365853659,0.08536585420370102,5.451644274900858e-10,-4.528692501779008e-05
250,2011-01-14,2011,1886,161,0.08536585365853659,0.08536585420370102,5.451644274900858e-10,0.0
251,2011-01-17,2011,1886,161,0.08536585365853659,0.08536585420370102,5.451644274900858e-10,0.0
252,2011-01-18,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,-0.00022571616514685533
253,2011-01-19,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,0.0
254,2011-01-20,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,0.0
255,2011-01-21,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,0.0
256,2011-01-24,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,0.0
257,2011-01-25,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,0.0
258,2011-01-26,2011,1891,161,0.08514013749338974,0.08514013886451721,1.371127475446876e-09,0.0
259,2011-01-27,2011,1892,162,0.08562367864693446,0.08562368154525757,2.8983231092905015e-09,0.0004835411535447226
260,2011-01-28,2011,1896,162,0.08544303797468354,0.08544303476810455,-3.2065789884461182e-09,-0.0001806406722509174
261,2011-01-31,2011,1896,162,0.08544303797468354,0.08544303476810455,-3.2065789884461182e-09,0.0
262,2011-02-01,2011,1898,162,0.08535300316122234,0.08535300195217133,-1.2090510120854603e-09,-9.00348134612039e-05
263,2011-02-09,2011,1898,162,0.08535300316122234,0.08535300195217133,-1.2090510120854603e-09,0.0
264,2011-02-10,2011,1898,162,0.08535300316122234,0.08535300195217133,-1.2090510120854603e-09,0.0
265,2011-02-11,2011,1900,162,0.08526315789473685,0.08526315540075302,-2.493983825013757e-09,-8.984526648549152e-05
266,2011-02-14,2011,1900,162,0.08526315789473685,0.08526315540075302,-2.493983825013757e-09,0.0
267,2011-02-15,2011,1900,162,0.08526315789473685,0.08526315540075302,-2.493983825013757e-09,0.0
268,2011-02-16,2011,1900,163,0.08578947368421053,0.08578947186470032,-1.8195102091667081e-09,0.0005263157894736803
269,2011-02-17,2011,1900,163,0.08578947368421053,0.08578947186470032,-1.8195102091667081e-09,0.0
270,2011-02-18,2011,1903,164,0.0861797162375197,0.086179718375206,2.1376862918698336e-09,0.00039024255330917523
271,2011-02-21,2011,1903,164,0.0861797162375197,0.086179718375206,2.1376862918698336e-09,0.0
272,2011-02-22,2011,1904,164,0.0861344537815126,0.08613445609807968,2.316567077054188e-09,-4.526245600709744e-05
273,2011-02-23,2011,1904,165,0.08665966386554622,0.08665966242551804,-1.4400281800330816e-09,0.0005252100840336116
274,2011-02-24,2011,1904,165,0.08665966386554622,0.08665966242551804,-1.4400281800330816e-09,0.0
275,2011-02-25,2011,1908,165,0.08647798742138364,0.08647798746824265,4.685900278911248e-11,-0.00018167644416257345
276,2011-02-28,2011,1908,165,0.08647798742138364,0.08647798746824265,4.685900278911248e-11,0.0
277,2011-03-01,2011,1909,165,0.08643268727082241,0.08643268793821335,6.673909341836648e-10,-4.530015056122827e-05
278,2011-03-02,2011,1914,165,0.08620689655172414,0.08620689809322357,1.5414994281037764e-09,-0.00022579071909827053
279,2011-03-03,2011,1917,165,0.08607198748043818,0.08607199043035507,2.9499168940905207e-09,-0.00013490907128596574
280,2011-03-04,2011,1917,164,0.08555033907146584,0.08555033802986145,-1.0416043860761448e-09,-0.0005216484089723417
281,2011-03-07,2011,1917,164,0.08555033907146584,0.08555033802986145,-1.0416043860761448e-09,0.0
282,2011-03-08,2011,1917,164,0.08555033907146584,0.08555033802986145,-1.0416043860761448e-09,0.0
283,2011-03-09,2011,1918,164,0.08550573514077164,0.08550573885440826,3.713636620439331e-09,-4.460393069419255e-05
284,2011-03-10,2011,1920,164,0.08541666666666667,0.08541666716337204,4.967053712778835e-10,-8.90684741049752e-05
285,2011-03-11,2011,1921,164,0.08537220197813639,0.0853722020983696,1.2023321227516703e-10,-4.4464688530282404e-05
286,2011-03-14,2011,1921,164,0.08537220197813639,0.0853722020983696,1.2023321227516703e-10,0.0
287,2011-03-15,2011,1921,164,0.08537220197813639,0.0853722020983696,1.2023321227516703e-10,0.0
288,2011-03-16,2011,1921,164,0.08537220197813639,0.0853722020983696,1.2023321227516703e-10,0.0
289,2011-03-17,2011,1922,164,0.08532778355879292,0.08532778173685074,-1.8219421804577252e-09,-4.441841934346713e-05
290,2011-03-18,2011,1924,164,0.08523908523908524,0.08523908257484436,-2.6642408834653963e-09,-8.869831970767517e-05
291,2011-03-21,2011,1924,164,0.08523908523908524,0.08523908257484436,-2.6642408834653963e-09,0.0
292,2011-03-22,2011,1923,164,0.08528341133645345,0.08528341352939606,2.1929426052835765e-09,4.432609736820803e-05
293,2011-03-23,2011,1923,164,0.08528341133645345,0.08528341352939606,2.1929426052835765e-09,0.0
294,2011-03-24,2011,1923,164,0.08528341133645345,0.08528341352939606,2.1929426052835765e-09,0.0
295,2011-03-25,2011,1925,164,0.0851948051948052,0.08519480377435684,-1.4204483561597314e-09,-8.860614164825364e-05
