变更日期,证券代码,证券简称,变更前全称,变更后全称
1992-02-28,000004,国华退,蛇口安达运输股份有限公司,深圳市蛇口安达实业股份有限公司
1993-03-08,200012,南  玻Ｂ,中国南方玻璃股份有限公司,中国南玻集团股份有限公司
1993-03-08,000012,南  玻Ａ,中国南方玻璃股份有限公司,中国南玻集团股份有限公司
1993-07-12,000009,中国宝安,深圳市宝安企业(集团)股份有限公司,中国宝安集团股份有限公司
1993-12-20,000005,ST星源,深圳原野实业股份有限公司,深圳世纪星源股份有限公司
1993-12-28,200002,万  科Ｂ,深圳市万科企业股份有限公司,万科企业股份有限公司
1993-12-28,000002,万  科Ａ,深圳市万科企业股份有限公司,万科企业股份有限公司
1994-05-04,000501,武商集团,武汉商场股份有限公司(集团),武汉武商集团股份有限公司
1994-06-30,000529,广弘控股,广东美雅股份有限公司,广东美雅集团股份有限公司
1994-06-30,200025,特  力Ｂ,深圳市特力机电股份有限公司,深圳市特力(集团)股份有限公司
1994-06-30,000025,特  力Ａ,深圳市特力机电股份有限公司,深圳市特力(集团)股份有限公司
1994-08-16,000564,供销大集,西安民生百货(集团)股份有限公司,西安民生集团股份有限公司
1994-10-05,000503,国新健康,海南化纤工业股份有限公司,海南海虹企业股份有限公司
1995-02-14,000526,学大教育,厦门市海洋渔业开发股份有限公司,厦门海发投资实业股份有限公司
1995-03-01,000544,中原环保,郑州白鸽(集团)股份有限公司,白鸽(集团)股份有限公司
1995-05-22,000540,*ST中天,贵阳中天(集团)股份有限公司,贵州中天(集团)股份有限公司
1995-06-01,000531,穗恒运Ａ,广州恒运热电股份有限公司,广州恒运企业集团股份有限公司
1995-06-30,000546,金圆股份,吉林轻工股份有限公司,吉林轻工集团股份有限公司
1995-08-25,000014,沙河股份,深圳华源实业股份有限公司,华源实业(集团)股份有限公司
1995-09-15,200016,*ST康佳B,深圳康佳电子(集团)股份有限公司,康佳集团股份有限公司
1995-09-15,000016,*ST康佳A,深圳康佳电子(集团)股份有限公司,康佳集团股份有限公司
1996-01-02,000039,中集集团,中国国际海运集装箱股份有限公司,中国国际海运集装箱(集团)股份有限公司
1996-01-02,200039,中  集Ｂ,中国国际海运集装箱股份有限公司,中国国际海运集装箱(集团)股份有限公司
1996-12-18,000031,大悦城,深圳宝恒（集团）股份有限公司,深圳市宝恒(集团)股份有限公司
1996-12-30,000538,云南白药,云南白药实业股份有限公司,云南白药集团股份有限公司
1997-01-30,000516,国际医学,西安市解放百货股份有限公司,西安解放集团股份有限公司
1997-03-03,000510,新金路,四川金路股份有限公司,四川金路集团股份有限公司
1997-03-19,200513,丽  珠Ｂ,珠海经济特区丽珠医药集团股份有限公司,丽珠医药集团股份有限公司
1997-03-19,000513,丽珠集团,珠海经济特区丽珠医药集团股份有限公司,丽珠医药集团股份有限公司
1997-03-24,000048,京基智农,深圳康达尔(集团)股份有限公司,深圳市康达尔(集团)股份有限公司
1997-04-10,000036,华联控股,深圳惠中化纤实业股份有限公司,深圳市惠中化纤实业股份有限公司
1997-04-22,000670,盈方微, 湖北天发企业(集团)股份有限公司,湖北天发股份有限公司
1997-04-29,000662,天夏退,广西梧州市康达(集团)股份有限公司,广西康达(集团)股份有限公司
1997-05-07,000611,天首退,内蒙古民族商场股份有限公司(集团),内蒙古民族实业集团股份有限公司
1997-05-16,000503,国新健康,海南海虹企业股份有限公司,海南海虹企业(控股)股份有限公司
1997-05-29,000010,*ST美丽,深圳华新股份有限公司,深圳市华新股份有限公司
1997-08-27,200055,方大Ｂ,深圳市方大实业股份有限公司,深圳方大实业股份有限公司
1997-08-27,000055,方大集团,深圳市方大实业股份有限公司,深圳方大实业股份有限公司
1997-10-20,000652,泰达股份,天津美纶股份有限公司,天津泰达股份有限公司
1997-11-03,000042,中洲控股,深圳市长城地产股份有限公司,深圳市长城地产(集团)股份有限公司
