symbol,effective_date,is_st,source
600562.SH,2010-02-24,true,sse_factbook_2011_enter_st
600077.SH,2010-03-01,true,sse_factbook_2011_enter_st
600860.SH,2010-03-22,true,sse_factbook_2011_enter_st
600740.SH,2010-03-31,true,sse_factbook_2011_enter_st
600299.SH,2010-04-07,true,sse_factbook_2011_enter_st
600885.SH,2010-04-12,true,sse_factbook_2011_enter_st
600179.SH,2010-04-16,true,sse_factbook_2011_enter_st
600131.SH,2010-04-16,true,sse_factbook_2011_enter_st
600444.SH,2010-04-19,true,sse_factbook_2011_enter_st
600355.SH,2010-04-20,true,sse_factbook_2011_enter_st
600769.SH,2010-04-23,true,sse_factbook_2011_enter_st
600301.SH,2010-04-26,true,sse_factbook_2011_enter_st
600209.SH,2010-04-27,true,sse_factbook_2011_enter_st
600455.SH,2010-04-27,true,sse_factbook_2011_enter_st
600373.SH,2010-04-28,true,sse_factbook_2011_enter_st
600490.SH,2010-04-29,true,sse_factbook_2011_enter_st
600538.SH,2010-04-29,true,sse_factbook_2011_enter_st
600634.SH,2010-04-30,true,sse_factbook_2011_enter_st
600091.SH,2010-05-04,true,sse_factbook_2011_enter_st
600145.SH,2010-05-04,true,sse_factbook_2011_enter_st
600609.SH,2010-05-04,true,sse_factbook_2011_enter_st
600074.SH,2011-04-26,true,sse_factbook_2012_enter_st
600365.SH,2011-02-16,true,sse_factbook_2012_enter_st
600671.SH,2011-05-04,true,sse_factbook_2012_enter_st
600228.SH,2011-04-26,true,sse_factbook_2012_enter_st
600203.SH,2011-01-27,true,sse_factbook_2012_enter_st
600281.SH,2011-04-27,true,sse_factbook_2012_enter_st
600335.SH,2011-02-23,true,sse_factbook_2012_enter_st
600766.SH,2011-05-04,true,sse_factbook_2012_enter_st
600539.SH,2011-06-30,true,sse_factbook_2012_enter_st
600223.SH,2010-03-11,false,sse_factbook_2011_leave_st
600716.SH,2010-04-02,false,sse_factbook_2011_leave_st
600225.SH,2010-05-19,false,sse_factbook_2011_leave_st
600259.SH,2010-05-19,false,sse_factbook_2011_leave_st
600115.SH,2010-05-28,false,sse_factbook_2011_leave_st
600187.SH,2010-08-26,false,sse_factbook_2011_leave_st
600711.SH,2011-03-04,false,sse_factbook_2012_leave_st
600891.SH,2011-09-01,false,sse_factbook_2012_leave_st
600077.SH,2011-11-01,false,sse_factbook_2012_leave_st
600721.SH,2011-06-03,false,sse_factbook_2012_leave_st
600898.SH,2011-11-14,false,sse_factbook_2012_leave_st
600242.SH,2011-04-07,false,sse_factbook_2012_leave_st
600714.SH,2011-04-29,false,sse_factbook_2012_leave_st
600728.SH,2011-08-08,false,sse_factbook_2012_leave_st
600340.SH,2011-11-02,false,sse_factbook_2012_leave_st
600876.SH,2011-04-19,false,sse_factbook_2012_leave_st
600372.SH,2011-06-03,false,sse_factbook_2012_leave_st
600740.SH,2011-05-03,false,sse_factbook_2012_leave_st
600792.SH,2011-11-01,false,sse_factbook_2012_leave_st
600373.SH,2011-04-14,false,sse_factbook_2012_leave_st
600131.SH,2011-04-14,false,sse_factbook_2012_leave_st
600057.SH,2011-08-29,false,sse_factbook_2012_resume_non_st
600633.SH,2011-09-29,false,sse_factbook_2012_resume_non_st
