Datetime,Open,High,Low,Close,Volume,Amount
2026-01-21 09:31:00,47.08,47.5,47.05,47.39,258700.0,1220.94
2026-01-21 09:32:00,47.38,47.47,47.35,47.38,198000.0,938.82
2026-01-21 09:33:00,47.39,47.55,47.37,47.55,189100.0,896.82
2026-01-21 09:34:00,47.56,48.75,47.56,48.64,1009000.0,4873.98
2026-01-21 09:35:00,48.64,48.76,48.48,48.69,1238800.0,6023.63
2026-01-21 09:36:00,48.59,49.15,48.59,48.94,1443600.0,7055.47
2026-01-21 09:37:00,48.95,48.95,48.67,48.78,569700.0,2781.65
2026-01-21 09:38:00,48.76,48.86,48.72,48.86,507300.0,2472.84
2026-01-21 09:39:00,48.86,48.93,48.86,48.9,521200.0,2548.64
2026-01-21 09:40:00,48.86,48.96,48.85,48.9,433800.0,2121.3
2026-01-21 09:41:00,48.9,48.94,48.73,48.74,299800.0,1464.87
2026-01-21 09:42:00,48.79,48.79,48.7,48.75,236600.0,1152.79
2026-01-21 09:43:00,48.79,48.87,48.7,48.82,197300.0,962.66
2026-01-21 09:44:00,48.8,48.82,48.73,48.73,137300.0,669.72
2026-01-21 09:45:00,48.74,48.85,48.74,48.85,206500.0,1007.62
2026-01-21 09:46:00,48.79,48.79,48.63,48.73,176400.0,859.32
2026-01-21 09:47:00,48.73,48.78,48.73,48.77,79700.0,388.61
2026-01-21 09:48:00,48.76,48.77,48.68,48.7,153200.0,746.72
2026-01-21 09:49:00,48.69,48.74,48.64,48.64,104800.0,510.03
2026-01-21 09:50:00,48.63,48.75,48.61,48.75,185200.0,901.14
2026-01-21 09:51:00,48.75,48.75,48.67,48.67,67200.0,327.44
2026-01-21 09:52:00,48.68,48.71,48.68,48.69,67200.0,327.24
2026-01-21 09:53:00,48.69,48.72,48.68,48.71,100900.0,491.37
2026-01-21 09:54:00,48.67,48.7,48.6,48.6,102900.0,500.83
2026-01-21 09:55:00,48.64,48.64,48.49,48.49,152400.0,739.37
2026-01-21 09:56:00,48.49,48.55,48.47,48.47,136300.0,661.26
2026-01-21 09:57:00,48.47,48.56,48.47,48.48,160700.0,779.59
2026-01-21 09:58:00,48.48,48.53,48.45,48.53,68600.0,332.56
2026-01-21 09:59:00,48.53,48.53,48.48,48.49,49000.0,237.71
2026-01-21 10:00:00,48.49,48.5,48.46,48.47,55800.0,270.52
2026-01-21 10:01:00,48.47,48.65,48.46,48.64,127300.0,617.9
2026-01-21 10:02:00,48.69,48.7,48.66,48.7,106100.0,516.49
2026-01-21 10:03:00,48.66,48.69,48.61,48.69,99100.0,482.03
2026-01-21 10:04:00,48.72,48.72,48.56,48.56,68700.0,334.26
2026-01-21 10:05:00,48.58,48.6,48.53,48.56,56900.0,276.3
2026-01-21 10:06:00,48.55,48.58,48.52,48.54,33900.0,164.56
2026-01-21 10:07:00,48.54,48.57,48.51,48.57,33800.0,164.04
2026-01-21 10:08:00,48.57,48.58,48.54,48.58,63500.0,308.43
2026-01-21 10:09:00,48.58,48.58,48.54,48.56,43600.0,211.76
2026-01-21 10:10:00,48.56,48.57,48.55,48.57,52200.0,253.49
2026-01-21 10:11:00,48.58,48.65,48.58,48.65,93000.0,452.21
2026-01-21 10:12:00,48.65,48.69,48.65,48.69,42300.0,205.91
2026-01-21 10:13:00,48.69,48.72,48.69,48.72,55600.0,270.78
2026-01-21 10:14:00,48.71,48.71,48.59,48.64,115000.0,559.48
2026-01-21 10:15:00,48.65,48.66,48.59,48.64,49100.0,238.75
2026-01-21 10:16:00,48.65,48.66,48.57,48.66,43800.0,212.91
2026-01-21 10:17:00,48.64,48.69,48.64,48.69,46900.0,228.2
2026-01-21 10:18:00,48.69,48.69,48.64,48.64,55200.0,268.62
2026-01-21 10:19:00,48.65,48.69,48.61,48.62,30900.0,150.33
2026-01-21 10:20:00,48.62,48.68,48.6,48.67,41200.0,200.23
2026-01-21 10:21:00,48.67,48.69,48.62,48.65,77500.0,377.12
2026-01-21 10:22:00,48.63,48.7,48.63,48.69,70100.0,341.17
2026-01-21 10:23:00,48.7,48.7,48.68,48.68,45300.0,220.58
2026-01-21 10:24:00,48.69,48.7,48.68,48.68,93200.0,453.76
2026-01-21 10:25:00,48.64,48.78,48.64,48.78,161200.0,785.73
2026-01-21 10:26:00,48.77,48.79,48.74,48.78,100200.0,488.42
2026-01-21 10:27:00,48.77,48.78,48.64,48.65,87000.0,423.96
2026-01-21 10:28:00,48.62,48.66,48.61,48.65,39000.0,189.65
2026-01-21 10:29:00,48.66,48.69,48.62,48.63,40300.0,196.09
2026-01-21 10:30:00,48.62,48.66,48.62,48.65,19100.0,92.78
2026-01-21 10:31:00,48.65,48.68,48.58,48.58,64000.0,311.24
2026-01-21 10:32:00,48.59,48.62,48.57,48.62,34300.0,166.66
2026-01-21 10:33:00,48.6,48.6,48.55,48.55,52900.0,256.98
2026-01-21 10:34:00,48.55,48.57,48.55,48.55,28400.0,137.9
2026-01-21 10:35:00,48.55,48.55,48.43,48.46,119100.0,577.48
2026-01-21 10:36:00,48.45,48.48,48.44,48.45,47900.0,232.2
